variable,rmse,mae,mape,r2,smape,nrmse
Appliances(t),79.928,48.896,54.346,-0.355,48.896,-0.355
lights(t),6.446,4.301,inf,-0.457,4.301,-0.457
T1(t),0.42,0.356,1.67,0.023,0.356,0.023
RH_1(t),1.228,0.933,2.312,0.287,0.933,0.287
T2(t),0.697,0.577,2.745,0.358,0.577,0.358
RH_2(t),1.486,1.227,3.051,-0.05,1.227,-0.05
T3(t),0.545,0.45,1.995,-0.773,0.45,-0.773
RH_3(t),0.97,0.795,2.043,-0.026,0.795,-0.026
T4(t),0.697,0.593,2.931,-1.163,0.593,-1.163
RH_4(t),1.077,0.88,2.244,-0.276,0.88,-0.276
T5(t),0.467,0.378,1.937,-0.775,0.378,-0.775
RH_5(t),5.311,3.961,7.87,-2.362,3.961,-2.362
T6(t),1.677,1.363,inf,0.387,1.363,0.387
RH_6(t),7.782,6.411,44.923,-8.604299415925813e+25,6.411,-8.604299415925813e+25
T7(t),0.395,0.334,1.66,-3.029,0.334,-3.029
RH_7(t),1.879,1.565,4.416,-0.82,1.565,-0.82
T8(t),0.619,0.53,2.415,-1.02,0.53,-1.02
RH_8(t),1.681,1.385,3.272,0.041,1.385,0.041
T9(t),0.3,0.263,1.402,-3.58,0.263,-3.58
RH_9(t),1.331,1.125,2.704,-0.266,1.125,-0.266
T_out(t),1.354,1.144,inf,-0.429,1.144,-0.429
Press_mm_hg(t),2.513,2.106,0.279,-3.013,2.106,-3.013
RH_out(t),6.067,5.014,6.976,-0.167,5.014,-0.167
Windspeed(t),1.38,1.146,inf,-0.686,1.146,-0.686
Visibility(t),6.575,5.362,14.265,0.481,5.362,0.481
Tdewpoint(t),1.323,1.082,inf,-2.202,1.082,-2.202
