variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances(t),87.311,52.93,57.418,-0.544,22.99,0.189,36.595,21.162,30.925,2.291,6.16,0.111
lights(t),7.046,4.589,inf,-0.493,89.936,inf,3.438,2.749,,2.05,9.684,
T1(t),0.459,0.389,1.824,-0.03,0.912,0.244,0.27,0.24,1.201,2.073,0.608,0.159
RH_1(t),1.461,1.131,2.796,-0.045,1.395,0.191,0.714,0.636,1.546,0.966,0.768,0.098
T2(t),0.746,0.618,2.957,0.237,1.478,0.213,0.436,0.363,1.549,1.211,0.785,0.122
RH_2(t),1.626,1.33,3.322,-0.197,1.654,0.234,1.071,0.976,2.125,1.999,1.092,0.174
T3(t),0.607,0.502,2.225,-1.203,1.126,0.322,0.375,0.335,1.513,2.036,0.787,0.147
RH_3(t),1.094,0.907,2.31,-0.254,1.144,0.248,0.651,0.563,1.384,1.015,0.673,0.126
T4(t),0.783,0.669,3.31,-1.694,1.675,0.388,0.525,0.459,2.368,2.937,1.236,0.193
RH_4(t),1.204,0.994,2.545,-0.44,1.265,0.269,0.518,0.452,1.152,1.33,0.57,0.126
T5(t),0.505,0.407,2.087,-1.076,1.059,0.29,0.386,0.324,1.737,4.041,0.915,0.273
RH_5(t),6.512,4.888,9.619,-3.683,4.656,0.388,2.951,2.266,5.122,12.243,2.257,0.539
T6(t),1.827,1.476,inf,0.039,15.415,0.225,0.88,0.763,,3.082,13.889,0.237
RH_6(t),8.162,6.629,45.858,-1.627001638697462e+25,13.777,inf,5.914,5.157,70.949,8.911454986124701e+25,14.021,
T7(t),0.417,0.349,1.737,-3.427,0.87,0.406,0.245,0.217,1.153,7.898,0.575,0.324
RH_7(t),1.962,1.641,4.631,-0.856,2.317,0.318,1.155,1.064,2.86,3.501,1.456,0.239
T8(t),0.674,0.58,2.649,-1.418,1.312,0.356,0.388,0.371,1.739,3.804,0.831,0.245
RH_8(t),1.816,1.487,3.492,-0.011,1.739,0.231,0.734,0.62,1.232,2.063,0.631,0.123
T9(t),0.339,0.299,1.583,-5.068,0.797,0.519,0.222,0.208,1.202,12.751,0.614,0.374
RH_9(t),1.549,1.319,3.156,-0.792,1.579,0.295,0.725,0.707,1.477,3.88,0.757,0.221
T_out(t),1.472,1.249,inf,-0.359,13.179,0.238,0.781,0.732,,4.319,11.966,0.244
Press_mm_hg(t),2.835,2.442,0.323,-4.145,0.162,0.589,1.963,1.728,0.229,4.367,0.115,0.272
RH_out(t),7.042,5.847,8.148,-0.465,4.012,0.242,2.36,2.238,3.523,2.924,1.858,0.156
Windspeed(t),1.588,1.316,inf,-1.098,18.394,0.309,0.974,0.898,,3.453,10.753,0.193
Visibility(t),7.851,6.412,17.308,0.192,8.383,0.236,4.33,3.795,8.623,0.826,4.159,0.106
Tdewpoint(t),1.444,1.187,inf,-2.093,24.401,0.329,0.857,0.792,,7.842,20.806,0.31
