variable,rmse,mae,mape,r2,smape,nrmse
Appliances(t),86.812,58.108,74.747,-1.044,25.819,0.206
lights(t),7.064,5.123,inf,-1.108,87.473,inf
T1(t),0.702,0.565,2.675,-1.332,1.337,0.362
RH_1(t),2.054,1.664,4.095,-1.219,2.039,0.266
T2(t),1.043,0.849,4.144,-0.302,2.073,0.296
RH_2(t),2.203,1.822,4.583,-1.202,2.284,0.303
T3(t),0.725,0.604,2.676,-2.707,1.351,0.404
RH_3(t),1.499,1.235,3.106,-1.841,1.555,0.342
T4(t),0.858,0.729,3.63,-3.108,1.812,0.459
RH_4(t),1.903,1.57,3.889,-3.558,1.972,0.406
T5(t),0.632,0.507,2.592,-2.902,1.303,0.392
RH_5(t),6.943,5.277,10.555,-13.037,5.068,0.552
T6(t),2.701,2.169,inf,-2.052,20.267,0.357
RH_6(t),10.127,8.206,127.139,-2.896596843159295e+27,16.118,inf
T7(t),0.587,0.483,2.416,-4.188,1.205,0.506
RH_7(t),2.894,2.45,6.826,-4.082,3.461,0.483
T8(t),0.701,0.586,2.685,-1.166,1.335,0.351
RH_8(t),2.801,2.309,5.329,-1.794,2.686,0.364
T9(t),0.4,0.346,1.814,-6.793,0.909,0.617
RH_9(t),2.19,1.888,4.425,-4.487,2.242,0.444
T_out(t),2.247,1.835,inf,-3.559,17.955,0.38
Press_mm_hg(t),3.405,3.028,0.4,-6.949,0.2,0.665
RH_out(t),8.573,6.762,9.92,-1.112,4.641,0.275
Windspeed(t),1.552,1.253,inf,-1.169,16.754,0.303
Visibility(t),7.992,6.591,18.259,0.281,8.581,0.231
Tdewpoint(t),1.943,1.577,inf,-10.878,27.51,0.491
