variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances(t),86.812,58.108,74.747,-1.044,25.819,0.206,30.958,18.418,29.265,3.969,5.838,0.155
lights(t),7.064,5.123,inf,-1.108,87.473,inf,2.909,2.417,,4.884,11.16,
T1(t),0.702,0.565,2.675,-1.332,1.337,0.362,0.46,0.393,2.048,5.098,1.014,0.244
RH_1(t),2.054,1.664,4.095,-1.219,2.039,0.266,1.357,1.207,2.797,2.701,1.415,0.18
T2(t),1.043,0.849,4.144,-0.302,2.073,0.296,0.524,0.431,2.215,1.798,1.092,0.172
RH_2(t),2.203,1.822,4.583,-1.202,2.284,0.303,1.655,1.484,3.362,3.807,1.734,0.242
T3(t),0.725,0.604,2.676,-2.707,1.351,0.404,0.499,0.435,1.946,5.597,0.995,0.312
RH_3(t),1.499,1.235,3.106,-1.841,1.555,0.342,1.078,0.995,2.256,3.868,1.167,0.223
T4(t),0.858,0.729,3.63,-3.108,1.812,0.459,0.56,0.492,2.768,6.215,1.349,0.318
RH_4(t),1.903,1.57,3.889,-3.558,1.972,0.406,1.523,1.466,3.198,8.877,1.705,0.318
T5(t),0.632,0.507,2.592,-2.902,1.303,0.392,0.408,0.344,1.79,7.967,0.905,0.4
RH_5(t),6.943,5.277,10.555,-13.037,5.068,0.552,2.781,2.171,5.131,48.148,2.236,0.914
T6(t),2.701,2.169,inf,-2.052,20.267,0.357,1.292,1.157,,8.987,16.655,0.423
RH_6(t),10.127,8.206,127.139,-2.896596843159295e+27,16.118,inf,5.341,4.681,218.922,1.5865314309965996e+28,16.167,
T7(t),0.587,0.483,2.416,-4.188,1.205,0.506,0.375,0.308,1.721,7.314,0.829,0.352
RH_7(t),2.894,2.45,6.826,-4.082,3.461,0.483,2.103,2.044,4.877,11.653,2.683,0.432
T8(t),0.701,0.586,2.685,-1.166,1.335,0.351,0.396,0.359,1.635,3.773,0.793,0.226
RH_8(t),2.801,2.309,5.329,-1.794,2.686,0.364,1.8,1.746,3.283,5.436,1.806,0.301
T9(t),0.4,0.346,1.814,-6.793,0.909,0.617,0.242,0.222,1.275,10.5,0.63,0.377
RH_9(t),2.19,1.888,4.425,-4.487,2.242,0.444,1.567,1.52,3.031,15.632,1.65,0.496
T_out(t),2.247,1.835,inf,-3.559,17.955,0.38,1.341,1.211,,14.258,16.25,0.489
Press_mm_hg(t),3.405,3.028,0.4,-6.949,0.2,0.665,3.451,3.274,0.429,14.185,0.216,0.45
RH_out(t),8.573,6.762,9.92,-1.112,4.641,0.275,4.251,3.609,6.047,6.122,2.632,0.193
Windspeed(t),1.552,1.253,inf,-1.169,16.754,0.303,0.908,0.795,,4.488,8.091,0.213
Visibility(t),7.992,6.591,18.259,0.281,8.581,0.231,4.047,3.6,9.964,0.482,4.225,0.076
Tdewpoint(t),1.943,1.577,inf,-10.878,27.51,0.491,1.435,1.395,,41.278,22.446,0.679
