variable,rmse,mae,mape,r2,smape,nrmse
Appliances(t),98.442,73.755,95.59,-1.543,38.509,0.225
lights(t),8.06,6.313,inf,-2.093,87.075,inf
T1(t),0.076,0.061,0.286,0.974,0.143,0.04
RH_1(t),0.783,0.604,1.507,0.554,0.749,0.117
T2(t),0.167,0.139,0.667,0.96,0.333,0.048
RH_2(t),0.477,0.393,0.975,0.867,0.485,0.071
T3(t),0.107,0.083,0.366,0.897,0.183,0.066
RH_3(t),0.273,0.205,0.525,0.892,0.263,0.068
T4(t),0.129,0.102,0.499,0.908,0.25,0.066
RH_4(t),0.304,0.249,0.636,0.87,0.318,0.072
T5(t),0.178,0.128,0.654,0.66,0.327,0.121
RH_5(t),3.45,2.495,5.041,-2.581,2.449,0.29
T6(t),0.36,0.29,inf,0.973,3.376,0.043
RH_6(t),1.861,1.457,17.226,-1.4923013577098035e+25,6.014,inf
T7(t),0.078,0.064,0.318,0.888,0.159,0.071
RH_7(t),0.242,0.187,0.545,0.977,0.272,0.039
T8(t),0.079,0.066,0.306,0.971,0.153,0.041
RH_8(t),0.362,0.293,0.682,0.926,0.34,0.05
T9(t),0.075,0.059,0.311,0.789,0.156,0.111
RH_9(t),0.273,0.216,0.525,0.948,0.263,0.052
T_out(t),0.234,0.195,inf,0.973,3.035,0.038
Press_mm_hg(t),0.109,0.09,0.012,0.989,0.006,0.025
RH_out(t),1.413,1.18,1.581,0.957,0.785,0.046
Windspeed(t),0.332,0.272,inf,0.873,5.337,0.069
Visibility(t),3.282,2.629,7.136,0.724,3.582,0.112
Tdewpoint(t),0.248,0.207,inf,0.953,7.873,0.052
