variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances(t),98.442,73.755,95.59,-1.543,73.755,-1.543,45.66,39.715,51.582,5.361,16.886,0.189
lights(t),8.06,6.313,inf,-2.093,6.313,-2.093,2.994,2.619,,5.29,10.907,
T1(t),0.076,0.061,0.286,0.974,0.061,0.974,0.048,0.042,0.201,0.036,0.1,0.022
RH_1(t),0.783,0.604,1.507,0.554,0.604,0.554,0.293,0.285,0.722,0.619,0.353,0.085
T2(t),0.167,0.139,0.667,0.96,0.139,0.96,0.092,0.084,0.384,0.071,0.19,0.029
RH_2(t),0.477,0.393,0.975,0.867,0.393,0.867,0.233,0.224,0.521,0.257,0.259,0.048
T3(t),0.107,0.083,0.366,0.897,0.083,0.897,0.05,0.043,0.171,0.143,0.086,0.04
RH_3(t),0.273,0.205,0.525,0.892,0.205,0.892,0.094,0.072,0.197,0.108,0.099,0.032
T4(t),0.129,0.102,0.499,0.908,0.102,0.908,0.078,0.063,0.327,0.179,0.164,0.042
RH_4(t),0.304,0.249,0.636,0.87,0.249,0.87,0.175,0.159,0.391,0.179,0.195,0.048
T5(t),0.178,0.128,0.654,0.66,0.128,0.66,0.085,0.074,0.41,0.693,0.206,0.123
RH_5(t),3.45,2.495,5.041,-2.581,2.495,-2.581,1.886,1.715,3.932,10.93,1.765,0.531
T6(t),0.36,0.29,inf,0.973,0.29,0.973,0.132,0.122,,0.042,3.307,0.025
RH_6(t),1.861,1.457,17.226,-1.4923013577098035e+25,1.457,-1.4923013577098035e+25,0.932,0.802,29.957,8.173671162132455e+25,9.925,
T7(t),0.078,0.064,0.318,0.888,0.064,0.888,0.049,0.043,0.211,0.157,0.106,0.049
RH_7(t),0.242,0.187,0.545,0.977,0.187,0.977,0.106,0.073,0.234,0.023,0.117,0.019
T8(t),0.079,0.066,0.306,0.971,0.066,0.971,0.041,0.038,0.191,0.041,0.096,0.024
RH_8(t),0.362,0.293,0.682,0.926,0.293,0.926,0.288,0.263,0.534,0.259,0.263,0.062
T9(t),0.075,0.059,0.311,0.789,0.059,0.789,0.043,0.034,0.207,0.226,0.104,0.059
RH_9(t),0.273,0.216,0.525,0.948,0.216,0.948,0.106,0.092,0.219,0.075,0.109,0.032
T_out(t),0.234,0.195,inf,0.973,0.195,0.973,0.1,0.093,,0.045,3.972,0.026
Press_mm_hg(t),0.109,0.09,0.012,0.989,0.09,0.989,0.057,0.048,0.006,0.013,0.003,0.014
RH_out(t),1.413,1.18,1.581,0.957,1.18,0.957,0.739,0.705,0.891,0.054,0.437,0.024
Windspeed(t),0.332,0.272,inf,0.873,0.272,0.873,0.11,0.09,,0.376,4.68,0.046
Visibility(t),3.282,2.629,7.136,0.724,2.629,0.724,1.529,1.375,3.569,0.832,1.853,0.102
Tdewpoint(t),0.248,0.207,inf,0.953,0.207,0.953,0.1,0.087,,0.037,9.676,0.02
