window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.314,18.2,0.175,0.798,8.829,0.069,use [kW](t)
0,0.029,inf,0.01,0.857,45.494,0.054,gen [kW](t)
0,0.069,inf,0.016,0.906,91.89,0.05,Dishwasher [kW](t)
0,0.094,80.44,0.049,0.796,33.35,0.062,Furnace 1 [kW](t)
0,0.118,52.401,0.066,0.746,25.493,0.177,Furnace 2 [kW](t)
0,0.022,10.661,0.007,0.953,4.813,0.025,Home office [kW](t)
0,0.023,64.67,0.007,0.919,27.834,0.037,Fridge [kW](t)
0,0.005,30.163,0.003,0.979,15.542,0.042,Wine cellar [kW](t)
0,0.005,1.939,0.0,0.226,0.879,0.034,Garage door [kW](t)
0,0.001,11.371,0.0,-0.811,4.122,0.035,Kitchen 12 [kW](t)
0,0.066,inf,0.01,0.547,93.038,0.041,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-0.965,75.51,0.0,Kitchen 38 [kW](t)
0,0.033,22.942,0.011,0.813,11.358,0.032,Barn [kW](t)
0,0.148,927.947,0.025,0.101,85.155,0.092,Well [kW](t)
0,0.079,80.638,0.008,0.042,21.423,0.043,Microwave [kW](t)
0,0.031,972.927,0.023,0.947,62.147,0.089,Living room [kW](t)
0,0.029,inf,0.01,0.857,45.494,0.054,Solar [kW](t)
0,1.807,5.39,1.601,0.971,2.721,0.046,temperature(t)
0,0.077,10.663,0.07,0.851,5.515,0.135,humidity(t)
0,0.558,7.287,0.494,0.937,3.446,0.069,visibility(t)
0,2.966,10.964,2.677,0.945,5.727,0.067,apparentTemperature(t)
0,1.006,0.08,0.803,0.986,0.04,0.035,pressure(t)
0,1.365,29.985,1.237,0.902,10.283,0.085,windSpeed(t)
0,24.223,17.163,21.461,0.907,7.245,0.094,windBearing(t)
0,0.004,inf,0.003,0.974,81.409,0.031,precipIntensity(t)
0,4.488,27.002,4.075,0.916,15.074,0.091,dewPoint(t)
0,0.051,inf,0.045,0.96,77.416,0.063,precipProbability(t)
16796,0.308,350.758,0.175,0.777,11.362,0.039,use [kW](t)
16796,0.041,inf,0.028,0.901,61.721,0.09,gen [kW](t)
16796,0.071,inf,0.018,0.911,91.157,0.052,Dishwasher [kW](t)
16796,0.08,52.898,0.038,0.854,14.524,0.13,Furnace 1 [kW](t)
16796,0.131,51.487,0.073,0.752,17.021,0.194,Furnace 2 [kW](t)
16796,0.016,21.647,0.01,0.982,10.916,0.026,Home office [kW](t)
16796,0.019,61.603,0.007,0.916,18.402,0.031,Fridge [kW](t)
16796,0.005,41.859,0.003,0.978,20.492,0.042,Wine cellar [kW](t)
16796,0.008,3.358,0.001,0.305,1.522,0.032,Garage door [kW](t)
16796,0.038,302.861,0.005,0.373,62.875,0.041,Kitchen 12 [kW](t)
16796,0.058,inf,0.004,0.503,85.256,0.036,Kitchen 14 [kW](t)
16796,0.0,inf,0.0,-0.958,72.29,0.0,Kitchen 38 [kW](t)
16796,0.117,41.931,0.022,0.511,19.616,0.017,Barn [kW](t)
16796,0.133,850.728,0.02,0.011,74.408,0.083,Well [kW](t)
