window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.738,52.186,0.508,-0.057,22.484,0.176,use [kW](t)
0,0.059,250.778,0.021,0.365,60.579,0.121,gen [kW](t)
0,0.215,inf,0.046,0.011,93.846,0.158,Dishwasher [kW](t)
0,0.223,242.823,0.139,-0.24,39.966,0.368,Furnace 1 [kW](t)
0,0.323,161.798,0.214,-0.913,39.384,0.495,Furnace 2 [kW](t)
0,0.038,19.118,0.015,0.845,8.622,0.075,Home office [kW](t)
0,0.071,271.74,0.031,0.101,33.692,0.115,Fridge [kW](t)
0,0.018,52.347,0.005,0.735,19.513,0.152,Wine cellar [kW](t)
0,0.002,3.775,0.001,-0.909,1.759,0.073,Garage door [kW](t)
0,0.0,30.069,0.0,-0.449,12.236,0.0,Kitchen 12 [kW](t)
0,0.207,inf,0.042,-0.951,95.366,0.131,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-1.04,78.113,0.0,Kitchen 38 [kW](t)
0,0.042,25.801,0.014,0.642,9.914,0.09,Barn [kW](t)
0,0.253,2716.535,0.051,-1.033,87.901,0.158,Well [kW](t)
0,0.148,273.884,0.02,-1.014,36.926,0.082,Microwave [kW](t)
0,0.06,918.08,0.027,0.799,63.792,0.174,Living room [kW](t)
0,0.059,250.778,0.021,0.365,60.579,0.121,Solar [kW](t)
0,2.3,6.365,2.048,0.953,3.247,0.058,temperature(t)
0,0.057,8.259,0.051,0.918,4.129,0.1,humidity(t)
0,0.636,7.358,0.48,0.919,3.428,0.079,visibility(t)
0,2.952,10.755,2.629,0.945,5.53,0.066,apparentTemperature(t)
0,1.586,0.14,1.411,0.966,0.07,0.055,pressure(t)
0,1.097,15.399,0.677,0.937,5.9,0.068,windSpeed(t)
0,15.272,9.311,12.89,0.963,4.316,0.059,windBearing(t)
0,0.006,inf,0.003,0.931,81.218,0.046,precipIntensity(t)
0,4.114,25.54,3.668,0.93,13.866,0.083,dewPoint(t)
0,0.061,inf,0.043,0.944,76.265,0.075,precipProbability(t)
1679,0.705,90.16,0.526,-0.106,26.083,0.171,use [kW](t)
1679,0.036,961.193,0.029,0.922,66.56,0.079,gen [kW](t)
1679,0.226,inf,0.052,0.188,92.784,0.165,Dishwasher [kW](t)
1679,0.216,179.45,0.131,-0.085,32.481,0.354,Furnace 1 [kW](t)
1679,0.384,213.87,0.288,-1.078,45.64,0.58,Furnace 2 [kW](t)
1679,0.054,19.265,0.013,0.804,7.7,0.089,Home office [kW](t)
1679,0.066,268.75,0.031,0.053,31.367,0.108,Fridge [kW](t)
1679,0.015,36.035,0.004,0.807,13.676,0.127,Wine cellar [kW](t)
1679,0.004,5.087,0.001,-0.997,2.156,0.075,Garage door [kW](t)
1679,0.091,1370.2,0.014,-0.503,63.39,0.099,Kitchen 12 [kW](t)
1679,0.156,inf,0.016,-1.008,83.007,0.096,Kitchen 14 [kW](t)
1679,0.0,inf,0.0,-1.031,73.718,0.0,Kitchen 38 [kW](t)
1679,0.057,38.369,0.022,0.759,13.82,0.102,Barn [kW](t)
1679,0.212,2206.075,0.042,-1.035,67.554,0.142,Well [kW](t)
1679,0.121,145.979,0.011,-1.008,10.279,0.071,Microwave [kW](t)
1679,0.047,335.121,0.01,0.662,50.768,0.137,Living room [kW](t)
1679,0.036,961.193,0.029,0.922,66.56,0.079,Solar [kW](t)
1679,0.99,3.495,0.772,0.954,1.744,0.048,temperature(t)
1679,0.015,2.081,0.01,0.966,1.038,0.044,humidity(t)
1679,0.303,2.583,0.231,0.894,1.276,0.089,visibility(t)
1679,1.159,7.617,0.873,0.959,3.699,0.049,apparentTemperature(t)
1679,1.891,0.149,1.514,0.887,0.074,0.107,pressure(t)
1679,1.173,9.966,0.863,0.895,4.862,0.087,windSpeed(t)
1679,53.029,inf,33.723,0.881,27.729,0.148,windBearing(t)
1679,0.0,inf,0.0,0.858,94.067,0.0,precipIntensity(t)
1679,0.605,7.227,0.464,0.946,3.58,0.055,dewPoint(t)
1679,0.017,inf,0.005,0.806,94.634,0.059,precipProbability(t)
3358,0.488,71.717,0.331,-0.227,24.075,0.174,use [kW](t)
3358,0.016,229.568,0.01,0.978,55.549,0.034,gen [kW](t)
3358,0.123,inf,0.015,-0.198,93.982,0.091,Dishwasher [kW](t)
3358,0.203,233.86,0.118,-0.318,47.272,0.26,Furnace 1 [kW](t)
3358,0.269,118.157,0.142,-0.883,26.454,0.405,Furnace 2 [kW](t)
3358,0.039,16.855,0.011,0.798,7.217,0.095,Home office [kW](t)
3358,0.06,288.005,0.031,-0.084,25.822,0.277,Fridge [kW](t)
3358,0.016,46.982,0.005,0.808,19.218,0.136,Wine cellar [kW](t)
3358,0.01,10.091,0.002,-1.043,3.337,0.123,Garage door [kW](t)
3358,0.0,30.688,0.0,-0.236,13.6,0.0,Kitchen 12 [kW](t)
3358,0.041,inf,0.005,-0.976,88.433,0.092,Kitchen 14 [kW](t)
3358,0.0,inf,0.0,-0.726,76.251,0.0,Kitchen 38 [kW](t)
3358,0.064,26.065,0.021,0.574,8.529,0.098,Barn [kW](t)
3358,0.113,589.442,0.011,-1.007,69.0,0.071,Well [kW](t)
3358,0.141,196.964,0.014,-1.007,22.03,0.076,Microwave [kW](t)
3358,0.056,616.338,0.014,0.576,76.615,0.161,Living room [kW](t)
3358,0.016,229.568,0.01,0.978,55.549,0.034,Solar [kW](t)
3358,1.617,3.651,1.337,0.977,1.828,0.04,temperature(t)
3358,0.048,6.261,0.043,0.893,3.123,0.109,humidity(t)
3358,0.625,9.116,0.497,0.945,4.13,0.068,visibility(t)
3358,2.18,5.893,1.787,0.971,2.957,0.051,apparentTemperature(t)
3358,0.789,0.064,0.652,0.973,0.032,0.044,pressure(t)
3358,0.89,5.773,0.386,0.924,2.776,0.055,windSpeed(t)
3358,38.699,inf,19.596,0.816,6.117,0.108,windBearing(t)
3358,0.005,inf,0.003,0.934,71.924,0.048,precipIntensity(t)
3358,2.873,9.418,2.523,0.948,4.722,0.068,dewPoint(t)
3358,0.072,inf,0.054,0.929,68.193,0.091,precipProbability(t)
5037,0.621,50.404,0.47,0.304,19.819,0.124,use [kW](t)
5037,0.022,419.947,0.016,0.975,68.076,0.04,gen [kW](t)
5037,0.207,inf,0.043,0.07,93.621,0.153,Dishwasher [kW](t)
5037,0.16,80.264,0.09,0.25,18.735,0.251,Furnace 1 [kW](t)
5037,0.383,184.917,0.29,-0.814,42.266,0.547,Furnace 2 [kW](t)
5037,0.051,17.024,0.014,0.695,7.223,0.108,Home office [kW](t)
5037,0.067,264.008,0.03,0.136,31.953,0.11,Fridge [kW](t)
5037,0.014,28.537,0.003,0.779,7.862,0.12,Wine cellar [kW](t)
5037,0.003,5.07,0.001,-1.032,2.231,0.108,Garage door [kW](t)
5037,0.031,290.857,0.002,-1.005,31.505,0.07,Kitchen 12 [kW](t)
5037,0.059,inf,0.01,-0.764,90.828,0.125,Kitchen 14 [kW](t)
5037,0.0,inf,0.0,-1.031,68.718,0.0,Kitchen 38 [kW](t)
5037,0.043,23.324,0.015,0.815,8.379,0.098,Barn [kW](t)
5037,0.209,2066.715,0.038,-1.026,82.742,0.131,Well [kW](t)
5037,0.14,194.542,0.018,-0.522,33.445,0.077,Microwave [kW](t)
5037,0.048,461.194,0.012,0.691,75.229,0.14,Living room [kW](t)
5037,0.022,419.947,0.016,0.975,68.076,0.04,Solar [kW](t)
5037,2.167,9.269,1.357,0.976,4.052,0.034,temperature(t)
5037,0.031,3.542,0.026,0.932,1.775,0.067,humidity(t)
5037,0.74,10.363,0.579,0.933,4.751,0.086,visibility(t)
5037,2.04,9.737,1.229,0.978,4.272,0.032,apparentTemperature(t)
5037,1.905,0.119,1.209,0.97,0.059,0.047,pressure(t)
5037,0.942,18.67,0.569,0.948,6.815,0.049,windSpeed(t)
5037,31.345,28.562,23.142,0.916,10.46,0.092,windBearing(t)
5037,0.008,inf,0.003,0.891,71.63,0.045,precipIntensity(t)
5037,2.475,13.213,1.539,0.974,5.484,0.037,dewPoint(t)
5037,0.066,inf,0.051,0.935,68.949,0.08,precipProbability(t)
6716,0.516,115.642,0.383,0.201,24.985,0.142,use [kW](t)
6716,0.055,660.129,0.039,0.898,59.455,0.106,gen [kW](t)
6716,0.142,inf,0.021,-0.024,94.898,0.108,Dishwasher [kW](t)
6716,0.221,75.791,0.119,0.138,23.127,0.125,Furnace 1 [kW](t)
6716,0.313,120.392,0.212,-0.809,33.394,0.467,Furnace 2 [kW](t)
6716,0.038,15.638,0.009,0.827,6.758,0.08,Home office [kW](t)
6716,0.077,308.11,0.032,-0.048,33.439,0.124,Fridge [kW](t)
6716,0.017,42.465,0.004,0.745,13.732,0.141,Wine cellar [kW](t)
6716,0.011,12.491,0.002,-1.032,3.865,0.117,Garage door [kW](t)
6716,0.0,inf,0.0,-0.002,11.254,0.0,Kitchen 12 [kW](t)
6716,0.052,inf,0.007,-0.979,81.265,0.11,Kitchen 14 [kW](t)
6716,0.0,inf,0.0,-1.054,69.837,0.0,Kitchen 38 [kW](t)
6716,0.023,12.917,0.006,-0.688,4.599,0.169,Barn [kW](t)
6716,0.092,491.176,0.009,-1.004,45.48,0.072,Well [kW](t)
6716,0.203,316.015,0.027,-1.01,36.021,0.109,Microwave [kW](t)
6716,0.038,249.643,0.007,0.654,57.677,0.111,Living room [kW](t)
6716,0.055,660.129,0.039,0.898,59.455,0.106,Solar [kW](t)
6716,1.969,4.247,1.552,0.943,2.094,0.051,temperature(t)
6716,0.021,2.103,0.011,0.967,1.044,0.048,humidity(t)
6716,0.077,0.229,0.022,0.876,0.114,0.053,visibility(t)
6716,2.517,6.595,1.974,0.938,3.208,0.058,apparentTemperature(t)
6716,1.091,0.083,0.838,0.961,0.041,0.054,pressure(t)
6716,0.894,4.924,0.375,0.897,2.321,0.062,windSpeed(t)
6716,6.811,1.579,3.549,0.966,0.789,0.05,windBearing(t)
6716,0.001,inf,0.0,0.886,93.904,0.079,precipIntensity(t)
6716,1.974,8.692,1.552,0.948,4.036,0.055,dewPoint(t)
6716,0.036,inf,0.01,0.882,94.485,0.067,precipProbability(t)
8395,0.365,41.747,0.193,0.144,17.835,0.137,use [kW](t)
8395,0.024,257.314,0.016,0.967,51.333,0.056,gen [kW](t)
8395,0.168,inf,0.031,0.013,94.76,0.124,Dishwasher [kW](t)
8395,0.1,81.717,0.032,0.188,17.338,0.165,Furnace 1 [kW](t)
8395,0.121,28.368,0.031,-0.606,6.662,0.202,Furnace 2 [kW](t)
8395,0.049,48.66,0.027,0.812,24.722,0.128,Home office [kW](t)
