window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.442,29.322,0.299,0.454,13.907,0.11,use(t)
0,0.031,132.442,0.015,0.805,58.765,0.066,gen(t)
0,0.169,inf,0.046,0.302,93.208,0.125,Dishwasher(t)
0,0.143,120.526,0.094,0.262,27.626,0.141,Furnace 1(t)
0,0.168,84.881,0.123,-0.05,27.856,0.277,Furnace 2(t)
0,0.038,20.327,0.016,0.853,10.42,0.072,Home office(t)
0,0.059,151.331,0.029,0.344,35.738,0.098,Fridge(t)
0,0.014,38.19,0.005,0.839,17.743,0.118,Wine cellar(t)
0,0.005,5.458,0.001,-0.938,2.21,0.091,Garage door(t)
0,0.0,20.866,0.0,-0.208,9.265,0.0,Kitchen 12(t)
0,0.072,14867.682,0.019,-0.578,91.344,0.122,Kitchen 14(t)
0,0.0,47.346,0.0,-0.813,20.326,0.0,Kitchen 38(t)
0,0.031,22.487,0.012,0.802,10.552,0.069,Barn(t)
0,0.1,1899.895,0.038,-0.969,83.749,0.234,Well(t)
0,0.053,157.992,0.012,-0.835,20.316,0.093,Microwave(t)
0,0.055,763.828,0.027,0.828,66.083,0.162,Living room(t)
0,0.031,132.442,0.015,0.805,58.765,0.066,Solar(t)
0,1.648,4.523,1.4,0.976,2.303,0.042,temperature(t)
0,0.054,7.508,0.048,0.927,3.834,0.095,humidity(t)
0,0.514,5.776,0.38,0.947,2.706,0.064,visibility(t)
0,2.232,8.089,1.934,0.969,4.188,0.05,apparentTemperature(t)
0,1.218,0.102,1.029,0.98,0.051,0.042,pressure(t)
0,1.043,18.599,0.787,0.942,6.842,0.065,windSpeed(t)
0,0.078,inf,0.052,0.95,24.118,0.078,cloudCover(t)
0,11.707,6.524,9.58,0.978,3.108,0.045,windBearing(t)
0,0.005,inf,0.003,0.957,79.405,0.039,precipIntensity(t)
0,3.364,20.794,2.991,0.953,12.21,0.068,dewPoint(t)
0,0.048,inf,0.035,0.965,74.804,0.059,precipProbability(t)
1679,0.38,35.531,0.275,0.506,14.317,0.094,use(t)
1679,0.028,499.494,0.022,0.954,61.115,0.062,gen(t)
1679,0.172,19001.56,0.046,0.374,92.294,0.125,Dishwasher(t)
1679,0.133,60.643,0.085,0.437,21.055,0.221,Furnace 1(t)
1679,0.186,71.211,0.141,-0.219,25.656,0.291,Furnace 2(t)
1679,0.045,16.439,0.012,0.859,7.47,0.075,Home office(t)
1679,0.053,149.088,0.029,0.248,31.98,0.089,Fridge(t)
1679,0.012,33.383,0.004,0.867,14.824,0.102,Wine cellar(t)
1679,0.01,10.851,0.002,-0.981,3.883,0.114,Garage door(t)
1679,0.033,565.879,0.006,-0.128,54.641,0.105,Kitchen 12(t)
1679,0.055,3674.231,0.009,-0.632,77.074,0.115,Kitchen 14(t)
1679,0.0,49.138,0.0,-0.928,19.946,0.0,Kitchen 38(t)
1679,0.085,33.832,0.025,0.587,15.707,0.063,Barn(t)
1679,0.079,1354.837,0.027,-0.832,65.091,0.231,Well(t)
1679,0.078,118.389,0.01,-0.103,16.093,0.065,Microwave(t)
1679,0.043,189.037,0.01,0.712,54.046,0.125,Living room(t)
1679,0.028,499.494,0.022,0.954,61.115,0.062,Solar(t)
1679,0.655,2.263,0.497,0.98,1.125,0.032,temperature(t)
1679,0.012,1.67,0.008,0.98,0.833,0.035,humidity(t)
1679,0.175,1.505,0.139,0.965,0.753,0.052,visibility(t)
1679,0.937,6.517,0.761,0.973,3.181,0.04,apparentTemperature(t)
