window,rmse,mape,mae,r2,smape,nrmse,variable
0,12.484,30.056,8.14,0.834,12.87,0.083,PM2.5(t)
0,32.702,28.284,20.61,0.758,11.876,0.107,PM10(t)
0,7.251,25.794,4.187,0.862,12.041,0.064,SO2(t)
0,13.021,23.212,7.964,0.832,9.959,0.108,NO2(t)
0,210.457,14.951,121.237,0.767,7.369,0.073,CO(t)
0,15464.997,4303.527,3576.178,-0.8,49.773,0.174,O3(t)
0,1.605,13.19,1.184,0.899,6.3,0.067,TEMP(t)
0,1.17,0.094,0.947,0.969,0.047,0.044,PRES(t)
0,1.993,inf,1.319,0.865,25.162,0.086,DEWP(t)
0,0.0,inf,0.0,0.0,100.0,,RAIN(t)
0,1.249,inf,0.946,0.38,19.928,0.164,WSPM(t)
1062,17.88,23.895,12.754,0.901,8.471,0.072,PM2.5(t)
1062,37.681,24.17,23.837,0.703,10.117,0.09,PM10(t)
1062,4.285,22.398,2.42,0.85,10.656,0.063,SO2(t)
1062,14.311,12.96,8.349,0.8,6.25,0.066,NO2(t)
1062,258.548,17.351,184.322,0.901,7.882,0.086,CO(t)
1062,18.189,65.287,12.164,0.913,22.466,0.064,O3(t)
1062,1.099,3.537,0.781,0.932,1.767,0.056,TEMP(t)
1062,0.553,0.045,0.446,0.971,0.022,0.041,PRES(t)
1062,1.382,23.659,0.843,0.913,5.961,0.067,DEWP(t)
1062,1.061,inf,0.243,-0.041,93.978,0.099,RAIN(t)
1062,0.669,inf,0.495,0.516,24.638,0.113,WSPM(t)
2124,19.877,31.884,11.106,0.733,9.676,0.109,PM2.5(t)
2124,31.468,64.28,20.248,0.501,16.481,0.15,PM10(t)
2124,4.04,24.068,2.019,0.841,11.128,0.051,SO2(t)
2124,13.197,18.266,9.459,0.671,8.625,0.122,NO2(t)
2124,225.04,23.358,155.327,0.793,10.572,0.087,CO(t)
2124,39.141,216.96,24.885,0.753,33.772,0.118,O3(t)
2124,1.826,4.359,1.176,0.827,2.173,0.1,TEMP(t)
2124,0.672,0.051,0.504,0.934,0.025,0.055,PRES(t)
2124,1.037,3.227,0.676,0.729,1.601,0.079,DEWP(t)
2124,1.457,inf,0.258,-0.582,97.182,0.099,RAIN(t)
2124,0.721,inf,0.548,0.143,29.296,0.168,WSPM(t)
3186,14.603,44.268,10.455,0.872,14.055,0.091,PM2.5(t)
3186,29.531,46.684,19.3,0.655,15.755,0.137,PM10(t)
3186,2.744,23.85,1.995,0.827,10.591,0.098,SO2(t)
3186,10.903,14.487,7.293,0.762,6.847,0.103,NO2(t)
3186,249.225,27.848,176.717,0.9,11.188,0.071,CO(t)
3186,13.839,162.395,7.218,0.836,36.563,0.086,O3(t)
3186,1.161,4.239,0.805,0.927,2.087,0.047,TEMP(t)
3186,0.586,0.046,0.465,0.978,0.023,0.031,PRES(t)
3186,1.336,13.528,0.975,0.935,5.542,0.062,DEWP(t)
3186,0.876,inf,0.134,-0.546,96.759,0.08,RAIN(t)
3186,0.663,inf,0.517,0.267,30.918,0.174,WSPM(t)
4248,32.405,50.608,13.604,0.731,19.076,0.102,PM2.5(t)
4248,38.557,44.766,20.909,0.697,18.579,0.118,PM10(t)
4248,11.571,40.271,5.445,0.517,17.15,0.143,SO2(t)
4248,16.239,27.416,9.491,0.772,11.732,0.103,NO2(t)
4248,556.12,25.961,215.665,0.535,10.33,0.126,CO(t)
4248,20938.337,43729.748,10420.522,-1.047,91.249,0.32,O3(t)
4248,2.443,inf,1.652,0.765,17.532,0.111,TEMP(t)
4248,0.984,0.067,0.685,0.939,0.034,0.051,PRES(t)
4248,1.786,34.416,1.188,0.922,14.234,0.061,DEWP(t)
4248,0.0,inf,0.0,0.0,100.0,,RAIN(t)
4248,0.996,inf,0.738,0.481,24.403,0.146,WSPM(t)
5310,32.251,41.343,21.38,0.916,16.566,0.061,PM2.5(t)
5310,42.357,48.151,27.639,0.888,18.329,0.067,PM10(t)
5310,16.807,24.614,10.453,0.824,10.293,0.088,SO2(t)
5310,12.576,21.878,8.852,0.896,8.705,0.072,NO2(t)
5310,540.861,22.851,362.387,0.87,10.13,0.07,CO(t)
5310,6.533,100.214,4.047,0.832,34.463,0.111,O3(t)
5310,1.468,inf,1.111,0.859,31.886,0.083,TEMP(t)
5310,0.694,0.054,0.558,0.959,0.027,0.047,PRES(t)
5310,1.477,10.614,1.108,0.931,4.932,0.063,DEWP(t)
5310,0.0,,0.0,1.0,,,RAIN(t)
5310,0.701,inf,0.545,0.404,19.487,0.137,WSPM(t)
6372,33.529,83.681,21.812,0.929,18.5,0.065,PM2.5(t)
6372,40.122,84.113,26.296,0.915,19.351,0.078,PM10(t)
6372,15.448,37.544,10.777,0.92,14.011,0.084,SO2(t)
6372,14.127,20.197,9.023,0.868,8.404,0.09,NO2(t)
6372,507.311,26.617,352.426,0.926,11.077,0.071,CO(t)
6372,9.984,133.191,6.199,0.857,31.66,0.123,O3(t)
6372,1.318,inf,0.939,0.837,20.02,0.074,TEMP(t)
6372,0.629,0.047,0.484,0.966,0.024,0.047,PRES(t)
6372,1.615,24.759,1.03,0.943,11.202,0.059,DEWP(t)
6372,0.034,inf,0.004,0.179,99.223,0.085,RAIN(t)
6372,0.753,inf,0.569,0.472,19.379,0.134,WSPM(t)
7434,20.725,14.715,14.008,0.869,6.816,0.075,PM2.5(t)
7434,39.771,24.756,27.237,0.841,8.277,0.067,PM10(t)
7434,5.251,16.791,3.617,0.776,7.974,0.091,SO2(t)
7434,13.332,14.883,9.917,0.727,6.95,0.087,NO2(t)
7434,216.082,14.49,151.879,0.776,7.063,0.103,CO(t)
7434,18.654,128.693,13.297,0.844,27.926,0.093,O3(t)
7434,1.243,5.925,0.924,0.912,2.941,0.056,TEMP(t)
7434,0.651,0.049,0.491,0.969,0.024,0.042,PRES(t)
7434,1.536,46.583,0.903,0.89,16.083,0.08,DEWP(t)
7434,0.085,inf,0.01,0.151,99.469,0.065,RAIN(t)
7434,0.674,inf,0.514,0.298,24.539,0.15,WSPM(t)
8496,15.522,26.139,8.952,0.797,8.855,0.106,PM2.5(t)
8496,63.235,40.518,21.919,0.474,12.389,0.088,PM10(t)
8496,5.307,33.267,2.934,0.913,14.272,0.058,SO2(t)
8496,17.564,22.228,11.925,0.762,10.225,0.089,NO2(t)
8496,251.622,25.889,155.262,0.843,10.407,0.079,CO(t)
8496,27.69,123.133,21.02,0.871,22.125,0.082,O3(t)
8496,1.671,5.21,1.255,0.919,2.573,0.065,TEMP(t)
8496,0.703,0.048,0.478,0.977,0.024,0.038,PRES(t)
8496,1.712,38.195,1.11,0.819,5.865,0.08,DEWP(t)
8496,1.335,inf,0.252,-0.075,97.884,0.115,RAIN(t)
8496,0.874,inf,0.638,0.521,45.909,0.125,WSPM(t)
9558,14.038,27.038,9.55,0.92,11.03,0.066,PM2.5(t)
9558,14.038,27.038,9.55,0.92,11.03,0.066,PM10(t)
9558,1.076,20.056,0.648,0.546,9.448,0.134,SO2(t)
9558,12.707,21.553,9.155,0.719,10.223,0.097,NO2(t)
9558,188.966,23.196,116.471,0.894,10.308,0.065,CO(t)
9558,23.484,67.395,18.02,0.837,17.768,0.097,O3(t)
9558,1.521,4.224,1.162,0.872,2.097,0.092,TEMP(t)
9558,0.533,0.042,0.418,0.959,0.021,0.048,PRES(t)
9558,1.349,5.28,0.952,0.913,2.59,0.083,DEWP(t)
9558,2.263,inf,0.243,-0.876,99.227,0.084,RAIN(t)
9558,0.907,inf,0.651,0.18,35.637,0.165,WSPM(t)
10620,13.43,24.245,9.895,0.919,9.881,0.08,PM2.5(t)
10620,30.671,26.029,18.76,0.74,10.864,0.099,PM10(t)
10620,1.697,22.06,0.917,0.654,10.356,0.106,SO2(t)
10620,16.036,34.306,10.647,0.725,9.687,0.111,NO2(t)
10620,260.422,25.604,196.682,0.771,11.446,0.093,CO(t)
10620,24.06,82.7,15.697,0.773,21.219,0.12,O3(t)
10620,1.394,4.194,1.003,0.869,2.104,0.078,TEMP(t)
10620,0.712,0.044,0.445,0.939,0.022,0.052,PRES(t)
10620,1.125,5.082,0.796,0.896,2.494,0.069,DEWP(t)
10620,1.626,inf,0.319,-0.347,96.935,0.12,RAIN(t)
10620,0.692,inf,0.511,0.255,41.69,0.177,WSPM(t)
11682,25.848,22.061,16.489,0.929,9.872,0.072,PM2.5(t)
11682,41.788,20.487,27.254,0.857,9.328,0.084,PM10(t)
11682,3.42,19.242,2.176,0.81,9.141,0.061,SO2(t)
11682,19.005,13.734,11.893,0.861,6.7,0.069,NO2(t)
11682,328.879,17.466,210.695,0.876,8.68,0.075,CO(t)
11682,11.767,75.04,6.259,0.766,22.934,0.113,O3(t)
11682,1.611,8.302,1.055,0.887,4.241,0.074,TEMP(t)
11682,0.64,0.05,0.506,0.976,0.025,0.038,PRES(t)
11682,1.263,inf,0.85,0.944,12.405,0.051,DEWP(t)
11682,0.0,inf,0.0,0.0,100.0,,RAIN(t)
11682,0.713,inf,0.512,0.492,47.555,0.132,WSPM(t)
12744,20.567,54.776,13.961,0.935,21.378,0.065,PM2.5(t)
12744,43.859,40.698,26.39,0.868,16.499,0.07,PM10(t)
12744,7.255,28.687,4.649,0.774,12.812,0.084,SO2(t)
12744,11.223,23.516,8.207,0.91,10.411,0.084,NO2(t)
12744,409.067,24.11,256.62,0.894,11.055,0.08,CO(t)
12744,7.056,85.782,5.164,0.88,24.758,0.116,O3(t)
12744,1.122,inf,0.836,0.918,24.897,0.055,TEMP(t)
12744,2.787,0.211,2.157,0.741,0.105,0.116,PRES(t)
12744,1.832,inf,1.355,0.955,12.782,0.06,DEWP(t)
12744,0.048,inf,0.005,-0.685,99.893,0.08,RAIN(t)
12744,1.062,inf,0.741,0.562,21.546,0.14,WSPM(t)
13806,15.564,46.928,10.863,0.905,17.379,0.074,PM2.5(t)
13806,22.771,43.604,15.199,0.835,15.857,0.093,PM10(t)
13806,10.194,37.938,6.866,0.805,14.436,0.08,SO2(t)
13806,13.633,40.342,9.775,0.869,13.835,0.091,NO2(t)
13806,389.521,23.392,256.165,0.86,10.211,0.071,CO(t)
13806,12.089,71.378,8.348,0.829,20.915,0.114,O3(t)
13806,1.728,inf,1.242,0.842,31.617,0.086,TEMP(t)
13806,2.609,0.203,2.086,0.725,0.102,0.104,PRES(t)
13806,1.541,8.472,1.148,0.89,3.99,0.071,DEWP(t)
13806,0.0,inf,0.0,0.0,100.0,,RAIN(t)
13806,0.979,inf,0.734,0.313,23.571,0.158,WSPM(t)
14868,18.945,32.415,14.351,0.936,12.238,0.058,PM2.5(t)
14868,41.055,23.767,28.447,0.794,10.005,0.111,PM10(t)
14868,5.443,34.909,3.584,0.902,13.34,0.063,SO2(t)
14868,12.578,21.758,9.146,0.865,9.154,0.099,NO2(t)
14868,301.604,22.294,201.239,0.873,9.694,0.097,CO(t)
14868,12.901,46.978,9.771,0.878,16.378,0.096,O3(t)
14868,1.534,inf,1.235,0.9,10.206,0.077,TEMP(t)
14868,1.184,0.095,0.965,0.968,0.047,0.048,PRES(t)
14868,1.902,23.905,1.349,0.924,10.5,0.065,DEWP(t)
14868,0.0,inf,0.0,0.0,100.0,,RAIN(t)
14868,0.771,inf,0.604,0.535,18.312,0.148,WSPM(t)
15930,16.278,25.701,8.043,0.604,11.561,0.091,PM2.5(t)
15930,36.424,37.799,23.682,0.624,16.398,0.105,PM10(t)
15930,2.449,22.373,1.271,0.754,10.067,0.111,SO2(t)
15930,12.167,23.39,8.009,0.668,10.195,0.095,NO2(t)
15930,214.329,19.986,121.256,0.773,9.082,0.082,CO(t)
15930,16.257,35.488,12.263,0.825,11.483,0.092,O3(t)
15930,1.398,6.435,1.015,0.902,3.127,0.072,TEMP(t)
15930,0.777,0.064,0.648,0.982,0.032,0.028,PRES(t)
15930,2.108,34.881,1.335,0.912,16.827,0.073,DEWP(t)
15930,0.387,inf,0.088,0.619,96.09,0.074,RAIN(t)
15930,0.988,inf,0.719,0.539,18.023,0.12,WSPM(t)
16992,16.997,27.374,12.154,0.937,10.57,0.056,PM2.5(t)
16992,23.087,30.16,17.17,0.878,11.81,0.076,PM10(t)
16992,1.903,20.775,1.2,0.92,9.839,0.07,SO2(t)
16992,11.709,19.498,8.014,0.744,9.085,0.11,NO2(t)
16992,210.395,23.593,140.327,0.825,10.42,0.081,CO(t)
16992,23.504,52.237,18.169,0.889,13.223,0.08,O3(t)
16992,1.09,3.453,0.839,0.908,1.719,0.069,TEMP(t)
16992,0.483,0.038,0.385,0.979,0.019,0.033,PRES(t)
16992,1.002,5.562,0.683,0.94,2.648,0.052,DEWP(t)
16992,0.772,inf,0.151,-0.0,96.935,0.08,RAIN(t)
16992,0.64,inf,0.491,0.267,16.498,0.16,WSPM(t)
18054,14.961,23.903,10.667,0.869,9.868,0.1,PM2.5(t)
18054,25.836,28.243,18.9,0.798,11.734,0.096,PM10(t)
18054,2.121,18.138,0.977,0.615,8.682,0.088,SO2(t)
18054,15.858,23.262,10.857,0.616,10.702,0.11,NO2(t)
18054,245.464,18.691,170.628,0.732,8.539,0.094,CO(t)
18054,31.48,85.545,24.322,0.832,17.206,0.09,O3(t)
18054,1.354,4.098,1.115,0.888,2.036,0.083,TEMP(t)
18054,0.617,0.049,0.491,0.969,0.024,0.044,PRES(t)
18054,1.155,4.519,0.832,0.836,2.224,0.094,DEWP(t)
18054,2.906,inf,0.309,-0.597,99.073,0.079,RAIN(t)
18054,0.642,inf,0.475,0.384,16.785,0.143,WSPM(t)
19116,16.647,28.883,10.204,0.896,12.043,0.07,PM2.5(t)
19116,22.723,29.747,14.819,0.861,12.656,0.094,PM10(t)
19116,3.366,29.456,1.742,0.808,13.028,0.076,SO2(t)
19116,15.68,19.934,10.763,0.745,8.597,0.106,NO2(t)
19116,240.202,16.984,167.394,0.842,8.114,0.083,CO(t)
19116,21.777,87.186,14.384,0.836,23.469,0.097,O3(t)
19116,1.22,4.682,0.912,0.91,2.326,0.076,TEMP(t)
19116,0.81,0.052,0.524,0.979,0.026,0.033,PRES(t)
19116,1.27,19.77,0.796,0.927,7.551,0.057,DEWP(t)
19116,0.571,inf,0.12,-0.435,97.128,0.1,RAIN(t)
19116,0.807,43.561,0.581,0.66,18.291,0.089,WSPM(t)
20178,20.881,24.493,14.231,0.947,9.719,0.053,PM2.5(t)
20178,21.812,24.845,15.182,0.943,9.933,0.055,PM10(t)
20178,1.848,16.669,1.153,0.898,7.739,0.071,SO2(t)
20178,8.971,11.181,6.074,0.865,5.188,0.075,NO2(t)
20178,378.509,16.114,247.004,0.936,7.146,0.056,CO(t)
20178,6.76,35.6,3.998,0.843,15.108,0.091,O3(t)
20178,0.568,12.875,0.4,0.952,5.657,0.047,TEMP(t)
20178,0.678,0.054,0.552,0.981,0.027,0.036,PRES(t)
20178,0.635,inf,0.47,0.945,14.691,0.053,DEWP(t)
20178,0.141,inf,0.048,0.48,92.318,0.078,RAIN(t)
20178,0.564,34.495,0.409,0.474,15.031,0.128,WSPM(t)
21240,49.053,27.027,31.059,0.885,11.761,0.078,PM2.5(t)
21240,54.104,28.269,34.822,0.886,12.141,0.085,PM10(t)
21240,7.908,19.828,5.496,0.81,9.496,0.092,SO2(t)
21240,14.526,11.626,10.154,0.879,5.601,0.072,NO2(t)
