window,rmse,mape,mae,r2,smape,nrmse,variable
0,15.863,24.976,9.111,0.903,10.972,0.063,PM2.5
0,32.071,21.824,18.618,0.766,10.229,0.107,PM10
0,10.047,25.218,4.446,0.559,12.151,0.1,SO2
0,13.389,18.487,7.797,0.761,8.673,0.113,NO2
0,184.517,13.939,110.186,0.664,6.913,0.123,CO
0,13994.153,164450.419,2886.025,-1.04,59.829,0.179,O3
0,1.949,15.475,1.28,0.806,7.416,0.09,TEMP
0,1.423,0.089,0.898,0.95,0.044,0.052,PRES
0,1.67,inf,1.077,0.921,23.564,0.075,DEWP
0,0.018,inf,0.002,-0.212,99.656,0.09,RAIN
0,1.188,inf,0.886,0.318,20.064,0.17,WSPM
0,20.427,40.128,10.679,0.868,13.566,0.082,PM2.5.1
0,38.134,26.64,16.581,0.638,10.444,0.096,PM10.1
0,8.009,29.529,3.884,0.66,13.555,0.111,SO2.1
0,12.983,40.842,7.773,0.502,13.018,0.164,NO2.1
0,193.622,17.122,104.495,0.696,7.98,0.114,CO.1
0,10702.518,4772.472,2570.933,0.0,59.106,0.13,O3.1
0,1.905,14.117,1.2,0.8,6.628,0.089,TEMP.1
0,1.401,0.085,0.855,0.951,0.042,0.052,PRES.1
0,1.614,59.863,0.974,0.935,19.19,0.062,DEWP.1
0,0.061,inf,0.006,-1.01,100.0,0.102,RAIN.1
0,1.263,inf,0.943,0.433,25.066,0.154,WSPM.1
0,17.966,30.849,8.586,0.911,13.498,0.071,PM2.5.2
0,30.448,33.419,15.165,0.782,12.41,0.113,PM10.2
0,7.871,29.064,3.354,0.686,12.378,0.097,SO2.2
0,11.346,44.889,5.921,0.662,15.746,0.122,NO2.2
0,207.187,17.72,94.913,0.728,7.807,0.109,CO.2
0,16874.884,3571.103,4292.499,-0.49,66.299,0.195,O3.2
0,1.905,14.117,1.2,0.8,6.628,0.089,TEMP.2
0,1.401,0.085,0.855,0.951,0.042,0.052,PRES.2
0,1.614,59.863,0.974,0.935,19.19,0.062,DEWP.2
0,0.061,inf,0.006,-1.01,100.0,0.102,RAIN.2
0,1.263,inf,0.943,0.433,25.066,0.154,WSPM.2
0,15.764,24.445,9.151,0.905,10.556,0.067,PM2.5.3
0,45.393,39.682,21.889,0.528,12.854,0.119,PM10.3
0,9.158,23.227,3.677,0.56,11.33,0.096,SO2.3
0,11.714,22.704,6.615,0.772,10.368,0.114,NO2.3
0,188.658,15.346,119.782,0.771,7.432,0.099,CO.3
0,3416.885,1393.639,446.428,-0.968,20.064,0.103,O3.3
0,1.911,13.951,1.232,0.767,6.608,0.088,TEMP.3
0,1.425,0.086,0.873,0.948,0.043,0.053,PRES.3
0,1.659,56.824,1.025,0.935,18.435,0.064,DEWP.3
0,0.0,inf,0.0,0.0,100.0,,RAIN.3
0,1.31,inf,1.03,0.4,24.515,0.154,WSPM.3
0,14.411,22.572,8.545,0.912,10.626,0.064,PM2.5.4
0,27.123,24.366,16.601,0.753,10.364,0.096,PM10.4
0,10.65,27.613,4.352,0.592,12.881,0.097,SO2.4
