window,rmse,mape,mae,r2,smape,nrmse,variable
0,66.309,2607.046,27.417,-1.908,71.112,0.324,CO(GT)(t)
0,152.164,10.123,118.511,0.44,4.955,0.19,PT08.S1(CO)(t)
0,116.5,51.016,72.648,0.747,19.166,0.134,NMHC(GT)(t)
0,4.006,89.995,3.119,0.43,21.216,0.196,C6H6(GT)(t)
0,157.36,14.814,119.01,0.499,7.004,0.182,PT08.S2(NMHC)(t)
0,69.789,49.343,45.731,0.394,23.48,0.15,NOx(GT)(t)
0,175.887,12.121,123.224,0.596,5.994,0.143,PT08.S3(NOx)(t)
0,57.161,36.702,34.06,0.196,22.591,0.165,NO2(GT)(t)
0,155.17,7.466,117.682,0.38,3.69,0.176,PT08.S4(NO2)(t)
0,184.723,18.353,142.644,0.623,8.5,0.145,PT08.S5(O3)(t)
0,1.372,7.101,1.057,0.796,3.446,0.109,T(t)
0,5.761,8.603,4.359,0.761,4.272,0.102,RH(t)
0,0.046,4.038,0.035,0.833,1.981,0.095,AH(t)
311,56.135,986.064,38.631,0.676,42.449,0.273,CO(GT)(t)
311,127.414,7.81,99.784,0.497,3.896,0.155,PT08.S1(CO)(t)
311,157.71,56.538,114.872,0.709,29.367,0.16,NMHC(GT)(t)
311,3.943,35.619,2.774,0.547,15.014,0.153,C6H6(GT)(t)
311,138.363,11.017,103.755,0.602,5.443,0.141,PT08.S2(NMHC)(t)
311,102.534,42.446,69.051,0.659,24.112,0.218,NOx(GT)(t)
311,120.597,10.463,90.731,0.543,5.107,0.125,PT08.S3(NOx)(t)
311,89.695,42.216,59.834,0.655,25.061,0.244,NO2(GT)(t)
311,158.512,6.444,109.291,0.359,3.239,0.155,PT08.S4(NO2)(t)
311,188.893,15.061,142.463,0.618,7.324,0.146,PT08.S5(O3)(t)
311,2.681,11.552,2.066,0.602,5.483,0.182,T(t)
311,7.248,12.251,5.495,0.683,6.265,0.155,RH(t)
311,0.052,3.91,0.038,0.428,1.959,0.167,AH(t)
622,28.713,336.853,18.367,0.92,43.766,0.139,CO(GT)(t)
622,126.346,7.692,95.439,0.716,3.821,0.129,PT08.S1(CO)(t)
622,142.311,34.866,93.891,0.846,16.313,0.102,NMHC(GT)(t)
622,3.842,30.474,2.725,0.709,13.857,0.121,C6H6(GT)(t)
