window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.755,67.467,0.572,-0.108,25.85,0.18,use [kW](t)
0,0.061,1280.66,0.038,0.332,73.358,0.125,gen [kW](t)
0,0.238,inf,0.129,-0.218,95.95,0.175,Dishwasher [kW](t)
0,0.207,322.464,0.173,-0.062,53.557,0.342,Furnace 1 [kW](t)
0,0.266,181.393,0.214,-0.296,52.324,0.407,Furnace 2 [kW](t)
0,0.081,83.336,0.057,0.3,30.204,0.16,Home office [kW](t)
0,0.077,539.563,0.057,-0.057,59.471,0.125,Fridge [kW](t)
0,0.031,186.115,0.021,0.227,49.934,0.262,Wine cellar [kW](t)
0,0.002,7.406,0.001,-0.552,3.768,0.073,Garage door [kW](t)
0,0.0,37.971,0.0,-0.514,14.945,0.0,Kitchen 12 [kW](t)
0,0.178,inf,0.079,-0.437,97.756,0.113,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-0.065,66.741,0.0,Kitchen 38 [kW](t)
0,0.066,107.697,0.043,0.139,39.387,0.142,Barn [kW](t)
0,0.193,5238.341,0.075,-0.184,93.567,0.12,Well [kW](t)
0,0.113,903.232,0.045,-0.175,83.605,0.062,Microwave [kW](t)
0,0.124,3378.27,0.096,0.157,77.232,0.359,Living room [kW](t)
0,0.061,1280.66,0.038,0.332,73.358,0.125,Solar [kW](t)
0,3.703,10.122,2.948,0.879,4.929,0.094,temperature(t)
0,0.086,11.482,0.068,0.817,5.58,0.151,humidity(t)
0,1.268,15.334,0.906,0.68,6.34,0.157,visibility(t)
0,3.882,12.023,2.831,0.905,5.694,0.087,apparentTemperature(t)
0,4.927,0.388,3.901,0.67,0.194,0.171,pressure(t)
0,2.371,44.224,1.799,0.705,15.097,0.148,windSpeed(t)
0,45.482,26.492,37.036,0.672,11.763,0.176,windBearing(t)
0,0.016,inf,0.011,0.529,80.977,0.123,precipIntensity(t)
0,3.709,18.866,2.891,0.943,9.05,0.075,dewPoint(t)
0,0.133,inf,0.104,0.729,75.245,0.164,precipProbability(t)
1679,0.644,92.5,0.503,0.077,26.141,0.156,use [kW](t)
1679,0.061,1020.725,0.047,0.781,68.036,0.134,gen [kW](t)
1679,0.248,inf,0.152,0.025,95.979,0.181,Dishwasher [kW](t)
1679,0.198,243.995,0.174,0.087,42.901,0.325,Furnace 1 [kW](t)
1679,0.301,203.066,0.255,-0.273,47.998,0.455,Furnace 2 [kW](t)
1679,0.094,109.146,0.061,0.409,43.919,0.156,Home office [kW](t)
1679,0.072,560.775,0.056,-0.133,64.295,0.118,Fridge [kW](t)
1679,0.027,183.365,0.018,0.397,50.341,0.228,Wine cellar [kW](t)
1679,0.003,8.071,0.001,-0.102,4.135,0.056,Garage door [kW](t)
1679,0.082,6130.584,0.039,-0.208,93.811,0.089,Kitchen 12 [kW](t)
1679,0.123,inf,0.043,-0.248,98.698,0.076,Kitchen 14 [kW](t)
1679,0.0,inf,0.0,-0.406,67.169,0.0,Kitchen 38 [kW](t)
1679,0.092,142.296,0.065,0.367,47.978,0.164,Barn [kW](t)
1679,0.156,4427.728,0.062,-0.097,92.347,0.104,Well [kW](t)
1679,0.099,873.657,0.041,-0.33,82.644,0.058,Microwave [kW](t)
1679,0.067,1953.901,0.043,0.315,82.134,0.195,Living room [kW](t)
1679,0.061,1020.725,0.047,0.781,68.036,0.134,Solar [kW](t)
1679,1.468,5.412,1.185,0.899,2.727,0.071,temperature(t)
1679,0.032,5.338,0.026,0.84,2.642,0.094,humidity(t)
1679,0.449,3.885,0.345,0.767,1.921,0.132,visibility(t)
1679,1.874,13.208,1.504,0.893,6.703,0.08,apparentTemperature(t)
1679,3.748,0.309,3.144,0.556,0.155,0.212,pressure(t)
1679,2.064,21.015,1.683,0.676,9.81,0.153,windSpeed(t)
1679,107.24,inf,91.984,0.513,48.853,0.299,windBearing(t)
1679,0.0,inf,0.0,0.709,94.411,0.0,precipIntensity(t)
1679,1.522,19.0,1.207,0.657,8.973,0.139,dewPoint(t)
1679,0.022,inf,0.014,0.665,95.431,0.076,precipProbability(t)
3358,0.444,86.517,0.327,-0.02,24.663,0.158,use [kW](t)
3358,0.046,979.636,0.037,0.83,67.316,0.099,gen [kW](t)
3358,0.116,inf,0.05,-0.052,98.013,0.086,Dishwasher [kW](t)
3358,0.18,315.169,0.135,-0.033,54.102,0.23,Furnace 1 [kW](t)
3358,0.215,136.104,0.147,-0.206,43.472,0.323,Furnace 2 [kW](t)
3358,0.079,80.312,0.05,0.175,35.326,0.191,Home office [kW](t)
3358,0.062,495.786,0.05,-0.163,63.98,0.286,Fridge [kW](t)
3358,0.031,207.14,0.022,0.307,61.077,0.263,Wine cellar [kW](t)
3358,0.007,11.089,0.002,-0.002,5.731,0.086,Garage door [kW](t)
3358,0.0,38.012,0.0,-0.158,13.39,0.0,Kitchen 12 [kW](t)
3358,0.031,inf,0.012,-0.15,96.679,0.069,Kitchen 14 [kW](t)
3358,0.0,inf,0.0,-0.152,70.917,0.0,Kitchen 38 [kW](t)
3358,0.081,110.371,0.054,0.33,39.706,0.124,Barn [kW](t)
3358,0.087,3300.593,0.037,-0.169,90.905,0.055,Well [kW](t)
3358,0.105,619.03,0.031,-0.111,76.365,0.057,Microwave [kW](t)
3358,0.076,2270.999,0.048,0.212,86.515,0.219,Living room [kW](t)
3358,0.046,979.636,0.037,0.83,67.316,0.099,Solar [kW](t)
3358,2.315,5.381,1.852,0.952,2.632,0.057,temperature(t)
3358,0.078,8.994,0.061,0.723,4.42,0.177,humidity(t)
3358,1.505,30.468,1.14,0.683,9.859,0.164,visibility(t)
3358,2.974,7.671,2.288,0.945,3.783,0.07,apparentTemperature(t)
3358,1.735,0.134,1.367,0.869,0.067,0.098,pressure(t)
3358,2.523,32.624,2.023,0.39,13.586,0.157,windSpeed(t)
3358,67.929,inf,48.611,0.433,11.584,0.19,windBearing(t)
3358,0.008,inf,0.005,0.825,68.084,0.078,precipIntensity(t)
3358,2.604,7.631,2.066,0.957,3.785,0.062,dewPoint(t)
3358,0.121,inf,0.094,0.8,66.914,0.153,precipProbability(t)
5037,0.6,53.73,0.468,0.352,19.491,0.12,use [kW](t)
5037,0.069,1683.194,0.055,0.747,78.53,0.125,gen [kW](t)
5037,0.261,inf,0.181,-0.478,97.315,0.194,Dishwasher [kW](t)
5037,0.281,188.98,0.239,-1.304,32.159,0.441,Furnace 1 [kW](t)
5037,0.312,209.638,0.268,-0.207,40.974,0.446,Furnace 2 [kW](t)
5037,0.209,372.035,0.186,-4.053,84.994,0.442,Home office [kW](t)
5037,0.115,877.329,0.094,-1.553,85.583,0.188,Fridge [kW](t)
5037,0.054,639.991,0.049,-2.185,75.984,0.462,Wine cellar [kW](t)
5037,0.003,12.559,0.002,-0.867,6.8,0.108,Garage door [kW](t)
5037,0.022,1241.159,0.006,-0.026,80.759,0.049,Kitchen 12 [kW](t)
5037,0.052,inf,0.019,-0.356,96.152,0.11,Kitchen 14 [kW](t)
5037,0.0,inf,0.0,-0.414,56.766,0.0,Kitchen 38 [kW](t)
5037,0.095,185.013,0.075,0.106,47.725,0.216,Barn [kW](t)
5037,0.194,10030.525,0.117,-0.74,97.665,0.121,Well [kW](t)
5037,0.125,1102.161,0.053,-0.2,83.331,0.069,Microwave [kW](t)
5037,0.07,1991.289,0.042,0.335,83.836,0.204,Living room [kW](t)
5037,0.069,1683.194,0.055,0.747,78.53,0.125,Solar [kW](t)
5037,4.948,22.63,4.247,0.875,12.851,0.079,temperature(t)
5037,0.067,7.516,0.054,0.672,3.754,0.146,humidity(t)
5037,1.615,25.751,1.257,0.681,10.24,0.188,visibility(t)
5037,4.765,25.164,3.921,0.877,14.002,0.076,apparentTemperature(t)
5037,2.783,0.211,2.144,0.936,0.106,0.069,pressure(t)
5037,2.668,73.286,2.079,0.585,18.323,0.14,windSpeed(t)
5037,50.824,43.526,38.215,0.78,15.682,0.149,windBearing(t)
5037,0.021,inf,0.015,0.297,79.519,0.117,precipIntensity(t)
5037,5.493,26.215,4.614,0.87,15.216,0.083,dewPoint(t)
5037,0.131,inf,0.103,0.747,70.31,0.158,precipProbability(t)
6716,0.525,113.951,0.408,0.173,26.947,0.144,use [kW](t)
6716,0.092,1225.133,0.069,0.716,65.048,0.177,gen [kW](t)
6716,0.123,inf,0.07,0.229,98.414,0.093,Dishwasher [kW](t)
6716,0.256,142.354,0.198,-0.155,41.943,0.144,Furnace 1 [kW](t)
6716,0.288,148.935,0.235,-0.534,46.064,0.429,Furnace 2 [kW](t)
6716,0.089,105.887,0.058,0.039,43.344,0.188,Home office [kW](t)
6716,0.082,626.022,0.058,-0.193,63.623,0.132,Fridge [kW](t)
6716,0.032,234.193,0.022,0.1,62.81,0.266,Wine cellar [kW](t)
6716,0.009,28.874,0.004,-0.414,14.416,0.096,Garage door [kW](t)
6716,0.0,inf,0.0,-0.278,13.782,0.0,Kitchen 12 [kW](t)
6716,0.043,inf,0.021,-0.358,97.807,0.091,Kitchen 14 [kW](t)
6716,0.0,inf,0.0,-0.743,61.58,0.0,Kitchen 38 [kW](t)
6716,0.022,36.078,0.014,-0.552,17.821,0.162,Barn [kW](t)
6716,0.066,1207.679,0.016,-0.045,84.679,0.051,Well [kW](t)
6716,0.148,1075.543,0.055,-0.062,86.14,0.08,Microwave [kW](t)
6716,0.058,2259.394,0.04,0.171,90.061,0.17,Living room [kW](t)
6716,0.092,1225.133,0.069,0.716,65.048,0.177,Solar [kW](t)
6716,2.489,5.172,1.974,0.909,2.574,0.065,temperature(t)
6716,0.069,11.081,0.055,0.634,5.214,0.157,humidity(t)
6716,0.12,0.715,0.069,0.696,0.357,0.083,visibility(t)
6716,3.488,7.895,2.679,0.88,3.979,0.081,apparentTemperature(t)
6716,2.204,0.176,1.771,0.84,0.088,0.11,pressure(t)
6716,2.141,22.698,1.58,0.407,9.606,0.148,windSpeed(t)
6716,31.67,11.904,26.257,0.268,5.844,0.233,windBearing(t)
6716,0.001,inf,0.001,0.809,94.424,0.079,precipIntensity(t)
6716,2.865,12.211,2.302,0.89,5.613,0.08,dewPoint(t)
6716,0.047,inf,0.031,0.797,95.331,0.087,precipProbability(t)
8395,0.352,90.589,0.227,0.206,22.014,0.132,use [kW](t)
8395,0.064,1425.191,0.047,0.777,60.02,0.151,gen [kW](t)
8395,0.174,inf,0.094,-0.063,98.014,0.129,Dishwasher [kW](t)
8395,0.122,343.549,0.094,-0.209,66.769,0.201,Furnace 1 [kW](t)
8395,0.107,86.609,0.071,-0.258,35.346,0.179,Furnace 2 [kW](t)
8395,0.089,102.085,0.062,0.385,40.901,0.232,Home office [kW](t)
8395,0.074,591.509,0.054,-0.065,58.033,0.118,Fridge [kW](t)
8395,0.037,210.48,0.026,0.356,46.733,0.304,Wine cellar [kW](t)
8395,0.008,30.721,0.004,-0.414,16.668,0.063,Garage door [kW](t)
8395,0.0,28.782,0.0,-0.419,13.071,0.0,Kitchen 12 [kW](t)
8395,0.143,inf,0.057,-0.428,99.066,0.089,Kitchen 14 [kW](t)
8395,0.0,inf,0.0,-0.551,68.869,0.0,Kitchen 38 [kW](t)
8395,0.021,38.213,0.014,-0.435,18.006,0.145,Barn [kW](t)
8395,0.11,3044.702,0.037,-0.12,90.853,0.07,Well [kW](t)
8395,0.037,431.914,0.019,-0.458,80.515,0.059,Microwave [kW](t)
8395,0.095,2678.807,0.066,0.208,85.799,0.278,Living room [kW](t)
8395,0.064,1425.191,0.047,0.777,60.02,0.151,Solar [kW](t)
8395,2.936,4.944,2.387,0.907,2.442,0.075,temperature(t)
8395,0.085,12.8,0.071,0.776,5.941,0.133,humidity(t)
8395,0.417,3.18,0.284,0.711,1.576,0.108,visibility(t)
8395,3.36,5.685,2.708,0.9,2.806,0.085,apparentTemperature(t)
8395,3.49,0.27,2.747,0.636,0.135,0.206,pressure(t)
8395,2.366,32.743,1.874,0.531,15.712,0.18,windSpeed(t)
8395,38.709,11.927,30.656,0.467,5.934,0.201,windBearing(t)
8395,0.002,inf,0.002,0.849,78.118,0.096,precipIntensity(t)
8395,4.169,9.349,3.439,0.842,4.494,0.131,dewPoint(t)
8395,0.075,inf,0.056,0.845,79.222,0.123,precipProbability(t)
10074,0.608,165.148,0.453,0.119,28.607,0.141,use [kW](t)
10074,0.099,inf,0.072,0.618,66.729,0.189,gen [kW](t)
10074,0.235,inf,0.155,-0.644,97.739,0.173,Dishwasher [kW](t)
10074,0.21,136.313,0.175,-0.165,39.327,0.35,Furnace 1 [kW](t)
10074,0.254,128.533,0.203,-0.401,42.359,0.413,Furnace 2 [kW](t)
10074,0.1,107.341,0.07,0.133,46.793,0.184,Home office [kW](t)
10074,0.081,484.848,0.051,-0.008,56.8,0.131,Fridge [kW](t)
10074,0.039,191.309,0.027,-0.033,51.692,0.222,Wine cellar [kW](t)
10074,0.005,9.611,0.002,-0.21,4.994,0.093,Garage door [kW](t)
10074,0.0,31.574,0.0,-0.439,12.752,0.0,Kitchen 12 [kW](t)
10074,0.152,inf,0.068,-0.585,98.575,0.098,Kitchen 14 [kW](t)
10074,0.0,inf,0.0,-0.56,61.865,0.0,Kitchen 38 [kW](t)
10074,0.012,13.724,0.005,-0.117,6.92,0.089,Barn [kW](t)
10074,0.248,9244.748,0.119,-0.436,96.326,0.155,Well [kW](t)
10074,0.093,835.342,0.037,-0.341,83.932,0.057,Microwave [kW](t)
10074,0.103,2942.088,0.067,-0.137,87.703,0.301,Living room [kW](t)
10074,0.099,inf,0.072,0.618,66.729,0.189,Solar [kW](t)
10074,2.22,4.132,1.818,0.866,2.057,0.09,temperature(t)
10074,0.068,10.425,0.055,0.868,5.051,0.1,humidity(t)
10074,1.12,12.026,0.81,0.672,5.279,0.163,visibility(t)
10074,2.93,6.01,2.404,0.848,2.987,0.096,apparentTemperature(t)
10074,2.275,0.189,1.924,0.686,0.095,0.154,pressure(t)
10074,1.377,16.288,1.137,0.644,7.851,0.12,windSpeed(t)
10074,70.325,130.15,54.29,0.505,25.79,0.199,windBearing(t)
