window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.561,37.046,0.357,0.121,15.456,0.139,use(t)
0,0.043,521.398,0.028,0.638,58.598,0.092,gen(t)
0,0.195,inf,0.112,0.067,95.773,0.144,Dishwasher(t)
0,0.149,163.926,0.118,0.197,36.664,0.147,Furnace 1(t)
0,0.158,96.325,0.124,0.066,33.758,0.26,Furnace 2(t)
0,0.071,71.064,0.05,0.47,29.871,0.135,Home office(t)
0,0.068,362.883,0.047,0.147,50.705,0.113,Fridge(t)
0,0.031,190.169,0.021,0.19,48.869,0.262,Wine cellar(t)
0,0.005,14.047,0.002,-0.381,7.04,0.091,Garage door(t)
0,0.0,29.509,0.0,0.053,13.286,0.0,Kitchen 12(t)
0,0.058,21482.326,0.028,-0.019,94.891,0.099,Kitchen 14(t)
0,0.0,37.526,0.0,-0.049,15.279,0.0,Kitchen 38(t)
0,0.056,84.398,0.035,0.374,32.9,0.125,Barn(t)
0,0.077,2799.3,0.044,-0.19,89.441,0.18,Well(t)
0,0.042,285.877,0.017,-0.174,58.256,0.074,Microwave(t)
0,0.103,2305.857,0.075,0.396,72.285,0.303,Living room(t)
0,0.043,521.398,0.028,0.638,58.598,0.092,Solar(t)
0,3.522,9.692,2.663,0.891,4.748,0.089,temperature(t)
0,0.086,11.708,0.071,0.813,5.696,0.151,humidity(t)
0,1.162,13.532,0.766,0.727,5.387,0.144,visibility(t)
0,3.5,11.879,2.612,0.923,5.625,0.079,apparentTemperature(t)
0,4.272,0.318,3.208,0.751,0.159,0.148,pressure(t)
0,2.501,53.226,1.922,0.669,15.87,0.156,windSpeed(t)
0,0.203,inf,0.165,0.665,40.007,0.203,cloudCover(t)
0,40.517,23.973,27.961,0.738,9.352,0.157,windBearing(t)
0,0.015,inf,0.01,0.591,80.266,0.116,precipIntensity(t)
0,3.378,20.163,2.654,0.952,9.4,0.069,dewPoint(t)
0,0.125,inf,0.096,0.763,75.154,0.154,precipProbability(t)
1679,0.394,44.133,0.298,0.467,16.114,0.097,use(t)
1679,0.058,1026.645,0.047,0.799,69.21,0.128,gen(t)
1679,0.213,251120.474,0.13,0.04,94.979,0.155,Dishwasher(t)
1679,0.176,127.816,0.147,0.015,34.231,0.292,Furnace 1(t)
1679,0.164,77.154,0.132,0.058,26.881,0.257,Furnace 2(t)
