window,rmse,mape,mae,r2,smape,nrmse,variable
0,21.284,45.515,14.652,0.825,21.021,0.084,PM2.5
0,38.953,37.391,26.894,0.654,17.924,0.129,PM10
0,10.444,45.454,6.004,0.523,18.667,0.104,SO2
0,15.181,37.514,11.381,0.693,15.393,0.128,NO2
0,208.999,21.497,140.822,0.568,9.555,0.139,CO
0,13059.387,148251.802,5083.816,-0.777,94.555,0.167,O3
0,2.183,18.015,1.56,0.757,8.713,0.101,TEMP
0,2.141,0.16,1.611,0.886,0.08,0.078,PRES
0,2.621,inf,1.974,0.804,36.769,0.118,DEWP
0,0.018,inf,0.007,-0.219,99.619,0.09,RAIN
0,1.225,inf,0.957,0.275,21.141,0.175,WSPM
0,27.139,90.178,19.259,0.767,30.869,0.109,PM2.5.1
0,40.633,55.218,24.478,0.589,19.275,0.102,PM10.1
0,8.715,57.629,5.459,0.597,23.588,0.121,SO2.1
0,12.601,55.606,9.699,0.531,16.784,0.16,NO2.1
0,196.203,21.612,122.858,0.688,9.776,0.115,CO.1
0,10110.707,10305.01,4764.444,0.108,92.072,0.123,O3.1
0,2.026,15.876,1.407,0.774,7.606,0.095,TEMP.1
0,2.113,0.158,1.593,0.889,0.079,0.078,PRES.1
0,2.995,148.742,2.185,0.775,28.13,0.115,DEWP.1
0,0.058,inf,0.015,-0.832,99.985,0.097,RAIN.1
0,1.285,inf,0.966,0.413,25.323,0.157,WSPM.1
0,29.192,97.667,19.896,0.766,32.337,0.116,PM2.5.2
0,38.185,101.627,25.287,0.656,23.468,0.141,PM10.2
0,9.059,83.775,5.501,0.584,27.412,0.112,SO2.2
0,11.68,82.24,8.23,0.641,26.604,0.126,NO2.2
0,221.66,29.123,129.501,0.689,13.943,0.117,CO.2
0,15378.737,8582.76,7311.156,-0.237,93.297,0.177,O3.2
0,2.026,15.876,1.407,0.774,7.606,0.095,TEMP.2
0,2.113,0.158,1.593,0.889,0.079,0.078,PRES.2
0,2.995,148.742,2.185,0.775,28.13,0.115,DEWP.2
0,0.058,inf,0.015,-0.832,99.985,0.097,RAIN.2
0,1.285,inf,0.966,0.413,25.323,0.157,WSPM.2
0,21.972,44.134,15.223,0.816,21.125,0.094,PM2.5.3
0,45.848,64.088,29.787,0.518,21.098,0.12,PM10.3
0,9.866,52.073,5.442,0.489,21.119,0.104,SO2.3
0,15.203,53.567,11.018,0.616,19.803,0.148,NO2.3
0,249.318,32.125,174.964,0.601,12.082,0.131,CO.3
0,3476.33,3141.328,1205.168,-1.037,83.232,0.105,O3.3
0,2.012,15.524,1.432,0.741,7.585,0.093,TEMP.3
0,2.113,0.156,1.582,0.887,0.078,0.079,PRES.3
0,3.152,127.322,2.408,0.764,33.447,0.121,DEWP.3
0,0.0,inf,0.0,0.0,100.0,,RAIN.3
0,1.218,inf,0.959,0.481,21.618,0.143,WSPM.3
0,20.411,42.536,14.025,0.824,21.366,0.091,PM2.5.4
0,34.013,37.356,23.832,0.612,17.938,0.12,PM10.4
0,10.909,50.103,5.548,0.572,21.198,0.099,SO2.4
0,13171.586,8395.597,4407.129,-0.938,94.276,0.119,NO2.4
0,243.098,34.108,168.917,0.629,13.884,0.143,CO.4
0,10187.795,43072.034,4504.12,-0.664,94.481,0.116,O3.4
0,2.183,18.015,1.56,0.757,8.713,0.101,TEMP.4
0,2.141,0.16,1.611,0.886,0.08,0.078,PRES.4
0,2.621,inf,1.974,0.804,36.769,0.118,DEWP.4
0,0.018,inf,0.007,-0.219,99.619,0.09,RAIN.4
0,1.225,inf,0.957,0.275,21.141,0.175,WSPM.4
0,25.962,74.97,17.642,0.749,26.059,0.12,PM2.5.5
0,40.054,62.98,30.089,0.652,23.052,0.141,PM10.5
0,8.158,48.051,4.635,0.626,22.144,0.115,SO2.5
0,16.796,53.408,12.315,0.639,19.551,0.15,NO2.5
0,232.691,24.418,163.203,0.654,11.126,0.137,CO.5
0,18689.132,25002.655,8546.312,-0.797,95.889,0.188,O3.5
0,2.003,14.77,1.424,0.768,7.399,0.094,TEMP.5
0,2.137,0.16,1.611,0.887,0.08,0.077,PRES.5
0,2.894,inf,2.266,0.806,35.076,0.119,DEWP.5
0,0.049,inf,0.017,-0.896,99.998,0.098,RAIN.5
0,1.104,inf,0.826,0.252,21.149,0.149,WSPM.5
774,27.526,56.1,20.555,0.716,20.11,0.136,PM2.5
774,40.898,56.54,31.098,0.531,19.86,0.156,PM10
774,5.37,52.628,3.647,-0.323,26.667,0.192,SO2
774,26.236,37.377,20.234,0.154,17.978,0.166,NO2
774,380.574,37.583,281.054,0.278,18.919,0.127,CO
774,38.979,733.179,31.043,0.574,43.094,0.18,O3
774,1.614,4.628,1.282,0.811,2.316,0.111,TEMP
774,1.118,0.089,0.891,0.934,0.045,0.071,PRES
774,2.087,7.48,1.465,0.74,3.621,0.117,DEWP
774,0.147,inf,0.085,-0.706,97.593,0.134,RAIN
774,0.689,inf,0.534,-0.014,28.736,0.203,WSPM
774,21.132,46.224,15.908,0.813,18.394,0.088,PM2.5.1
774,26.936,36.014,19.587,0.671,14.7,0.122,PM10.1
774,7.161,146.904,4.699,-0.664,43.331,0.231,SO2.1
774,13.141,38.525,9.812,0.29,18.662,0.158,NO2.1
774,155.186,13.077,112.67,0.787,6.691,0.103,CO.1
774,37.573,66.726,29.313,0.629,24.989,0.115,O3.1
774,1.446,4.043,1.122,0.812,2.024,0.113,TEMP.1
774,1.138,0.092,0.916,0.929,0.046,0.074,PRES.1
774,2.267,8.9,1.614,0.763,4.251,0.136,DEWP.1
774,0.188,inf,0.098,-1.796,99.501,0.134,RAIN.1
774,0.818,inf,0.596,0.077,35.602,0.182,WSPM.1
774,22.956,105.593,17.294,0.701,22.438,0.125,PM2.5.2
774,22.931,65.627,17.355,0.687,19.937,0.122,PM10.2
774,5.258,133.15,3.313,-0.594,42.548,0.195,SO2.2
774,8.573,60.722,6.247,0.033,27.442,0.182,NO2.2
774,158.321,16.5,121.003,0.71,7.975,0.113,CO.2
774,32.691,48.146,25.725,0.61,19.62,0.119,O3.2
774,1.446,4.043,1.122,0.812,2.024,0.113,TEMP.2
774,1.138,0.092,0.916,0.929,0.046,0.074,PRES.2
774,2.267,8.9,1.614,0.763,4.251,0.136,DEWP.2
774,0.188,inf,0.098,-1.796,99.501,0.134,RAIN.2
774,0.818,inf,0.596,0.077,35.602,0.182,WSPM.2
774,32.965,55.192,24.147,0.633,21.33,0.153,PM2.5.3
774,40.647,74.978,31.471,0.601,21.032,0.133,PM10.3
774,6.483,55.427,4.574,0.165,27.191,0.185,SO2.3
774,24.025,59.357,18.545,0.102,24.116,0.204,NO2.3
774,425.485,30.524,313.74,0.317,15.916,0.147,CO.3
774,163.888,868.558,111.238,0.63,47.008,0.153,O3.3
774,1.462,4.152,1.159,0.808,2.07,0.112,TEMP.3
774,1.115,0.09,0.903,0.934,0.045,0.071,PRES.3
774,2.148,8.464,1.613,0.818,4.099,0.112,DEWP.3
774,0.224,inf,0.1,-0.754,97.16,0.102,RAIN.3
774,0.892,inf,0.66,-0.046,32.617,0.203,WSPM.3
774,25.402,39.066,18.946,0.743,17.287,0.132,PM2.5.4
774,38.799,59.822,29.431,0.546,19.721,0.142,PM10.4
774,2.31,34.121,1.705,0.64,15.933,0.11,SO2.4
774,22.756,39.323,16.948,0.071,19.173,0.232,NO2.4
774,332.283,50.454,249.843,0.53,20.725,0.185,CO.4
774,44.272,396.87,33.768,0.499,33.626,0.199,O3.4
774,1.614,4.628,1.282,0.811,2.316,0.111,TEMP.4
774,1.118,0.089,0.891,0.934,0.045,0.071,PRES.4
774,2.087,7.48,1.465,0.74,3.621,0.117,DEWP.4
774,0.147,inf,0.085,-0.706,97.593,0.134,RAIN.4
774,0.689,inf,0.534,-0.014,28.736,0.203,WSPM.4
774,25.629,45.915,19.622,0.646,21.084,0.161,PM2.5.5
774,53.89,95.46,39.844,0.212,24.773,0.173,PM10.5
774,5.589,79.414,2.557,-0.719,33.222,0.112,SO2.5
774,20.929,36.504,15.415,0.313,17.972,0.14,NO2.5
774,229.23,18.987,172.456,0.474,9.263,0.164,CO.5
774,37.749,252.739,30.519,0.569,27.772,0.164,O3.5
774,1.535,4.416,1.237,0.815,2.212,0.113,TEMP.5
774,1.122,0.09,0.902,0.932,0.045,0.072,PRES.5
774,2.051,8.16,1.522,0.772,3.933,0.116,DEWP.5
774,0.186,inf,0.107,-0.651,97.94,0.098,RAIN.5
774,0.454,inf,0.353,0.186,36.546,0.168,WSPM.5
1548,23.979,61.158,16.806,0.901,25.685,0.084,PM2.5
1548,32.688,53.057,23.27,0.841,19.509,0.101,PM10
1548,15.602,70.742,11.133,0.549,28.903,0.127,SO2
1548,18.5,21.646,12.671,0.624,10.53,0.116,NO2
1548,520.596,42.875,348.859,0.589,21.534,0.095,CO
1548,20.337,374.622,11.574,0.459,50.799,0.121,O3
1548,4.091,inf,2.984,0.839,21.656,0.12,TEMP
1548,2.428,0.171,1.738,0.912,0.085,0.089,PRES
1548,3.491,33.319,2.284,0.906,18.139,0.102,DEWP
1548,0.034,inf,0.013,-0.365,99.471,0.085,RAIN
1548,0.761,inf,0.597,0.146,32.758,0.206,WSPM
1548,28.696,101.355,21.367,0.868,31.577,0.099,PM2.5.1
1548,33.022,74.568,25.351,0.794,24.37,0.113,PM10.1
1548,15.707,188.283,11.862,0.708,37.239,0.139,SO2.1
1548,27.202,44.928,20.009,-0.135,21.054,0.185,NO2.1
1548,1083.215,126.644,783.823,0.092,36.835,0.162,CO.1
1548,24.976,171.676,17.485,0.307,39.116,0.133,O3.1
1548,3.707,97.563,2.771,0.862,22.539,0.11,TEMP.1
1548,2.46,0.175,1.77,0.91,0.087,0.089,PRES.1
1548,3.949,111.388,2.784,0.888,26.824,0.113,DEWP.1
1548,0.0,inf,0.0,0.0,100.0,,RAIN.1
1548,0.969,inf,0.721,0.193,34.436,0.183,WSPM.1
1548,36.003,205.101,25.326,0.774,46.207,0.128,PM2.5.2
1548,39.207,128.874,27.518,0.668,37.424,0.133,PM10.2
1548,11.687,201.392,8.741,0.696,39.108,0.102,SO2.2
1548,14.909,96.854,10.88,0.66,26.034,0.129,NO2.2
1548,343.438,43.979,232.972,0.648,19.72,0.118,CO.2
1548,17.359,91.381,12.427,0.589,23.537,0.129,O3.2
1548,3.707,97.563,2.771,0.862,22.539,0.11,TEMP.2
1548,2.46,0.175,1.77,0.91,0.087,0.089,PRES.2
1548,3.949,111.388,2.784,0.888,26.824,0.113,DEWP.2
1548,0.0,inf,0.0,0.0,100.0,,RAIN.2
1548,0.969,inf,0.721,0.193,34.436,0.183,WSPM.2
