variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.384,0.201,90.388,0.686,0.201,0.686
gen [kW](t),0.037,0.026,inf,0.9,0.026,0.9
Dishwasher [kW](t),0.053,0.013,inf,-4.893,0.013,-4.893
Furnace 1 [kW](t),0.061,0.028,53.871,0.771,0.028,0.771
Furnace 2 [kW](t),0.066,0.035,28.633,0.793,0.035,0.793
Home office [kW](t),0.022,0.014,22.337,0.896,0.014,0.896
Fridge [kW](t),0.023,0.009,76.574,0.905,0.009,0.905
Wine cellar [kW](t),0.011,0.006,48.144,0.952,0.006,0.952
Garage door [kW](t),0.011,0.001,5.498,0.119,0.001,0.119
Kitchen 12 [kW](t),0.005,0.001,inf,0.444,0.001,0.444
Kitchen 14 [kW](t),0.056,0.007,inf,0.385,0.007,0.385
Kitchen 38 [kW](t),0.0,0.0,inf,-0.952,0.0,-0.952
Barn [kW](t),0.136,0.019,inf,0.155,0.019,0.155
Well [kW](t),0.121,0.019,inf,0.108,0.019,0.108
Microwave [kW](t),0.071,0.007,inf,0.308,0.007,0.308
Living room [kW](t),0.019,0.011,inf,0.843,0.011,0.843
Solar [kW](t),0.037,0.026,inf,0.9,0.026,0.9
temperature(t),2.087,1.713,4.202,0.93,1.713,0.93
humidity(t),0.047,0.039,6.932,0.917,0.039,0.917
visibility(t),0.325,0.26,4.654,0.931,0.26,0.931
apparentTemperature(t),2.284,1.886,6.747,0.929,1.886,0.929
pressure(t),1.075,0.878,0.086,0.952,0.878,0.952
windSpeed(t),0.748,0.586,inf,0.945,0.586,0.945
windBearing(t),23.591,17.812,inf,0.935,17.812,0.935
precipIntensity(t),0.001,0.001,inf,0.865,0.001,0.865
dewPoint(t),1.54,1.275,6.963,0.945,1.275,0.945
precipProbability(t),0.03,0.022,inf,0.866,0.022,0.866
