variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.377,0.188,89.551,0.693,0.188,0.693
gen [kW](t),0.034,0.023,inf,0.914,0.023,0.914
Dishwasher [kW](t),0.053,0.011,inf,-2.51,0.011,-2.51
Furnace 1 [kW](t),0.06,0.026,50.494,0.776,0.026,0.776
Furnace 2 [kW](t),0.064,0.032,26.439,0.801,0.032,0.801
Home office [kW](t),0.02,0.012,19.771,0.902,0.012,0.902
Fridge [kW](t),0.023,0.008,66.955,0.907,0.008,0.907
Wine cellar [kW](t),0.01,0.005,40.407,0.959,0.005,0.959
Garage door [kW](t),0.011,0.001,5.079,0.119,0.001,0.119
Kitchen 12 [kW](t),0.005,0.001,inf,0.451,0.001,0.451
Kitchen 14 [kW](t),0.056,0.007,inf,0.386,0.007,0.386
Kitchen 38 [kW](t),0.0,0.0,inf,-0.961,0.0,-0.961
Barn [kW](t),0.136,0.018,inf,0.156,0.018,0.156
Well [kW](t),0.121,0.018,inf,0.11,0.018,0.11
Microwave [kW](t),0.071,0.007,inf,0.308,0.007,0.308
Living room [kW](t),0.017,0.009,inf,0.891,0.009,0.891
Solar [kW](t),0.034,0.023,inf,0.914,0.023,0.914
temperature(t),1.87,1.528,3.837,0.943,1.528,0.943
humidity(t),0.042,0.035,6.184,0.933,0.035,0.933
visibility(t),0.292,0.231,3.758,0.946,0.231,0.946
apparentTemperature(t),2.048,1.683,6.225,0.942,1.683,0.942
pressure(t),0.952,0.78,0.077,0.963,0.78,0.963
windSpeed(t),0.659,0.506,inf,0.956,0.506,0.956
windBearing(t),21.172,15.432,inf,0.948,15.432,0.948
precipIntensity(t),0.001,0.001,inf,0.881,0.001,0.881
dewPoint(t),1.322,1.088,6.254,0.96,1.088,0.96
precipProbability(t),0.028,0.02,inf,0.88,0.02,0.88
