variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.377,0.188,89.886,0.693,13.547,0.056,0.219,0.139,87.436,0.236,6.403,0.016
gen [kW](t),0.034,0.023,inf,0.914,47.233,0.071,0.014,0.012,,0.037,10.007,0.026
Dishwasher [kW](t),0.053,0.011,inf,-2.511,93.42,0.039,0.015,0.005,,18.748,2.761,0.011
Furnace 1 [kW](t),0.06,0.026,50.492,0.776,18.685,0.074,0.03,0.021,37.45,0.134,14.274,0.047
Furnace 2 [kW](t),0.064,0.032,26.424,0.801,11.448,0.106,0.048,0.03,22.608,0.069,10.321,0.061
Home office [kW](t),0.021,0.012,19.76,0.902,10.255,0.038,0.01,0.008,12.612,0.213,6.818,0.019
Fridge [kW](t),0.023,0.008,66.946,0.907,20.974,0.04,0.003,0.003,25.484,0.017,7.015,0.013
Wine cellar [kW](t),0.01,0.005,40.424,0.959,16.24,0.054,0.006,0.003,25.075,0.025,8.656,0.025
Garage door [kW](t),0.011,0.001,5.079,0.119,1.951,0.036,0.009,0.001,6.861,0.32,1.753,0.011
Kitchen 12 [kW](t),0.005,0.001,inf,0.451,14.969,0.014,0.009,0.003,,0.572,23.278,0.019
Kitchen 14 [kW](t),0.056,0.007,inf,0.386,87.642,0.035,0.018,0.003,,0.157,11.133,0.01
Kitchen 38 [kW](t),0.0,0.0,inf,-0.961,74.871,0.0,0.0,0.0,,0.052,3.778,0.0
Barn [kW](t),0.136,0.018,inf,0.156,8.768,0.04,0.131,0.019,,0.495,7.454,0.02
Well [kW](t),0.121,0.018,inf,0.11,67.929,0.075,0.034,0.008,,0.086,18.152,0.021
Microwave [kW](t),0.071,0.007,inf,0.308,23.795,0.039,0.023,0.004,,0.27,16.107,0.012
Living room [kW](t),0.017,0.009,inf,0.891,58.605,0.051,0.008,0.007,,0.366,16.275,0.024
Solar [kW](t),0.034,0.023,inf,0.914,47.233,0.071,0.014,0.012,,0.037,10.007,0.026
temperature(t),1.87,1.528,3.836,0.943,1.838,0.061,0.952,0.804,3.679,0.026,1.562,0.019
humidity(t),0.042,0.035,6.184,0.933,3.009,0.076,0.018,0.016,3.883,0.033,1.774,0.026
visibility(t),0.292,0.231,3.761,0.946,1.707,0.052,0.251,0.209,4.434,0.031,1.887,0.02
apparentTemperature(t),2.048,1.683,6.224,0.942,2.7,0.062,1.071,0.923,11.63,0.025,3.823,0.019
pressure(t),0.952,0.781,0.077,0.963,0.038,0.054,0.669,0.561,0.055,0.02,0.028,0.02
windSpeed(t),0.66,0.506,inf,0.956,5.489,0.048,0.324,0.283,,0.026,2.45,0.018
windBearing(t),21.165,15.426,inf,0.948,9.447,0.063,11.814,10.223,,0.034,8.432,0.032
precipIntensity(t),0.001,0.001,inf,0.881,86.172,,0.002,0.001,,0.254,10.947,
dewPoint(t),1.323,1.089,6.257,0.96,2.965,0.053,1.293,1.124,12.327,0.023,5.32,0.019
precipProbability(t),0.028,0.02,inf,0.88,85.656,,0.025,0.021,,0.244,11.592,
