variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.837,0.485,250.845,-0.08,23.906,0.151,0.708,0.436,874.929,0.3,8.394,0.048
gen [kW](t),0.046,0.027,inf,0.813,48.941,0.103,0.017,0.012,,0.13,10.165,0.034
Dishwasher [kW](t),0.171,0.033,inf,-5.089,94.502,0.126,0.045,0.013,,28.429,2.735,0.033
Furnace 1 [kW](t),0.157,0.077,152.153,-0.466,27.481,0.221,0.081,0.064,135.975,0.464,19.314,0.12
Furnace 2 [kW](t),0.181,0.101,77.865,-0.484,19.868,0.303,0.127,0.096,70.127,0.695,17.005,0.169
Home office [kW](t),0.047,0.018,24.065,0.676,11.168,0.097,0.019,0.011,16.713,0.444,7.964,0.033
Fridge [kW](t),0.073,0.034,285.441,0.068,34.699,0.14,0.008,0.005,50.802,0.128,7.976,0.068
Wine cellar [kW](t),0.029,0.012,66.424,0.647,19.066,0.177,0.014,0.008,45.834,0.16,8.611,0.067
Garage door [kW](t),0.012,0.002,10.396,-0.857,3.364,0.092,0.013,0.002,6.454,0.353,1.791,0.024
Kitchen 12 [kW](t),0.009,0.001,inf,-0.155,19.839,0.017,0.022,0.004,,0.443,20.103,0.032
Kitchen 14 [kW](t),0.095,0.014,inf,-0.923,87.308,0.091,0.05,0.009,,0.176,10.237,0.024
Kitchen 38 [kW](t),0.0,0.0,inf,-0.976,74.655,0.0,0.0,0.0,,0.112,4.101,0.0
Barn [kW](t),0.152,0.025,inf,-0.256,8.8,0.096,0.184,0.029,,0.689,6.861,0.033
Well [kW](t),0.179,0.03,inf,-0.9,66.654,0.115,0.059,0.016,,0.226,18.186,0.036
Microwave [kW](t),0.133,0.017,inf,-0.801,25.319,0.083,0.062,0.011,,0.379,14.19,0.029
Living room [kW](t),0.053,0.016,inf,0.531,61.073,0.155,0.013,0.007,,0.501,14.993,0.039
Solar [kW](t),0.046,0.027,inf,0.813,48.941,0.103,0.017,0.012,,0.13,10.165,0.034
temperature(t),1.885,1.486,3.687,0.94,1.774,0.062,0.902,0.744,3.244,0.027,1.399,0.017
humidity(t),0.043,0.034,6.128,0.932,2.987,0.077,0.017,0.015,4.004,0.028,1.858,0.022
visibility(t),0.351,0.236,3.706,0.853,1.71,0.075,0.238,0.193,4.039,0.173,1.744,0.017
apparentTemperature(t),2.095,1.637,5.871,0.937,2.648,0.064,1.003,0.857,10.562,0.026,3.936,0.016
pressure(t),0.871,0.687,0.068,0.969,0.034,0.049,0.603,0.482,0.048,0.02,0.024,0.019
windSpeed(t),0.898,0.594,inf,0.915,6.315,0.068,0.286,0.28,,0.031,2.826,0.015
windBearing(t),33.887,17.3,inf,0.853,9.261,0.1,16.551,10.096,,0.085,7.823,0.041
precipIntensity(t),0.002,0.001,inf,0.773,85.99,,0.002,0.001,,0.274,11.693,
dewPoint(t),1.29,1.011,6.297,0.958,2.832,0.055,1.128,0.982,13.323,0.02,5.25,0.017
precipProbability(t),0.038,0.02,inf,0.777,85.768,,0.027,0.019,,0.276,11.973,
