variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use(t),0.538,0.335,46.738,0.393,17.91,0.12,0.515,0.326,27.688,0.227,6.738,0.037
gen(t),0.033,0.022,285.085,0.903,45.944,0.079,0.011,0.009,166.861,0.056,10.674,0.022
Dishwasher(t),0.138,0.03,inf,-31.353,93.71,0.102,0.036,0.012,,173.444,3.262,0.026
Furnace 1(t),0.097,0.052,74.825,-0.006,21.29,0.165,0.045,0.038,57.132,0.475,13.401,0.077
Furnace 2(t),0.106,0.063,39.59,0.007,14.218,0.196,0.071,0.054,31.099,0.654,10.796,0.082
Home office(t),0.037,0.015,19.601,0.757,9.842,0.08,0.016,0.009,11.942,0.397,6.347,0.027
Fridge(t),0.059,0.031,168.915,0.258,33.353,0.12,0.006,0.005,32.533,0.128,5.753,0.07
Wine cellar(t),0.025,0.011,50.804,0.731,17.843,0.148,0.013,0.007,34.767,0.124,9.45,0.059
Garage door(t),0.01,0.002,9.631,-0.511,3.772,0.107,0.011,0.002,5.196,0.423,1.925,0.031
Kitchen 12(t),0.004,0.001,145.268,0.015,17.484,0.031,0.008,0.002,309.053,0.574,21.81,0.04
Kitchen 14(t),0.056,0.012,inf,-0.61,85.314,0.105,0.019,0.005,,0.261,12.234,0.025
Kitchen 38(t),0.0,0.0,inf,-0.737,19.662,0.0,0.0,0.0,,0.15,1.625,0.0
Barn(t),0.071,0.019,24.445,0.207,9.789,0.093,0.062,0.018,19.871,0.591,7.161,0.047
Well(t),0.081,0.025,1237.69,-0.692,63.221,0.157,0.026,0.012,599.732,0.263,18.565,0.047
Microwave(t),0.068,0.012,140.534,-0.472,21.77,0.086,0.03,0.006,70.059,0.494,15.307,0.025
Living room(t),0.045,0.014,419.457,0.627,58.898,0.132,0.012,0.006,225.382,0.505,14.631,0.034
Solar(t),0.033,0.022,285.085,0.903,45.944,0.079,0.011,0.009,166.861,0.056,10.674,0.022
temperature(t),1.578,1.25,3.163,0.958,1.511,0.052,0.806,0.66,3.218,0.02,1.341,0.016
humidity(t),0.036,0.028,5.024,0.952,2.47,0.065,0.015,0.012,3.246,0.02,1.543,0.019
visibility(t),0.296,0.205,3.174,0.899,1.526,0.063,0.202,0.164,3.341,0.113,1.616,0.015
apparentTemperature(t),1.767,1.384,5.394,0.954,2.322,0.055,0.861,0.714,11.209,0.021,3.703,0.015
pressure(t),0.795,0.639,0.063,0.974,0.032,0.045,0.541,0.456,0.045,0.014,0.022,0.016
windSpeed(t),0.729,0.494,inf,0.942,5.388,0.056,0.205,0.187,,0.021,2.117,0.012
cloudCover(t),0.065,0.04,inf,0.908,25.274,0.08,0.032,0.025,,0.041,9.583,0.017
windBearing(t),28.047,14.351,inf,0.897,8.361,0.083,13.344,7.514,,0.059,6.636,0.033
precipIntensity(t),0.002,0.001,inf,0.811,85.238,,0.002,0.001,,0.281,12.241,
dewPoint(t),1.092,0.862,5.652,0.969,2.509,0.048,0.93,0.792,13.42,0.014,4.952,0.013
precipProbability(t),0.032,0.017,inf,0.812,85.064,,0.023,0.016,,0.282,12.447,
