variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),21.272,13.594,38.04,0.87,13.594,0.87
PM10(t),33.798,20.855,36.931,0.783,20.855,0.783
SO2(t),5.253,3.186,25.964,0.809,3.186,0.809
NO2(t),13.353,8.916,23.695,0.791,8.916,0.791
CO(t),349.322,226.616,24.519,0.826,226.616,0.826
O3(t),1229.634,477.918,1680.268,0.722,477.918,0.722
TEMP(t),39.595,15.195,inf,0.402,15.195,0.402
PRES(t),1.31,1.039,0.102,0.834,1.039,0.834
DEWP(t),1.41,0.97,inf,0.908,0.97,0.908
RAIN(t),0.539,0.09,,-0.073,0.09,-0.073
WSPM(t),0.781,0.58,inf,0.442,0.58,0.442
