variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),21.269,13.596,37.999,0.871,13.609,0.076,9.39,5.589,18.81,0.076,4.952,0.016
PM10(t),33.795,20.857,36.84,0.783,13.632,0.091,12.194,6.301,13.823,0.126,3.379,0.022
SO2(t),5.25,3.183,25.943,0.809,11.306,0.08,4.232,2.645,9.64,0.104,3.135,0.023
NO2(t),13.354,8.916,23.695,0.791,9.352,0.095,3.195,1.818,10.262,0.078,2.298,0.015
CO(t),349.124,226.501,24.504,0.826,10.204,0.084,222.183,142.277,10.918,0.093,2.726,0.017
O3(t),1229.635,477.918,1680.267,0.722,24.783,0.109,4669.159,1987.282,7979.203,0.45,15.364,0.046
TEMP(t),39.594,15.195,inf,0.402,14.706,0.102,205.605,74.551,,2.206,17.962,0.112
PRES(t),1.31,1.039,0.102,0.834,0.051,0.06,2.462,2.061,0.201,0.652,0.101,0.084
DEWP(t),1.41,0.969,inf,0.908,9.102,0.066,0.35,0.249,,0.048,6.209,0.011
RAIN(t),0.539,0.09,,-0.073,,,0.746,0.107,,0.619,,
WSPM(t),0.781,0.58,inf,0.442,22.823,0.141,0.166,0.121,,0.154,9.07,0.021
