variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),21.945,12.772,30.655,0.878,12.772,0.878
PM10(t),34.001,20.297,32.009,0.795,20.297,0.795
SO2(t),5.411,3.152,25.324,0.761,3.152,0.761
NO2(t),13.525,9.095,20.855,0.786,9.095,0.786
CO(t),332.643,205.603,21.59,0.777,205.603,0.777
O3(t),484.43,108.094,5555.088,0.724,108.094,0.724
TEMP(t),296.658,122.636,inf,0.547,122.636,0.547
PRES(t),1.366,0.991,0.097,0.881,0.991,0.881
DEWP(t),1.493,0.937,inf,0.896,0.937,0.896
RAIN(t),0.514,0.084,,-0.106,0.084,-0.106
WSPM(t),0.794,0.582,inf,0.338,0.582,0.338
PM2.5.1(t),20.749,12.077,35.75,0.857,12.077,0.857
PM10.1(t),31.063,18.355,32.87,0.789,18.355,0.789
SO2.1(t),5.62,3.077,31.965,0.502,3.077,0.502
NO2.1(t),13.78,8.926,26.668,0.552,8.926,0.552
CO.1(t),346.38,205.414,22.953,0.763,205.414,0.763
O3.1(t),373.995,97.249,212.102,0.741,97.249,0.741
TEMP.1(t),295.94,120.827,inf,0.569,120.827,0.569
PRES.1(t),1.037,0.743,0.074,0.917,0.743,0.917
DEWP.1(t),1.379,0.831,inf,0.913,0.831,0.913
RAIN.1(t),0.363,0.068,,-0.05,0.068,-0.05
WSPM.1(t),0.859,0.618,inf,0.348,0.618,0.348
PM2.5.2(t),19.489,10.972,43.775,0.874,10.972,0.874
PM10.2(t),29.161,16.278,39.941,0.808,16.278,0.808
SO2.2(t),4.229,2.307,27.113,0.695,2.307,0.695
NO2.2(t),8.487,5.193,36.747,0.731,5.193,0.731
CO.2(t),239.466,131.005,20.725,0.83,131.005,0.83
O3.2(t),578.186,153.448,149.696,0.784,153.448,0.784
TEMP.2(t),295.94,120.827,inf,0.569,120.827,0.569
PRES.2(t),1.755,1.283,0.127,0.695,1.283,0.695
DEWP.2(t),1.379,0.831,inf,0.913,0.831,0.913
RAIN.2(t),0.363,0.068,,-0.05,0.068,-0.05
WSPM.2(t),0.859,0.618,inf,0.348,0.618,0.348
PM2.5.3(t),21.713,13.101,36.182,0.892,13.101,0.892
PM10.3(t),33.138,19.682,33.54,0.815,19.682,0.815
SO2.3(t),5.298,3.06,25.566,0.784,3.06,0.784
NO2.3(t),12.278,8.384,20.386,0.79,8.384,0.79
CO.3(t),335.547,209.94,21.035,0.8,209.94,0.8
O3.3(t),134.405,26.902,97.129,0.746,26.902,0.746
TEMP.3(t),296.605,122.598,inf,0.548,122.598,0.548
PRES.3(t),1.369,0.993,0.098,0.873,0.993,0.873
DEWP.3(t),1.466,0.912,inf,0.905,0.912,0.905
RAIN.3(t),0.533,0.087,inf,-0.078,0.087,-0.078
WSPM.3(t),0.845,0.614,inf,0.33,0.614,0.33
PM2.5.4(t),21.41,12.811,31.6,0.881,12.811,0.881
PM10.4(t),32.124,19.121,29.021,0.799,19.121,0.799
SO2.4(t),6.603,3.297,30.055,0.68,3.297,0.68
NO2.4(t),461.224,88.67,87.201,0.735,88.67,0.735
CO.4(t),292.16,184.494,19.414,0.822,184.494,0.822
O3.4(t),389.946,70.815,201.186,0.732,70.815,0.732
TEMP.4(t),296.658,122.636,inf,0.547,122.636,0.547
PRES.4(t),1.366,0.991,0.097,0.881,0.991,0.881
DEWP.4(t),1.493,0.937,inf,0.896,0.937,0.896
RAIN.4(t),0.514,0.084,,-0.106,0.084,-0.106
WSPM.4(t),0.794,0.582,inf,0.338,0.582,0.338
PM2.5.5(t),23.862,13.543,32.588,0.845,13.543,0.845
PM10.5(t),39.265,24.547,37.131,0.735,24.547,0.735
SO2.5(t),5.475,2.816,23.854,0.633,2.816,0.633
NO2.5(t),14.416,9.428,25.145,0.747,9.428,0.747
CO.5(t),324.206,205.456,20.803,0.787,205.456,0.787
O3.5(t),655.534,161.456,149.052,0.704,161.456,0.704
TEMP.5(t),348.792,153.632,inf,0.592,153.632,0.592
PRES.5(t),1.028,0.74,0.073,0.928,0.74,0.928
DEWP.5(t),1.428,0.886,inf,0.906,0.886,0.906
RAIN.5(t),0.404,0.084,,0.059,0.084,0.059
WSPM.5(t),0.721,0.521,inf,0.364,0.521,0.364
