variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),21.814,12.568,29.898,0.879,12.568,0.879
PM10(t),33.821,20.041,31.265,0.797,20.041,0.797
SO2(t),5.403,3.13,24.939,0.761,3.13,0.761
NO2(t),13.492,9.053,20.735,0.787,9.053,0.787
CO(t),331.41,203.721,21.371,0.778,203.721,0.778
O3(t),484.421,108.001,5551.162,0.724,108.001,0.724
TEMP(t),296.536,120.886,inf,0.602,120.886,0.602
PRES(t),1.313,0.951,0.094,0.895,0.951,0.895
DEWP(t),1.489,0.931,inf,0.896,0.931,0.896
RAIN(t),0.513,0.083,,-0.105,0.083,-0.105
WSPM(t),0.793,0.58,inf,0.339,0.58,0.339
PM2.5.1(t),20.547,11.87,35.245,0.859,11.87,0.859
PM10.1(t),30.794,18.112,32.375,0.792,18.112,0.792
SO2.1(t),5.621,3.066,31.744,0.502,3.066,0.502
NO2.1(t),13.747,8.898,26.543,0.553,8.898,0.553
CO.1(t),344.293,203.145,22.575,0.765,203.145,0.765
O3.1(t),373.923,97.141,211.569,0.742,97.141,0.742
TEMP.1(t),295.949,120.185,inf,0.616,120.185,0.616
PRES.1(t),1.033,0.74,0.073,0.917,0.74,0.917
DEWP.1(t),1.365,0.822,inf,0.915,0.822,0.915
RAIN.1(t),0.363,0.068,,-0.051,0.068,-0.051
WSPM.1(t),0.859,0.618,inf,0.347,0.618,0.347
PM2.5.2(t),19.44,10.854,42.837,0.874,10.854,0.874
PM10.2(t),29.074,16.147,39.3,0.809,16.147,0.809
SO2.2(t),4.23,2.303,26.954,0.695,2.303,0.695
NO2.2(t),8.456,5.17,36.598,0.732,5.17,0.732
CO.2(t),239.144,129.939,20.114,0.83,129.939,0.83
O3.2(t),578.144,153.375,149.288,0.784,153.375,0.784
TEMP.2(t),295.949,120.185,inf,0.616,120.185,0.616
PRES.2(t),1.658,1.206,0.119,0.746,1.206,0.746
DEWP.2(t),1.365,0.822,inf,0.915,0.822,0.915
RAIN.2(t),0.363,0.068,,-0.051,0.068,-0.051
WSPM.2(t),0.859,0.618,inf,0.347,0.618,0.347
PM2.5.3(t),21.585,12.888,35.165,0.893,12.888,0.893
PM10.3(t),32.968,19.468,33.09,0.816,19.468,0.816
SO2.3(t),5.297,3.031,25.047,0.785,3.031,0.785
NO2.3(t),12.265,8.365,20.353,0.79,8.365,0.79
CO.3(t),334.69,208.14,20.774,0.801,208.14,0.801
O3.3(t),134.429,26.865,96.263,0.745,26.865,0.745
TEMP.3(t),296.482,120.848,inf,0.603,120.848,0.603
PRES.3(t),1.316,0.953,0.094,0.887,0.953,0.887
DEWP.3(t),1.46,0.907,inf,0.905,0.907,0.905
RAIN.3(t),0.533,0.087,inf,-0.077,0.087,-0.077
WSPM.3(t),0.845,0.613,inf,0.331,0.613,0.331
PM2.5.4(t),21.3,12.603,30.73,0.882,12.603,0.882
PM10.4(t),31.945,18.923,28.632,0.8,18.923,0.8
SO2.4(t),6.582,3.265,29.656,0.682,3.265,0.682
NO2.4(t),461.176,88.688,87.19,0.735,88.688,0.735
CO.4(t),290.886,182.984,19.099,0.823,182.984,0.823
O3.4(t),389.903,70.767,200.393,0.732,70.767,0.732
TEMP.4(t),296.536,120.886,inf,0.602,120.886,0.602
PRES.4(t),1.313,0.951,0.094,0.895,0.951,0.895
DEWP.4(t),1.489,0.931,inf,0.896,0.931,0.896
RAIN.4(t),0.513,0.083,,-0.105,0.083,-0.105
WSPM.4(t),0.793,0.58,inf,0.339,0.58,0.339
PM2.5.5(t),23.753,13.422,32.343,0.846,13.422,0.846
PM10.5(t),39.128,24.416,37.034,0.736,24.416,0.736
SO2.5(t),5.474,2.809,23.637,0.633,2.809,0.633
NO2.5(t),14.414,9.428,25.035,0.748,9.428,0.748
CO.5(t),322.893,203.852,20.607,0.788,203.852,0.788
O3.5(t),655.62,161.366,146.822,0.704,161.366,0.704
TEMP.5(t),348.514,152.039,inf,0.632,152.039,0.632
PRES.5(t),1.02,0.734,0.073,0.929,0.734,0.929
DEWP.5(t),1.42,0.876,inf,0.907,0.876,0.907
RAIN.5(t),0.404,0.084,,0.059,0.084,0.059
WSPM.5(t),0.721,0.52,inf,0.364,0.52,0.364
