variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5,21.814,12.568,29.898,0.879,12.088,0.08,9.878,4.144,9.035,0.068,3.02,0.016
PM10,33.821,20.041,31.265,0.797,12.619,0.094,13.111,6.352,8.307,0.13,2.675,0.027
SO2,5.403,3.13,24.939,0.761,11.103,0.093,4.118,2.189,8.49,0.109,3.288,0.02
NO2,13.492,9.053,20.735,0.787,9.084,0.1,2.969,2.006,6.025,0.099,1.715,0.022
CO,331.41,203.721,21.371,0.778,9.204,0.094,164.575,103.089,7.888,0.137,2.087,0.022
O3,484.421,108.001,5551.162,0.724,21.719,0.119,2551.593,524.718,30011.311,0.345,9.671,0.025
TEMP,296.536,120.886,inf,0.602,18.471,0.114,1226.044,460.665,,0.988,22.742,0.091
PRES,1.313,0.951,0.094,0.895,0.047,0.063,1.742,1.309,0.128,0.234,0.064,0.048
DEWP,1.489,0.931,inf,0.896,10.22,0.076,0.508,0.275,,0.056,8.69,0.015
RAIN,0.513,0.083,,-0.105,,,1.076,0.155,,0.574,,
WSPM,0.793,0.58,inf,0.339,24.519,0.15,0.152,0.115,,0.209,10.517,0.028
PM2.5.1,20.547,11.87,35.245,0.859,13.344,0.084,8.883,4.392,11.1,0.109,3.481,0.017
PM10.1,30.794,18.112,32.375,0.792,12.687,0.094,12.06,6.021,11.133,0.116,2.954,0.02
SO2.1,5.621,3.066,31.744,0.502,12.486,0.122,2.826,2.007,9.985,0.458,3.818,0.039
NO2.1,13.747,8.898,26.543,0.553,11.448,0.128,3.059,2.126,9.167,0.268,3.385,0.03
CO.1,344.293,203.145,22.575,0.765,9.438,0.097,228.924,136.272,10.412,0.131,2.861,0.025
O3.1,373.923,97.141,211.569,0.742,19.11,0.114,1950.775,467.258,861.679,0.192,8.879,0.024
TEMP.1,295.949,120.185,inf,0.616,18.145,0.107,1253.294,475.263,,0.934,23.541,0.084
PRES.1,1.033,0.74,0.073,0.917,0.037,0.057,0.598,0.463,0.045,0.132,0.023,0.029
DEWP.1,1.365,0.822,inf,0.915,9.447,0.069,0.53,0.265,,0.06,7.672,0.018
RAIN.1,0.363,0.068,,-0.051,,,0.666,0.115,,0.653,,
WSPM.1,0.859,0.618,inf,0.347,19.666,0.147,0.216,0.137,,0.243,4.715,0.023
PM2.5.2,19.44,10.854,42.837,0.874,15.022,0.082,7.248,3.733,13.264,0.079,4.328,0.019
PM10.2,29.074,16.147,39.3,0.809,13.835,0.093,15.088,5.686,14.628,0.098,3.622,0.019
SO2.2,4.23,2.303,26.954,0.695,11.323,0.098,2.273,1.414,11.18,0.193,3.974,0.024
NO2.2,8.456,5.17,36.598,0.732,13.765,0.102,2.934,1.642,13.833,0.175,3.586,0.022
CO.2,239.144,129.939,20.114,0.83,8.408,0.083,157.923,80.335,9.118,0.141,3.166,0.022
O3.2,578.144,153.375,149.288,0.784,14.415,0.099,3077.969,781.768,646.46,0.256,11.032,0.027
