variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),22.242,12.714,34.318,0.819,12.714,0.819
PM10(t),32.464,19.846,32.28,0.696,19.846,0.696
SO2(t),5.329,3.135,27.524,0.761,3.135,0.761
NO2(t),14.407,9.494,26.661,0.704,9.494,0.704
CO(t),389.495,227.063,25.511,0.728,227.063,0.728
O3(t),400.001,76.995,132.869,0.673,76.995,0.673
TEMP(t),228.748,108.357,inf,0.727,108.357,0.727
PRES(t),4001.809,484.921,24.499,0.85,484.921,0.85
DEWP(t),1.605,0.979,inf,0.868,0.979,0.868
RAIN(t),0.283,0.064,,-0.075,0.064,-0.075
WSPM(t),0.849,0.628,inf,0.326,0.628,0.326
PM2.5.1(t),19.512,11.678,36.392,0.822,11.678,0.822
PM10.1(t),28.135,17.512,33.162,0.684,17.512,0.684
SO2.1(t),5.838,3.173,33.732,0.476,3.173,0.476
NO2.1(t),13.861,9.106,29.35,0.549,9.106,0.549
CO.1(t),370.293,214.937,27.971,0.707,214.937,0.707
O3.1(t),365.771,73.369,231.309,0.666,73.369,0.666
TEMP.1(t),180.288,71.61,inf,0.72,71.61,0.72
PRES.1(t),1.149,0.797,0.079,0.902,0.797,0.902
DEWP.1(t),1.426,0.854,inf,0.892,0.854,0.892
RAIN.1(t),0.425,0.095,,-0.011,0.095,-0.011
WSPM.1(t),0.906,0.653,inf,0.303,0.653,0.303
PM2.5.2(t),17.413,10.133,45.087,0.858,10.133,0.858
PM10.2(t),24.417,14.849,40.365,0.736,14.849,0.736
SO2.2(t),4.285,2.456,27.74,0.661,2.456,0.661
NO2.2(t),8.476,5.164,39.365,0.699,5.164,0.699
CO.2(t),269.311,149.359,23.425,0.778,149.359,0.778
O3.2(t),436.684,81.356,78.562,0.679,81.356,0.679
TEMP.2(t),180.288,71.61,inf,0.72,71.61,0.72
PRES.2(t),5633.42,964.632,48.852,0.836,964.632,0.836
DEWP.2(t),1.426,0.854,inf,0.892,0.854,0.892
RAIN.2(t),0.425,0.095,,-0.011,0.095,-0.011
