variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5,22.203,12.709,34.213,0.82,13.383,0.094,11.294,4.867,14.322,0.156,4.702,0.02
PM10,32.419,19.829,32.191,0.697,13.479,0.114,12.441,6.262,8.627,0.217,3.249,0.027
SO2,5.317,3.13,27.455,0.762,11.555,0.098,4.284,2.605,14.31,0.119,4.702,0.019
NO2,14.393,9.489,26.623,0.705,10.582,0.121,3.487,2.05,13.322,0.167,2.704,0.025
CO,390.209,227.274,25.524,0.727,10.28,0.112,289.788,148.043,19.098,0.173,3.893,0.034
O3,399.994,76.986,132.678,0.673,21.204,0.131,2087.778,352.812,333.723,0.342,10.516,0.031
TEMP,228.671,108.308,inf,0.727,17.922,0.108,886.647,407.742,,0.362,21.18,0.042
PRES,4001.809,484.921,24.499,0.85,0.622,0.065,21912.497,2651.628,133.753,0.365,3.191,0.028
DEWP,1.605,0.979,inf,0.868,8.579,0.086,0.605,0.302,,0.086,7.784,0.018
RAIN,0.283,0.064,,-0.075,,,0.676,0.169,,0.485,,
WSPM,0.849,0.629,inf,0.326,23.597,0.165,0.176,0.131,,0.231,8.373,0.028
PM2.5.1,19.486,11.67,36.36,0.823,14.088,0.1,7.77,4.084,12.148,0.096,4.217,0.021
PM10.1,28.129,17.507,33.137,0.684,13.473,0.114,8.238,4.349,9.364,0.21,3.258,0.033
SO2.1,5.834,3.167,33.617,0.476,13.159,0.127,4.188,2.561,15.992,0.527,5.507,0.036
NO2.1,13.852,9.095,29.266,0.549,12.392,0.139,3.351,2.205,12.075,0.271,4.029,0.031
CO.1,369.848,214.621,27.914,0.708,10.334,0.113,237.025,129.518,23.665,0.14,3.739,0.023
O3.1,365.766,73.362,231.311,0.667,18.079,0.129,1907.361,337.12,979.651,0.295,7.566,0.03
TEMP.1,180.242,71.699,inf,0.72,16.861,0.103,682.252,274.615,,0.397,19.825,0.029
PRES.1,1.149,0.797,0.079,0.902,0.039,0.065,0.641,0.525,0.051,0.127,0.026,0.032
DEWP.1,1.424,0.853,inf,0.892,7.173,0.077,0.617,0.283,,0.067,6.616,0.017
RAIN.1,0.425,0.095,,-0.011,,,1.327,0.304,,0.585,,
WSPM.1,0.906,0.653,inf,0.302,20.073,0.164,0.214,0.143,,0.278,5.009,0.028
PM2.5.2,17.382,10.13,44.946,0.858,15.518,0.097,7.49,3.93,19.816,0.078,5.124,0.023
PM10.2,24.389,14.849,40.337,0.736,15.033,0.112,7.869,4.038,16.244,0.19,4.574,0.028
SO2.2,4.284,2.455,27.588,0.661,11.92,0.11,2.804,1.87,12.682,0.31,4.925,0.022
NO2.2,8.473,5.162,39.18,0.699,15.0,0.116,2.86,1.689,16.095,0.22,4.404,0.023
CO.2,269.273,149.241,23.343,0.778,9.27,0.103,173.497,99.775,16.887,0.141,3.978,0.028
O3.2,436.676,81.345,78.558,0.68,13.521,0.111,2292.936,386.617,265.171,0.391,8.287,0.029
TEMP.2,180.242,71.699,inf,0.72,16.861,0.103,682.252,274.615,,0.397,19.825,0.029
PRES.2,5633.42,964.632,48.852,0.836,1.255,0.069,30849.137,5279.088,267.138,0.375,6.654,0.037
DEWP.2,1.424,0.853,inf,0.892,7.173,0.077,0.617,0.283,,0.067,6.616,0.017
RAIN.2,0.425,0.095,,-0.011,,,1.327,0.304,,0.585,,
WSPM.2,0.906,0.653,inf,0.302,20.073,0.164,0.214,0.143,,0.278,5.009,0.028
PM2.5.3,23.131,13.712,41.983,0.837,14.331,0.094,10.605,5.516,23.537,0.076,5.155,0.019
PM10.3,33.877,20.433,37.256,0.716,13.868,0.111,13.35,6.57,14.649,0.164,3.474,0.025
SO2.3,5.173,2.99,27.496,0.791,11.734,0.09,3.322,2.061,11.235,0.128,3.96,0.015
NO2.3,12.475,8.33,22.798,0.724,10.083,0.114,2.538,1.617,5.853,0.143,2.376,0.02
CO.3,384.165,227.344,24.769,0.749,10.18,0.106,231.124,119.634,15.353,0.121,3.917,0.029
O3.3,28.572,12.97,60.888,0.715,17.788,0.122,66.013,10.361,62.967,0.333,4.688,0.029
TEMP.3,228.639,108.291,inf,0.725,17.854,0.107,886.656,407.746,,0.363,21.258,0.043
PRES.3,4001.804,484.916,24.498,0.841,0.622,0.064,21912.498,2651.629,133.753,0.369,3.191,0.027
DEWP.3,1.546,0.958,inf,0.881,8.108,0.082,0.595,0.281,,0.084,6.657,0.02
RAIN.3,0.29,0.064,,-0.206,,,0.675,0.169,,0.589,,
WSPM.3,0.893,0.654,inf,0.315,20.153,0.16,0.232,0.166,,0.29,3.625,0.029
PM2.5.4,20.707,12.564,35.245,0.85,13.794,0.092,9.047,4.746,16.081,0.072,5.125,0.02
PM10.4,28.405,18.045,30.772,0.756,12.977,0.109,9.147,4.69,9.062,0.132,3.137,0.026
SO2.4,6.002,3.218,29.25,0.738,11.964,0.102,6.386,2.836,15.629,0.166,4.941,0.023
NO2.4,284.563,53.319,64.663,0.682,10.426,0.113,1491.41,247.16,240.832,0.356,7.268,0.024
CO.4,339.501,195.275,23.517,0.765,9.551,0.103,227.623,104.173,16.079,0.119,3.905,0.024
O3.4,452.836,91.253,143.398,0.694,21.54,0.124,2381.211,434.341,423.786,0.337,9.018,0.029
TEMP.4,228.671,108.308,inf,0.727,17.922,0.108,886.647,407.742,,0.362,21.18,0.042
PRES.4,4001.809,484.921,24.499,0.85,0.622,0.065,21912.497,2651.628,133.753,0.365,3.191,0.028
DEWP.4,1.605,0.979,inf,0.868,8.579,0.086,0.605,0.302,,0.086,7.784,0.018
RAIN.4,0.283,0.064,,-0.075,,,0.676,0.169,,0.485,,
WSPM.4,0.849,0.629,inf,0.326,23.597,0.165,0.176,0.131,,0.231,8.373,0.028
PM2.5.5,20.66,12.692,36.802,0.85,13.562,0.093,8.085,4.699,18.705,0.079,4.67,0.024
PM10.5,35.688,23.544,38.08,0.685,15.331,0.121,9.737,6.149,13.901,0.198,4.661,0.038
SO2.5,5.953,2.999,24.917,0.648,10.756,0.106,6.764,2.627,12.817,0.331,5.131,0.025
NO2.5,13.962,9.198,28.366,0.698,11.594,0.123,3.618,2.326,10.724,0.194,3.563,0.028
CO.5,374.387,217.569,25.284,0.717,9.828,0.112,249.421,121.656,16.097,0.134,3.47,0.027
O3.5,679.654,171.306,163.596,0.664,20.107,0.134,3619.26,869.162,608.369,0.342,11.438,0.031
TEMP.5,176.444,69.899,inf,0.713,17.113,0.109,668.66,269.065,,0.409,20.287,0.038
PRES.5,1.159,0.802,0.079,0.902,0.04,0.064,0.629,0.508,0.05,0.12,0.025,0.028
DEWP.5,1.522,0.916,inf,0.869,7.811,0.082,0.597,0.29,,0.1,6.466,0.018
RAIN.5,0.215,0.048,,0.134,,,0.437,0.103,,0.48,,
WSPM.5,0.768,0.559,inf,0.331,28.143,0.165,0.28,0.189,,0.223,9.165,0.027
PM2.5.6,18.274,10.795,45.371,0.836,14.981,0.095,7.876,3.78,25.374,0.104,5.134,0.023
PM10.6,31.175,18.584,44.366,0.642,16.396,0.116,11.306,5.467,14.666,0.306,4.129,0.031
SO2.6,4.875,2.611,31.572,0.705,12.796,0.106,4.526,2.619,18.37,0.158,6.084,0.021
NO2.6,10.676,7.086,39.158,0.645,15.16,0.128,4.328,2.703,14.339,0.167,3.803,0.028
CO.6,281.758,171.333,27.025,0.75,10.522,0.109,150.412,86.848,16.423,0.13,3.773,0.026
