variable,rmse,mae,mape,r2,smape,nrmse
CO(GT)(t),37.845,11.604,884.138,-0.377,36.647,inf
PT08.S1(CO)(t),127.399,80.355,9.87,0.583,4.596,0.132
NMHC(GT)(t),19.316,11.94,4.8,0.967,2.475,
C6H6(GT)(t),11.053,5.013,68.967,0.483,19.809,0.139
PT08.S2(NMHC)(t),153.908,103.538,13.444,0.612,6.372,0.132
NOx(GT)(t),108.947,69.275,50.152,0.4,18.744,inf
PT08.S3(NOx)(t),121.153,84.641,12.449,0.678,6.049,0.117
NO2(GT)(t),71.424,35.052,37.286,0.075,14.641,inf
PT08.S4(NO2)(t),172.066,107.113,10.695,0.539,4.833,0.129
PT08.S5(O3)(t),188.322,133.322,16.613,0.65,7.864,0.129
T(t),9.432,3.739,17.994,0.693,8.201,0.111
RH(t),12.869,6.216,13.526,0.692,7.095,0.114
AH(t),7.698,2.654,229.77,-3.77,14.79,0.257
