variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),37.844,11.601,884.73,-0.377,36.521,inf,12.497,6.37,782.426,0.841,17.628,
PT08.S1(CO)(t),127.394,80.333,9.869,0.583,4.595,0.132,54.654,22.33,6.511,0.267,2.929,0.018
NMHC(GT)(t),19.329,11.928,4.796,0.967,2.481,,50.943,31.914,12.575,0.091,6.502,
C6H6(GT)(t),11.063,5.024,69.106,0.483,19.897,0.139,12.247,4.649,82.887,0.437,11.287,0.016
PT08.S2(NMHC)(t),153.867,103.55,13.444,0.612,6.372,0.132,51.59,24.272,5.805,0.186,2.528,0.015
NOx(GT)(t),108.999,69.271,50.188,0.4,18.752,inf,42.081,33.754,23.201,0.291,5.487,
PT08.S3(NOx)(t),121.19,84.676,12.456,0.678,6.046,0.117,38.354,17.393,4.795,0.17,2.413,0.017
NO2(GT)(t),71.458,35.06,37.308,0.074,14.643,inf,21.935,10.949,15.578,0.5,4.557,
PT08.S4(NO2)(t),172.087,107.145,10.7,0.539,4.834,0.129,75.29,33.472,8.203,0.274,3.553,0.018
PT08.S5(O3)(t),188.232,133.209,16.601,0.65,7.859,0.129,48.202,25.817,5.699,0.169,2.521,0.022
T(t),9.447,3.749,18.027,0.693,8.219,0.111,13.801,5.28,24.029,0.479,10.752,0.023
RH(t),12.881,6.224,13.553,0.692,7.108,0.114,13.528,4.742,11.843,0.437,7.55,0.024
AH(t),7.71,2.662,230.392,-3.767,14.807,0.257,13.001,5.079,512.888,16.458,23.261,0.439
