variable,rmse,mae,mape,r2,smape,nrmse
Appliances,64.759,29.654,25.95,0.406,29.654,0.406
lights,4.998,2.489,inf,0.159,2.489,0.159
T1,0.061,0.046,0.212,0.987,0.046,0.987
RH_1,0.424,0.208,0.506,0.917,0.208,0.917
T2,0.119,0.087,0.416,0.988,0.087,0.988
RH_2,0.283,0.19,0.484,0.975,0.19,0.975
T3,0.074,0.049,0.215,0.97,0.049,0.97
RH_3,0.203,0.119,0.303,0.958,0.119,0.958
T4,0.084,0.053,0.258,0.976,0.053,0.976
RH_4,0.171,0.117,0.302,0.972,0.117,0.972
T5,0.107,0.05,0.251,0.935,0.05,0.935
RH_5,1.9,0.656,1.124,0.897,0.656,0.897
T6,0.306,0.234,inf,0.988,0.234,0.988
RH_6,1.422,0.978,9.941,-4.3295243238328e+21,0.978,-4.3295243238328e+21
T7,0.046,0.032,0.158,0.975,0.032,0.975
RH_7,0.215,0.157,0.446,0.987,0.157,0.987
T8,0.064,0.049,0.222,0.987,0.049,0.987
RH_8,0.278,0.21,0.5,0.987,0.21,0.987
T9,0.038,0.022,0.115,0.942,0.022,0.942
RH_9,0.214,0.155,0.377,0.982,0.155,0.982
T_out,0.217,0.17,inf,0.99,0.17,0.99
Press_mm_hg,0.113,0.089,0.012,0.992,0.089,0.992
RH_out,1.061,0.82,1.174,0.987,0.82,0.987
Windspeed,0.206,0.16,inf,0.974,0.16,0.974
Visibility,2.089,1.333,3.631,0.952,1.333,0.952
Tdewpoint,0.15,0.114,inf,0.985,0.114,0.985
