variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances,64.758,29.653,25.947,0.406,11.631,0.125,29.058,13.149,5.116,0.247,1.913,0.028
lights,4.998,2.489,inf,0.159,84.215,inf,1.73,1.27,,0.632,13.084,
T1,0.061,0.046,0.212,0.987,0.106,0.033,0.017,0.014,0.071,0.008,0.036,0.008
RH_1,0.424,0.208,0.506,0.917,0.254,0.05,0.212,0.085,0.205,0.057,0.103,0.014
T2,0.119,0.087,0.416,0.988,0.208,0.032,0.062,0.045,0.181,0.005,0.091,0.007
RH_2,0.283,0.19,0.484,0.975,0.242,0.037,0.129,0.092,0.258,0.021,0.129,0.011
T3,0.074,0.049,0.215,0.97,0.108,0.041,0.034,0.024,0.096,0.017,0.048,0.011
RH_3,0.203,0.119,0.303,0.958,0.152,0.044,0.103,0.051,0.129,0.028,0.064,0.01
T4,0.083,0.053,0.258,0.976,0.129,0.039,0.048,0.03,0.153,0.016,0.077,0.008
RH_4,0.171,0.116,0.302,0.972,0.151,0.038,0.053,0.036,0.102,0.02,0.051,0.012
T5,0.107,0.05,0.251,0.935,0.126,0.052,0.063,0.024,0.13,0.062,0.066,0.017
RH_5,1.9,0.655,1.124,0.897,0.579,0.056,1.111,0.402,0.729,0.11,0.374,0.017
T6,0.306,0.234,inf,0.988,2.867,0.032,0.128,0.101,,0.005,2.607,0.006
RH_6,1.421,0.978,9.939,-4.329524323832948e+21,4.448,inf,0.674,0.454,15.798,2.3713781354306076e+22,6.846,
T7,0.046,0.032,0.158,0.975,0.079,0.039,0.02,0.016,0.082,0.02,0.041,0.015
RH_7,0.215,0.157,0.446,0.987,0.223,0.032,0.117,0.089,0.249,0.011,0.125,0.011
T8,0.064,0.049,0.222,0.987,0.111,0.032,0.016,0.014,0.066,0.006,0.033,0.005
RH_8,0.278,0.21,0.5,0.987,0.25,0.033,0.094,0.078,0.203,0.006,0.102,0.007
T9,0.038,0.022,0.115,0.942,0.058,0.058,0.024,0.009,0.044,0.045,0.022,0.023
RH_9,0.214,0.155,0.377,0.982,0.188,0.036,0.097,0.076,0.183,0.011,0.092,0.009
T_out,0.217,0.17,inf,0.99,2.398,0.029,0.106,0.087,,0.004,2.65,0.006
Press_mm_hg,0.113,0.089,0.012,0.992,0.006,0.024,0.057,0.045,0.006,0.006,0.003,0.008
RH_out,1.06,0.82,1.174,0.987,0.585,0.031,0.474,0.392,0.832,0.007,0.409,0.007
Windspeed,0.206,0.16,inf,0.974,2.756,0.04,0.054,0.045,,0.016,1.178,0.01
Visibility,2.089,1.333,3.631,0.952,1.806,0.06,0.899,0.619,1.61,0.027,0.796,0.013
Tdewpoint,0.15,0.114,inf,0.985,4.051,0.03,0.065,0.05,,0.008,4.083,0.007
