variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.545,0.394,233.071,0.422,25.704,0.081
gen [kW](t),0.058,0.045,inf,0.732,59.656,0.12
Dishwasher [kW](t),0.164,0.108,inf,0.091,96.549,0.12
Furnace 1 [kW](t),0.119,0.087,226.294,0.045,49.533,0.152
Furnace 2 [kW](t),0.111,0.083,81.901,0.268,27.412,0.19
Home office [kW](t),0.08,0.057,91.75,0.327,34.91,0.153
Fridge [kW](t),0.064,0.047,504.832,0.259,51.842,0.112
Wine cellar [kW](t),0.047,0.036,254.703,0.082,52.897,0.266
Garage door [kW](t),0.014,0.005,38.821,-0.059,14.241,0.041
Kitchen 12 [kW](t),0.008,0.004,inf,0.198,36.893,0.026
Kitchen 14 [kW](t),0.074,0.041,inf,-0.055,96.003,0.046
Kitchen 38 [kW](t),0.0,0.0,inf,-0.325,64.884,0.0
Barn [kW](t),0.148,0.078,inf,-0.052,40.59,0.051
Well [kW](t),0.138,0.066,inf,-0.153,90.803,0.085
Microwave [kW](t),0.092,0.045,inf,-0.078,78.679,0.051
Living room [kW](t),0.074,0.056,inf,0.225,81.194,0.216
Solar [kW](t),0.058,0.045,inf,0.732,59.656,0.12
temperature(t),2.439,1.932,4.988,0.893,2.506,0.082
humidity(t),0.063,0.05,9.032,0.834,4.322,0.117
visibility(t),0.693,0.532,8.78,0.542,3.756,0.141
apparentTemperature(t),2.777,2.183,7.834,0.874,3.695,0.089
pressure(t),2.546,2.079,0.205,0.646,0.102,0.16
windSpeed(t),1.978,1.566,inf,0.586,15.52,0.147
windBearing(t),64.364,50.487,inf,0.47,19.972,0.194
precipIntensity(t),0.004,0.003,,0.727,,
dewPoint(t),2.65,2.127,9.218,0.676,4.333,0.143
precipProbability(t),0.062,0.049,,0.764,,
