variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.558,0.407,234.113,0.402,0.407,0.402
gen [kW](t),0.062,0.049,inf,0.704,0.049,0.704
Dishwasher [kW](t),0.186,0.14,inf,-0.224,0.14,-0.224
Furnace 1 [kW](t),0.136,0.105,306.203,-0.243,0.105,-0.243
Furnace 2 [kW](t),0.123,0.094,97.45,-0.412,0.094,-0.412
Home office [kW](t),0.086,0.066,112.787,0.18,0.066,0.18
Fridge [kW](t),0.077,0.06,650.892,-0.137,0.06,-0.137
Wine cellar [kW](t),0.055,0.044,348.407,-0.336,0.044,-0.336
Garage door [kW](t),0.019,0.013,94.821,-1.051,0.013,-1.051
Kitchen 12 [kW](t),0.009,0.006,inf,-0.141,0.006,-0.141
Kitchen 14 [kW](t),0.087,0.057,inf,-0.5,0.057,-0.5
Kitchen 38 [kW](t),0.0,0.0,inf,-1.709,0.0,-1.709
Barn [kW](t),0.176,0.109,inf,-0.616,0.109,-0.616
Well [kW](t),0.183,0.123,inf,-1.053,0.123,-1.053
Microwave [kW](t),0.131,0.091,inf,-1.394,0.091,-1.394
Living room [kW](t),0.077,0.058,inf,0.196,0.058,0.196
Solar [kW](t),0.062,0.049,inf,0.704,0.049,0.704
temperature(t),2.653,2.094,5.404,0.864,2.094,0.864
humidity(t),0.066,0.052,9.219,0.813,0.052,0.813
visibility(t),0.726,0.554,8.769,0.465,0.554,0.465
apparentTemperature(t),2.923,2.298,8.36,0.854,2.298,0.854
pressure(t),2.768,2.237,0.22,0.581,2.237,0.581
windSpeed(t),2.201,1.736,inf,0.461,1.736,0.461
windBearing(t),71.2,56.565,inf,0.308,56.565,0.308
precipIntensity(t),0.004,0.003,,0.705,0.003,0.705
dewPoint(t),2.842,2.287,10.059,0.608,2.287,0.608
precipProbability(t),0.069,0.054,,0.738,0.054,0.738
