variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.538,0.389,211.078,0.434,25.496,0.08,0.331,0.262,239.86,0.292,10.965,0.028
gen [kW](t),0.057,0.045,inf,0.735,59.454,0.119,0.016,0.013,,0.158,5.52,0.026
Dishwasher [kW](t),0.16,0.104,inf,0.154,96.315,0.117,0.048,0.042,,0.294,3.111,0.035
Furnace 1 [kW](t),0.119,0.086,225.507,0.089,48.965,0.151,0.056,0.05,125.055,0.349,15.674,0.084
Furnace 2 [kW](t),0.111,0.083,81.318,0.272,28.354,0.19,0.078,0.064,58.588,0.226,17.689,0.091
Home office [kW](t),0.079,0.057,92.326,0.331,34.856,0.151,0.032,0.026,40.503,0.248,13.755,0.057
Fridge [kW](t),0.065,0.048,512.271,0.23,53.499,0.114,0.014,0.013,221.826,0.283,7.663,0.044
Wine cellar [kW](t),0.045,0.034,231.453,0.191,51.479,0.252,0.019,0.014,120.557,0.23,12.73,0.089
Garage door [kW](t),0.014,0.005,37.552,-0.079,13.683,0.041,0.013,0.006,46.586,0.281,9.65,0.013
Kitchen 12 [kW](t),0.007,0.004,inf,0.214,36.632,0.026,0.013,0.008,,0.355,35.147,0.047
Kitchen 14 [kW](t),0.074,0.041,inf,-0.073,95.899,0.047,0.025,0.018,,0.258,11.116,0.014
Kitchen 38 [kW](t),0.0,0.0,inf,-0.33,64.7,0.0,0.0,0.0,,0.341,6.456,0.0
Barn [kW](t),0.147,0.076,inf,-0.063,40.548,0.051,0.132,0.072,,0.352,22.777,0.024
Well [kW](t),0.137,0.066,inf,-0.143,90.834,0.085,0.041,0.03,,0.217,16.981,0.025
Microwave [kW](t),0.093,0.046,inf,-0.097,78.231,0.051,0.035,0.026,,0.266,18.203,0.018
Living room [kW](t),0.074,0.055,inf,0.245,81.158,0.214,0.026,0.023,,0.268,15.882,0.074
Solar [kW](t),0.057,0.045,inf,0.735,59.454,0.119,0.016,0.013,,0.158,5.52,0.026
temperature(t),2.446,1.942,4.999,0.891,2.511,0.083,0.877,0.719,4.526,0.058,2.282,0.019
humidity(t),0.063,0.05,8.968,0.836,4.294,0.117,0.018,0.015,3.576,0.081,1.629,0.03
visibility(t),0.683,0.524,8.714,0.556,3.709,0.139,0.448,0.357,8.898,0.349,3.159,0.031
apparentTemperature(t),2.787,2.194,8.008,0.871,3.711,0.089,0.909,0.737,12.408,0.086,4.657,0.021
pressure(t),2.575,2.109,0.208,0.642,0.104,0.162,1.322,1.119,0.111,0.27,0.055,0.047
windSpeed(t),1.969,1.559,inf,0.587,15.537,0.147,0.582,0.46,,0.145,4.881,0.025
windBearing(t),63.885,50.023,inf,0.473,19.703,0.192,19.881,17.134,,0.19,12.354,0.047
precipIntensity(t),0.004,0.003,,0.736,,,0.005,0.004,,0.175,,
dewPoint(t),2.648,2.123,9.426,0.676,4.344,0.143,0.958,0.766,11.283,0.285,4.539,0.062
precipProbability(t),0.062,0.049,,0.768,,,0.053,0.044,,0.147,,
