variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.827,0.582,315.933,-0.077,30.742,0.15,0.668,0.504,942.19,0.278,11.109,0.042
gen [kW](t),0.067,0.049,inf,0.654,60.611,0.147,0.022,0.018,,0.139,6.529,0.037
Dishwasher [kW](t),0.189,0.104,inf,-0.099,97.091,0.139,0.052,0.037,,0.199,2.045,0.038
Furnace 1 [kW](t),0.142,0.098,222.662,-0.176,47.761,0.201,0.073,0.067,131.423,0.306,14.467,0.108
Furnace 2 [kW](t),0.158,0.115,104.351,-0.226,32.706,0.276,0.108,0.089,73.436,0.367,19.655,0.13
Home office [kW](t),0.09,0.063,98.624,0.087,35.138,0.198,0.04,0.035,63.562,0.815,15.384,0.084
Fridge [kW](t),0.082,0.061,607.431,-0.195,59.563,0.157,0.013,0.011,112.949,0.306,7.709,0.072
Wine cellar [kW](t),0.048,0.037,244.517,0.008,50.829,0.296,0.019,0.015,135.982,0.476,12.58,0.092
Garage door [kW](t),0.01,0.004,27.17,-0.249,12.348,0.075,0.011,0.005,32.695,0.279,11.353,0.022
Kitchen 12 [kW](t),0.009,0.005,inf,-0.298,29.178,0.025,0.02,0.01,,0.522,30.878,0.055
Kitchen 14 [kW](t),0.084,0.039,inf,-0.5,95.784,0.08,0.045,0.023,,0.36,11.87,0.021
Kitchen 38 [kW](t),0.0,0.0,inf,-0.343,67.385,0.0,0.0,0.0,,0.219,5.273,0.0
Barn [kW](t),0.143,0.071,inf,-0.119,38.774,0.102,0.159,0.074,,0.353,22.785,0.041
Well [kW](t),0.145,0.062,inf,-0.25,90.227,0.093,0.05,0.029,,0.182,16.855,0.03
Microwave [kW](t),0.107,0.043,inf,-0.169,76.724,0.066,0.048,0.02,,0.155,21.557,0.023
Living room [kW](t),0.08,0.053,inf,0.165,81.44,0.234,0.023,0.019,,0.153,15.577,0.067
Solar [kW](t),0.067,0.049,inf,0.654,60.611,0.147,0.022,0.018,,0.139,6.529,0.037
temperature(t),2.672,2.11,5.467,0.875,2.758,0.089,1.006,0.806,5.121,0.042,2.701,0.016
humidity(t),0.065,0.052,9.03,0.823,4.379,0.121,0.016,0.013,3.397,0.082,1.583,0.028
visibility(t),0.739,0.552,9.497,0.548,3.936,0.146,0.507,0.395,10.194,0.233,3.528,0.033
apparentTemperature(t),3.034,2.372,8.371,0.849,3.99,0.097,1.0,0.778,11.881,0.09,5.052,0.019
pressure(t),2.557,2.041,0.201,0.647,0.101,0.165,1.122,0.903,0.09,0.176,0.045,0.05
windSpeed(t),2.062,1.624,inf,0.533,16.006,0.156,0.552,0.418,,0.207,4.644,0.029
windBearing(t),66.758,51.393,inf,0.426,20.121,0.204,22.918,19.608,,0.197,12.817,0.052
precipIntensity(t),0.004,0.003,,0.659,,,0.005,0.004,,0.173,,
dewPoint(t),2.709,2.163,10.078,0.689,4.67,0.144,1.017,0.831,14.039,0.211,5.656,0.052
precipProbability(t),0.069,0.05,,0.688,,,0.052,0.04,,0.164,,
