variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use(t),0.537,0.378,66.212,0.378,21.771,0.122,0.476,0.343,38.935,0.189,8.645,0.032
gen(t),0.054,0.041,665.839,0.771,57.366,0.126,0.015,0.013,267.322,0.066,5.195,0.024
Dishwasher(t),0.157,0.088,inf,0.11,94.247,0.116,0.041,0.029,,0.12,13.524,0.03
Furnace 1(t),0.094,0.065,129.252,0.112,38.427,0.157,0.044,0.039,56.269,0.249,12.577,0.067
Furnace 2(t),0.096,0.07,56.506,0.11,21.912,0.192,0.063,0.05,36.048,0.296,12.754,0.062
Home office(t),0.077,0.054,82.444,0.349,32.531,0.16,0.031,0.025,35.154,0.17,12.499,0.056
Fridge(t),0.066,0.049,423.928,0.074,51.445,0.133,0.009,0.006,84.048,0.161,6.006,0.073
Wine cellar(t),0.043,0.032,200.521,0.209,46.287,0.258,0.017,0.012,92.524,0.171,10.736,0.071
Garage door(t),0.009,0.004,23.562,-0.068,10.913,0.088,0.011,0.004,24.283,0.199,9.061,0.025
Kitchen 12(t),0.005,0.003,467.769,0.073,31.828,0.04,0.01,0.006,952.932,0.336,31.977,0.061
Kitchen 14(t),0.048,0.022,inf,-0.227,93.993,0.092,0.015,0.008,,0.186,12.95,0.023
Kitchen 38(t),0.0,0.0,inf,-0.143,15.689,0.0,0.0,0.0,,0.131,1.366,0.0
Barn(t),0.081,0.046,101.94,0.163,33.039,0.107,0.064,0.038,83.915,0.322,20.162,0.042
Well(t),0.066,0.035,2333.333,-0.111,85.051,0.127,0.022,0.014,909.425,0.157,15.958,0.038
Microwave(t),0.059,0.027,564.461,-0.053,69.687,0.074,0.029,0.015,391.567,0.191,16.577,0.02
Living room(t),0.069,0.046,1844.242,0.351,78.607,0.202,0.02,0.015,702.211,0.114,15.145,0.058
Solar(t),0.054,0.041,665.839,0.771,57.366,0.126,0.015,0.013,267.322,0.066,5.195,0.024
temperature(t),2.393,1.88,4.858,0.898,2.43,0.081,0.797,0.613,4.127,0.033,2.112,0.012
humidity(t),0.057,0.045,7.859,0.863,3.839,0.106,0.014,0.012,2.687,0.061,1.29,0.024
visibility(t),0.633,0.466,8.191,0.645,3.385,0.127,0.417,0.32,9.427,0.186,3.125,0.025
apparentTemperature(t),2.736,2.148,7.37,0.875,3.618,0.088,0.801,0.621,8.752,0.074,4.179,0.016
pressure(t),2.277,1.803,0.178,0.731,0.089,0.143,1.026,0.816,0.081,0.125,0.04,0.035
windSpeed(t),1.848,1.462,inf,0.631,14.332,0.14,0.453,0.35,,0.11,3.884,0.021
cloudCover(t),0.134,0.101,inf,0.617,37.297,0.166,0.066,0.051,,0.151,9.535,0.036
windBearing(t),60.554,45.823,inf,0.523,18.174,0.184,22.449,19.314,,0.159,11.7,0.052
precipIntensity(t),0.004,0.002,,0.735,,,0.005,0.003,,0.131,,
dewPoint(t),2.333,1.854,8.571,0.766,4.121,0.126,0.769,0.597,11.147,0.146,4.975,0.043
precipProbability(t),0.059,0.043,,0.76,,,0.045,0.035,,0.124,,
