variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),25.255,17.877,52.853,0.827,19.277,0.09
PM10(t),38.687,26.558,50.608,0.732,17.985,0.103
SO2(t),7.333,5.254,59.322,0.567,23.404,0.117
NO2(t),16.334,12.07,31.922,0.684,12.968,0.115
CO(t),450.888,325.047,37.176,0.698,16.196,0.111
O3(t),1539.139,1039.311,21863.132,0.563,34.132,0.135
TEMP(t),37.528,16.906,inf,0.664,16.436,0.12
PRES(t),2.285,1.712,0.169,0.698,0.085,0.12
DEWP(t),2.505,1.919,inf,0.717,15.155,0.114
RAIN(t),0.671,0.392,,-0.51,,
WSPM(t),0.864,0.657,inf,0.308,24.579,0.155
