variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),25.29,17.884,53.323,0.827,19.318,0.09,11.023,7.576,29.165,0.071,7.747,0.017
PM10(t),38.711,26.631,50.861,0.732,18.09,0.103,14.678,9.947,19.821,0.124,5.471,0.022
SO2(t),7.302,5.251,59.592,0.571,23.532,0.117,5.428,4.059,30.011,0.352,9.198,0.036
NO2(t),16.33,12.082,31.96,0.685,12.969,0.115,4.797,3.397,11.015,0.136,2.75,0.018
CO(t),450.005,323.856,37.14,0.7,16.215,0.111,246.456,180.323,16.064,0.179,6.759,0.024
O3(t),1599.564,1112.07,19789.868,0.545,34.177,0.136,6422.449,4812.417,93580.321,0.89,21.101,0.075
TEMP(t),37.679,16.961,inf,0.657,16.493,0.121,193.533,82.857,,0.254,19.152,0.037
PRES(t),2.267,1.696,0.168,0.702,0.084,0.119,1.022,0.633,0.062,0.223,0.031,0.043
DEWP(t),2.509,1.925,inf,0.717,15.294,0.114,1.227,0.969,,0.214,11.065,0.036
RAIN(t),0.666,0.387,,-0.501,,,0.88,0.534,,2.188,,
WSPM(t),0.861,0.655,inf,0.311,24.56,0.155,0.233,0.18,,0.317,10.25,0.031
