variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),26.693,18.8,53.815,0.827,18.8,0.827
PM10(t),39.749,27.993,51.974,0.744,27.993,0.744
SO2(t),7.044,4.755,51.996,0.589,4.755,0.589
NO2(t),18.479,13.626,33.359,0.617,13.626,0.617
CO(t),396.439,286.291,33.36,0.714,286.291,0.714
O3(t),408.131,172.147,3242.478,0.669,172.147,0.669
TEMP(t),308.505,203.84,inf,0.675,203.84,0.675
PRES(t),1.953,1.404,0.139,0.794,1.404,0.794
DEWP(t),2.233,1.62,inf,0.748,1.62,0.748
RAIN(t),0.529,0.216,inf,-0.219,0.216,-0.219
WSPM(t),0.84,0.627,inf,0.26,0.627,0.26
PM2.5.1(t),25.549,18.263,63.787,0.806,18.263,0.806
PM10.1(t),35.968,25.383,53.921,0.736,25.383,0.736
SO2.1(t),7.015,4.831,74.107,0.407,4.831,0.407
NO2.1(t),16.477,12.097,40.6,0.359,12.097,0.359
CO.1(t),409.913,291.309,38.232,0.669,291.309,0.669
O3.1(t),411.153,178.961,410.323,0.594,178.961,0.594
TEMP.1(t),259.63,169.244,inf,0.668,169.244,0.668
PRES.1(t),1.92,1.384,0.137,0.783,1.384,0.783
DEWP.1(t),2.432,1.757,inf,0.744,1.757,0.744
RAIN.1(t),0.368,0.152,inf,-0.184,0.152,-0.184
WSPM.1(t),0.901,0.668,inf,0.304,0.668,0.304
PM2.5.2(t),27.195,19.619,92.88,0.792,19.619,0.792
PM10.2(t),35.199,24.596,71.785,0.733,24.596,0.733
SO2.2(t),5.933,4.181,78.418,0.452,4.181,0.452
NO2.2(t),11.004,7.921,77.515,0.555,7.921,0.555
CO.2(t),323.73,229.6,46.49,0.687,229.6,0.687
O3.2(t),543.521,233.574,294.774,0.65,233.574,0.65
TEMP.2(t),259.63,169.244,inf,0.668,169.244,0.668
PRES.2(t),1.92,1.384,0.137,0.783,1.384,0.783
DEWP.2(t),2.432,1.757,inf,0.744,1.757,0.744
RAIN.2(t),0.368,0.152,,-0.151,0.152,-0.151
WSPM.2(t),0.901,0.668,inf,0.304,0.668,0.304
PM2.5.3(t),28.316,20.0,65.449,0.825,20.0,0.825
PM10.3(t),41.061,28.571,57.111,0.747,28.571,0.747
SO2.3(t),7.034,4.756,50.489,0.652,4.756,0.652
NO2.3(t),16.144,12.004,32.493,0.657,12.004,0.657
CO.3(t),386.797,275.994,30.422,0.738,275.994,0.738
O3.3(t),116.19,46.523,190.881,0.695,46.523,0.695
TEMP.3(t),308.403,203.759,inf,0.687,203.759,0.687
PRES.3(t),1.924,1.39,0.137,0.793,1.39,0.793
DEWP.3(t),2.275,1.665,inf,0.753,1.665,0.753
RAIN.3(t),0.539,0.222,inf,-0.099,0.222,-0.099
WSPM.3(t),0.856,0.631,inf,0.32,0.631,0.32
PM2.5.4(t),25.935,18.293,51.71,0.83,18.293,0.83
PM10.4(t),37.457,25.895,44.849,0.746,25.895,0.746
SO2.4(t),8.199,5.419,78.09,0.568,5.419,0.568
NO2.4(t),329.24,125.399,235.468,0.65,125.399,0.65
CO.4(t),358.782,259.606,31.411,0.747,259.606,0.747
O3.4(t),298.756,99.947,699.303,0.688,99.947,0.688
TEMP.4(t),308.505,203.84,inf,0.675,203.84,0.675
PRES.4(t),1.953,1.404,0.139,0.794,1.404,0.794
DEWP.4(t),2.233,1.62,inf,0.748,1.62,0.748
RAIN.4(t),0.529,0.216,,0.048,0.216,0.048
WSPM.4(t),0.84,0.627,inf,0.26,0.627,0.26
PM2.5.5(t),28.814,20.08,56.872,0.795,20.08,0.795
PM10.5(t),45.284,32.149,56.365,0.671,32.149,0.671
SO2.5(t),7.065,4.618,57.273,0.481,4.618,0.481
NO2.5(t),18.158,13.471,40.302,0.609,13.471,0.609
CO.5(t),397.366,288.396,33.22,0.682,288.396,0.682
O3.5(t),576.044,254.376,821.444,0.625,254.376,0.625
TEMP.5(t),272.587,173.711,inf,0.681,173.711,0.681
PRES.5(t),1.914,1.379,0.137,0.794,1.379,0.794
DEWP.5(t),2.286,1.654,inf,0.76,1.654,0.76
RAIN.5(t),0.397,0.188,,0.159,0.188,0.159
WSPM.5(t),0.714,0.534,inf,0.407,0.534,0.407
