variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),26.398,18.425,54.86,0.832,18.425,0.832
PM10(t),40.084,27.83,54.001,0.74,27.83,0.74
SO2(t),7.009,4.736,53.032,0.576,4.736,0.576
NO2(t),18.22,13.292,33.257,0.626,13.292,0.626
CO(t),402.351,292.163,35.123,0.699,292.163,0.699
O3(t),458.467,188.72,4465.33,0.641,188.72,0.641
TEMP(t),326.001,211.076,inf,0.675,211.076,0.675
PRES(t),1.897,1.358,0.134,0.8,1.358,0.8
DEWP(t),2.233,1.593,inf,0.745,1.593,0.745
RAIN(t),0.535,0.219,inf,-0.284,0.219,-0.284
WSPM(t),0.868,0.651,inf,0.208,0.651,0.208
PM2.5.1(t),25.512,18.065,65.273,0.805,18.065,0.805
PM10.1(t),36.509,25.537,54.916,0.729,25.537,0.729
SO2.1(t),7.214,4.933,77.93,0.302,4.933,0.302
NO2.1(t),16.745,12.035,40.169,0.321,12.035,0.321
CO.1(t),420.862,298.101,39.616,0.666,298.101,0.666
O3.1(t),363.33,177.627,441.509,0.583,177.627,0.583
TEMP.1(t),301.545,176.765,inf,0.66,176.765,0.66
PRES.1(t),1.877,1.349,0.134,0.786,1.349,0.786
DEWP.1(t),2.406,1.721,inf,0.753,1.721,0.753
RAIN.1(t),0.381,0.162,inf,-0.264,0.162,-0.264
WSPM.1(t),0.937,0.696,inf,0.227,0.696,0.227
PM2.5.2(t),27.11,19.567,96.854,0.794,19.567,0.794
PM10.2(t),35.583,24.966,76.704,0.731,24.966,0.731
SO2.2(t),5.919,4.186,79.647,0.439,4.186,0.439
NO2.2(t),11.16,7.974,77.901,0.55,7.974,0.55
CO.2(t),318.976,221.417,46.279,0.705,221.417,0.705
O3.2(t),546.576,258.745,338.352,0.653,258.745,0.653
TEMP.2(t),301.545,176.765,inf,0.66,176.765,0.66
PRES.2(t),1.877,1.349,0.134,0.786,1.349,0.786
DEWP.2(t),2.406,1.721,inf,0.753,1.721,0.753
RAIN.2(t),0.381,0.162,inf,-0.264,0.162,-0.264
WSPM.2(t),0.937,0.696,inf,0.227,0.696,0.227
PM2.5.3(t),28.257,19.867,66.944,0.828,19.867,0.828
PM10.3(t),41.474,28.717,58.425,0.743,28.717,0.743
SO2.3(t),6.923,4.672,52.011,0.651,4.672,0.651
NO2.3(t),15.948,11.825,32.284,0.661,11.825,0.661
CO.3(t),393.841,282.899,32.234,0.727,282.899,0.727
O3.3(t),141.409,58.189,238.447,0.663,58.189,0.663
TEMP.3(t),325.9,210.997,inf,0.687,210.997,0.687
PRES.3(t),1.88,1.352,0.133,0.796,1.352,0.796
DEWP.3(t),2.273,1.634,inf,0.751,1.634,0.751
RAIN.3(t),0.548,0.227,inf,-0.126,0.227,-0.126
WSPM.3(t),0.891,0.661,inf,0.26,0.661,0.26
PM2.5.4(t),25.515,17.779,51.164,0.837,17.779,0.837
PM10.4(t),37.959,26.188,45.981,0.736,26.188,0.736
SO2.4(t),8.293,5.439,80.647,0.548,5.439,0.548
NO2.4(t),444.447,153.636,304.218,0.617,153.636,0.617
CO.4(t),353.599,255.171,31.939,0.75,255.171,0.75
O3.4(t),359.196,163.823,1628.003,0.654,163.823,0.654
TEMP.4(t),326.001,211.076,inf,0.675,211.076,0.675
PRES.4(t),1.897,1.358,0.134,0.8,1.358,0.8
DEWP.4(t),2.233,1.593,inf,0.745,1.593,0.745
RAIN.4(t),0.535,0.219,,-0.017,0.219,-0.017
WSPM.4(t),0.868,0.651,inf,0.208,0.651,0.208
PM2.5.5(t),28.382,19.717,57.993,0.8,19.717,0.8
PM10.5(t),45.765,32.285,58.024,0.663,32.285,0.663
SO2.5(t),7.194,4.633,58.01,0.444,4.633,0.444
NO2.5(t),18.141,13.476,41.256,0.613,13.476,0.613
CO.5(t),399.097,288.014,33.281,0.685,288.014,0.685
O3.5(t),629.759,290.116,873.383,0.602,290.116,0.602
TEMP.5(t),332.605,214.627,inf,0.667,214.627,0.667
PRES.5(t),1.863,1.342,0.133,0.799,1.342,0.799
DEWP.5(t),2.271,1.629,inf,0.766,1.629,0.766
RAIN.5(t),0.432,0.214,,0.079,0.214,0.079
WSPM.5(t),0.788,0.594,inf,0.286,0.594,0.286
