variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5,26.402,18.386,54.568,0.831,19.531,0.096,11.139,7.113,24.902,0.074,6.809,0.019
PM10,39.891,27.756,53.452,0.742,19.279,0.108,17.449,11.68,23.414,0.131,5.854,0.025
SO2,7.0,4.742,52.813,0.576,22.027,0.124,5.425,3.299,18.352,0.24,6.264,0.031
NO2,18.115,13.242,32.87,0.631,14.223,0.131,5.869,4.155,12.431,0.191,4.817,0.032
CO,398.57,289.403,34.894,0.705,15.345,0.11,199.718,150.988,15.092,0.151,5.614,0.022
O3,456.901,185.441,5101.396,0.646,31.746,0.141,2380.25,925.189,27037.144,0.291,16.922,0.033
TEMP,325.576,213.082,inf,0.676,19.073,0.122,1319.111,839.417,,0.358,21.619,0.04
PRES,1.895,1.354,0.134,0.802,0.067,0.098,1.247,0.807,0.08,0.176,0.04,0.037
DEWP,2.233,1.592,inf,0.748,14.707,0.113,0.951,0.628,,0.212,12.19,0.035
RAIN,0.532,0.218,inf,-0.271,97.817,,1.089,0.436,,0.671,3.498,
WSPM,0.864,0.647,inf,0.216,25.84,0.163,0.205,0.166,,0.295,10.733,0.036
PM2.5.1,25.469,18.023,65.54,0.804,21.648,0.102,11.138,7.769,36.145,0.095,7.048,0.017
PM10.1,36.342,25.417,55.112,0.731,18.743,0.109,15.961,11.117,26.145,0.125,4.765,0.023
SO2.1,7.186,4.928,78.215,0.312,27.946,0.149,4.609,3.331,41.18,0.466,9.388,0.038
NO2.1,16.745,12.08,40.478,0.328,16.884,0.155,4.902,3.349,16.897,0.541,5.744,0.044
CO.1,415.766,295.36,39.639,0.672,16.045,0.117,275.742,193.6,23.736,0.149,6.925,0.022
O3.1,359.051,175.145,447.388,0.584,27.992,0.146,1841.821,866.814,1862.998,0.284,15.607,0.046
TEMP.1,292.375,170.865,inf,0.666,19.364,0.12,1176.95,667.66,,0.378,23.079,0.038
PRES.1,1.873,1.346,0.133,0.788,0.067,0.099,1.218,0.786,0.078,0.186,0.039,0.038
DEWP.1,2.398,1.712,inf,0.754,15.83,0.118,1.142,0.786,,0.159,12.344,0.032
RAIN.1,0.381,0.16,inf,-0.26,97.965,,0.667,0.261,,0.545,3.644,
WSPM.1,0.928,0.686,inf,0.248,21.993,0.158,0.269,0.2,,0.29,5.543,0.032
PM2.5.2,27.116,19.529,96.086,0.792,26.053,0.11,11.948,8.885,53.63,0.083,8.28,0.021
PM10.2,35.575,24.97,76.243,0.73,22.12,0.113,17.194,11.383,39.671,0.116,6.524,0.022
SO2.2,5.844,4.139,79.242,0.457,27.89,0.132,3.752,2.774,53.442,0.329,9.92,0.03
NO2.2,11.053,7.886,77.079,0.559,22.826,0.132,4.167,2.88,49.765,0.287,7.618,0.03
CO.2,318.242,220.96,45.582,0.708,17.6,0.113,186.092,123.318,30.018,0.185,7.844,0.024
O3.2,533.264,259.074,349.446,0.655,21.534,0.131,2803.875,1331.941,1555.568,0.275,15.807,0.047
TEMP.2,292.375,170.865,inf,0.666,19.364,0.12,1176.95,667.66,,0.378,23.079,0.038
PRES.2,1.873,1.346,0.133,0.788,0.067,0.099,1.218,0.786,0.078,0.186,0.039,0.038
DEWP.2,2.398,1.712,inf,0.754,15.83,0.118,1.142,0.786,,0.159,12.344,0.032
RAIN.2,0.381,0.16,inf,-0.26,97.965,,0.667,0.261,,0.545,3.644,
WSPM.2,0.928,0.686,inf,0.248,21.993,0.158,0.269,0.2,,0.29,5.543,0.032
PM2.5.3,28.206,19.744,66.828,0.828,20.809,0.102,12.848,8.324,35.461,0.074,7.64,0.023
PM10.3,41.338,28.558,57.693,0.744,19.702,0.107,18.733,11.801,25.772,0.135,6.925,0.024
SO2.3,6.961,4.707,52.374,0.646,21.418,0.117,4.543,2.842,20.415,0.188,6.852,0.032
NO2.3,15.883,11.798,32.411,0.663,14.132,0.126,4.922,3.743,12.421,0.18,4.609,0.034
CO.3,391.635,281.084,31.989,0.729,13.969,0.111,182.668,133.666,14.187,0.122,5.263,0.025
O3.3,139.402,57.291,222.33,0.668,28.113,0.13,630.846,217.609,571.37,0.334,15.208,0.028
TEMP.3,325.478,213.004,inf,0.687,19.421,0.12,1319.135,839.437,,0.357,21.953,0.04
PRES.3,1.876,1.347,0.133,0.798,0.066,0.098,1.238,0.799,0.079,0.175,0.039,0.037
DEWP.3,2.27,1.636,inf,0.754,15.75,0.113,0.993,0.675,,0.212,13.134,0.034
RAIN.3,0.545,0.225,inf,-0.124,97.722,,1.091,0.439,,0.48,3.479,
WSPM.3,0.887,0.657,inf,0.268,22.179,0.145,0.206,0.163,,0.257,5.52,0.021
PM2.5.4,25.51,17.728,50.844,0.836,18.681,0.097,10.41,6.907,23.481,0.065,7.238,0.021
PM10.4,37.883,26.061,45.803,0.736,17.543,0.107,13.9,9.619,17.689,0.15,5.772,0.025
SO2.4,8.199,5.401,80.182,0.56,24.896,0.12,8.092,4.891,116.965,0.448,13.458,0.029
NO2.4,454.761,158.464,308.108,0.615,15.618,0.124,2401.829,802.452,1527.521,0.343,15.34,0.032
CO.4,354.159,254.93,32.139,0.749,13.902,0.11,175.897,127.053,15.584,0.112,6.216,0.025
O3.4,360.779,165.82,1578.948,0.655,31.859,0.137,1856.055,819.414,7837.326,0.268,16.248,0.033
TEMP.4,325.576,213.082,inf,0.676,19.073,0.122,1319.111,839.417,,0.358,21.619,0.04
PRES.4,1.895,1.354,0.134,0.802,0.067,0.098,1.247,0.807,0.08,0.176,0.04,0.037
DEWP.4,2.233,1.592,inf,0.748,14.707,0.113,0.951,0.628,,0.212,12.19,0.035
RAIN.4,0.532,0.218,,-0.004,,,1.089,0.436,,0.896,,
WSPM.4,0.864,0.647,inf,0.216,25.84,0.163,0.205,0.166,,0.295,10.733,0.036
PM2.5.5,28.274,19.651,57.183,0.801,19.835,0.1,12.499,7.67,28.311,0.109,6.173,0.021
PM10.5,45.601,32.168,56.846,0.666,19.431,0.12,15.19,9.825,25.322,0.166,5.606,0.026
SO2.5,7.169,4.637,58.36,0.449,23.147,0.122,6.675,3.716,31.156,0.435,11.158,0.025
NO2.5,18.152,13.489,40.96,0.613,16.476,0.13,5.057,3.973,14.802,0.17,5.336,0.029
CO.5,395.384,285.86,33.314,0.687,14.222,0.123,225.706,162.729,15.849,0.17,5.706,0.037
O3.5,646.012,301.901,942.642,0.6,29.924,0.14,3407.824,1557.147,4544.794,0.326,16.25,0.031
TEMP.5,339.087,219.122,inf,0.666,19.14,0.123,1448.581,905.478,,0.343,22.318,0.045
PRES.5,1.86,1.338,0.132,0.801,0.066,0.098,1.212,0.778,0.077,0.17,0.039,0.037
DEWP.5,2.269,1.637,inf,0.764,15.409,0.112,1.071,0.71,,0.191,12.218,0.035
RAIN.5,0.432,0.214,,0.083,,,0.852,0.441,,0.806,,
WSPM.5,0.786,0.591,inf,0.292,29.94,0.167,0.368,0.271,,0.226,10.209,0.035
