variable,rmse,mae,mape,r2,smape,nrmse
PM2.5,23.928,16.327,52.958,0.806,18.848,0.101
PM10,33.907,23.695,46.765,0.696,17.234,0.119
SO2,6.85,4.743,53.886,0.653,19.943,0.12
NO2,16.128,11.876,34.698,0.646,13.238,0.134
CO,428.567,299.791,36.809,0.69,14.625,0.122
O3,279.823,96.62,567.795,0.671,28.166,0.139
TEMP,247.689,162.084,inf,0.615,21.057,0.132
PRES,4344.116,1672.988,141.158,0.73,3.201,0.103
DEWP,1.955,1.391,inf,0.819,11.496,0.103
RAIN,0.275,0.135,inf,-0.078,98.566,
WSPM,0.825,0.622,inf,0.366,23.096,0.159
PM2.5.1,23.271,16.568,60.757,0.756,20.304,0.118
PM10.1,31.442,22.351,50.143,0.641,17.897,0.126
SO2.1,7.293,5.083,72.631,0.423,25.155,0.147
NO2.1,15.517,11.479,42.837,0.476,16.429,0.155
CO.1,422.525,297.301,43.934,0.637,15.527,0.126
O3.1,268.895,112.737,318.198,0.57,26.182,0.154
TEMP.1,167.816,105.879,inf,0.611,21.936,0.133
PRES.1,1.907,1.391,0.138,0.789,0.069,0.106
DEWP.1,2.008,1.439,inf,0.802,10.952,0.107
RAIN.1,0.411,0.212,inf,-0.095,98.326,
WSPM.1,0.944,0.704,inf,0.288,21.146,0.168
PM2.5.2,22.259,15.858,83.532,0.768,24.198,0.124
PM10.2,28.013,20.154,65.595,0.681,21.043,0.128
SO2.2,6.213,4.459,75.226,0.494,24.626,0.145
NO2.2,11.297,8.202,83.136,0.549,24.259,0.15
CO.2,325.061,229.989,43.091,0.692,16.809,0.126
O3.2,301.394,143.034,276.545,0.599,21.926,0.14
TEMP.2,167.816,105.879,inf,0.611,21.936,0.133
PRES.2,4090.568,1480.115,101.642,0.77,3.136,0.104
DEWP.2,2.008,1.439,inf,0.802,10.952,0.107
RAIN.2,0.411,0.212,,0.105,,
WSPM.2,0.944,0.704,inf,0.288,21.146,0.168
PM2.5.3,25.998,17.889,66.778,0.799,19.755,0.105
PM10.3,36.325,25.351,55.05,0.691,18.019,0.119
SO2.3,6.439,4.385,53.302,0.691,20.561,0.112
NO2.3,13.505,9.948,28.847,0.682,12.258,0.123
CO.3,435.374,302.902,38.601,0.685,14.843,0.118
O3.3,26.884,15.917,93.269,0.703,23.898,0.131
TEMP.3,247.642,162.049,inf,0.618,20.922,0.131
PRES.3,4344.074,1672.974,141.157,0.729,3.2,0.101
DEWP.3,1.956,1.414,inf,0.828,11.14,0.102
RAIN.3,0.277,0.133,inf,-0.84,98.529,
WSPM.3,0.881,0.662,inf,0.342,20.537,0.156
PM2.5.4,23.142,16.059,52.237,0.818,18.357,0.103
PM10.4,30.605,21.953,43.646,0.733,16.458,0.116
SO2.4,7.188,4.768,58.382,0.64,21.669,0.125
NO2.4,203.904,62.732,112.646,0.653,14.011,0.126
CO.4,409.978,286.507,39.319,0.689,14.777,0.12
O3.4,344.829,128.243,868.374,0.655,30.313,0.139
TEMP.4,247.689,162.084,inf,0.615,21.057,0.132
PRES.4,4344.116,1672.988,141.158,0.73,3.201,0.103
DEWP.4,1.955,1.391,inf,0.819,11.496,0.103
RAIN.4,0.275,0.135,,0.355,,
WSPM.4,0.825,0.622,inf,0.366,23.096,0.159
PM2.5.5,24.937,17.931,61.351,0.8,19.456,0.109
PM10.5,40.422,29.96,61.919,0.628,19.702,0.134
SO2.5,6.745,4.539,53.771,0.583,19.954,0.123
NO2.5,16.05,11.975,40.632,0.63,15.242,0.139
CO.5,390.2,276.265,34.19,0.689,13.398,0.119
O3.5,591.655,232.75,1073.728,0.623,27.652,0.148
TEMP.5,148.57,92.704,inf,0.633,21.761,0.134
PRES.5,1.91,1.407,0.139,0.792,0.07,0.104
DEWP.5,1.92,1.374,inf,0.809,10.812,0.102
RAIN.5,0.202,0.095,,0.499,,
WSPM.5,0.744,0.564,inf,0.408,26.067,0.156
PM2.5.6,22.847,16.296,74.556,0.76,23.095,0.117
PM10.6,34.418,24.51,70.903,0.621,22.39,0.125
SO2.6,6.413,4.486,77.641,0.558,27.144,0.133
NO2.6,13.202,9.971,64.68,0.474,21.835,0.157
CO.6,327.16,235.63,41.565,0.678,15.381,0.125
O3.6,407.198,138.279,616.28,0.6,26.808,0.15
TEMP.6,170.312,102.697,inf,0.592,22.449,0.138
PRES.6,1.897,1.396,0.138,0.784,0.069,0.105
DEWP.6,2.031,1.497,inf,0.793,11.277,0.103
RAIN.6,0.383,0.193,,0.127,,
WSPM.6,0.88,0.647,inf,0.336,20.198,0.148
PM2.5.7,25.895,17.903,63.34,0.796,20.218,0.105
PM10.7,34.048,24.062,50.368,0.695,17.798,0.12
SO2.7,6.925,4.753,56.17,0.673,20.721,0.112
NO2.7,15.801,11.764,32.551,0.659,13.038,0.128
CO.7,486.638,342.29,42.874,0.645,16.373,0.13
O3.7,207.245,74.174,343.219,0.684,26.552,0.134
TEMP.7,247.642,162.049,inf,0.618,20.922,0.131
PRES.7,4344.074,1672.974,141.157,0.729,3.2,0.101
DEWP.7,1.956,1.414,inf,0.828,11.14,0.102
RAIN.7,0.277,0.133,,-0.54,,
WSPM.7,0.881,0.662,inf,0.342,20.537,0.156
PM2.5.8,26.633,18.775,72.811,0.763,22.834,0.113
PM10.8,35.175,25.364,70.887,0.665,21.574,0.129
SO2.8,7.491,5.248,89.535,0.503,26.757,0.141
NO2.8,16.82,12.779,46.887,0.518,18.585,0.156
CO.8,449.102,319.44,44.793,0.64,17.995,0.131
O3.8,244.476,130.253,612.556,0.613,29.763,0.157
TEMP.8,165.045,107.419,inf,0.645,21.378,0.131
PRES.8,1.979,1.457,0.143,0.788,0.072,0.105
DEWP.8,2.006,1.463,inf,0.801,11.354,0.106
RAIN.8,0.364,0.17,,0.305,,
WSPM.8,0.91,0.684,inf,0.366,22.107,0.152
PM2.5.9,24.551,17.044,62.664,0.794,19.859,0.107
PM10.9,33.512,23.201,47.087,0.678,16.949,0.118
SO2.9,7.297,5.039,71.396,0.571,26.477,0.126
NO2.9,13.961,10.434,28.561,0.635,11.958,0.129
CO.9,444.299,301.491,37.232,0.645,14.438,0.12
O3.9,295.215,138.811,741.885,0.659,30.273,0.144
TEMP.9,247.642,162.049,inf,0.618,20.922,0.131
PRES.9,4344.074,1672.974,141.157,0.729,3.2,0.101
DEWP.9,1.956,1.414,inf,0.828,11.14,0.102
RAIN.9,0.277,0.133,,-0.54,,
WSPM.9,0.881,0.662,inf,0.342,20.537,0.156
PM2.5.10,24.375,16.93,58.115,0.805,19.226,0.107
PM10.10,33.664,23.982,49.545,0.693,17.17,0.124
SO2.10,524.692,337.917,1734.309,0.407,23.457,0.135
NO2.10,2192.933,1363.307,2731.422,0.542,17.599,0.129
CO.10,416.417,292.763,37.832,0.707,14.193,0.117
O3.10,399.848,152.932,5311.318,0.647,34.943,0.142
TEMP.10,247.915,162.27,inf,0.587,22.023,0.139
PRES.10,4344.122,1672.992,141.325,0.73,3.201,0.104
DEWP.10,1.986,1.425,inf,0.791,11.701,0.106
RAIN.10,0.284,0.134,,0.292,,
WSPM.10,0.727,0.555,inf,0.382,24.269,0.157
PM2.5.11,26.472,18.633,72.888,0.79,20.764,0.107
PM10.11,36.553,26.353,58.176,0.682,18.347,0.123
SO2.11,6.927,4.764,56.509,0.647,21.722,0.115
NO2.11,14.509,10.72,32.953,0.683,12.935,0.126
CO.11,458.029,321.352,42.014,0.659,15.633,0.122
O3.11,330.077,112.853,1039.866,0.65,28.451,0.141
TEMP.11,247.694,162.089,inf,0.603,21.327,0.133
PRES.11,4344.061,1672.959,141.156,0.741,3.199,0.101
DEWP.11,1.993,1.433,inf,0.817,11.315,0.102
RAIN.11,0.294,0.147,,0.298,,
WSPM.11,0.831,0.62,inf,0.364,20.508,0.157
