variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5,23.923,16.327,52.963,0.806,18.848,0.101,11.102,7.307,24.029,0.108,6.975,0.019
PM10,33.904,23.701,46.808,0.696,17.253,0.119,13.375,8.987,17.295,0.158,5.469,0.025
SO2,6.849,4.743,53.863,0.653,19.932,0.12,7.044,4.68,23.787,0.146,5.675,0.024
NO2,16.141,11.882,34.716,0.645,13.248,0.134,5.512,4.008,14.386,0.2,3.626,0.031
CO,428.157,299.602,36.806,0.691,14.617,0.122,293.021,207.614,24.32,0.154,6.635,0.03
O3,279.834,96.633,567.986,0.671,28.223,0.139,1421.484,448.057,2358.072,0.176,16.899,0.031
TEMP,247.688,162.085,inf,0.615,21.059,0.132,949.614,621.145,,0.408,23.375,0.045
PRES,4344.115,1672.987,141.158,0.73,3.201,0.103,23783.139,9155.605,772.395,0.421,17.15,0.037
DEWP,1.954,1.391,inf,0.819,11.49,0.103,0.784,0.536,,0.088,10.207,0.019
RAIN,0.275,0.136,inf,-0.08,98.567,,0.652,0.357,,0.407,1.729,
WSPM,0.825,0.622,inf,0.366,23.093,0.159,0.179,0.136,,0.229,7.971,0.026
PM2.5.1,23.175,16.542,60.785,0.758,20.319,0.118,11.349,8.413,31.031,0.134,6.718,0.033
PM10.1,31.325,22.319,50.157,0.644,17.907,0.125,10.926,7.987,22.263,0.188,5.333,0.036
SO2.1,7.242,5.064,72.613,0.429,25.16,0.146,6.57,5.03,47.996,0.333,8.285,0.046
NO2.1,15.465,11.462,42.833,0.48,16.433,0.154,4.62,3.598,22.957,0.264,5.87,0.043
CO.1,420.643,296.681,43.944,0.64,15.535,0.126,298.118,212.58,36.593,0.176,7.252,0.023
O3.1,268.882,112.746,317.953,0.573,26.202,0.153,1358.391,531.592,1214.859,0.243,15.084,0.055
TEMP.1,167.814,105.88,inf,0.611,21.932,0.133,632.195,396.816,,0.319,24.576,0.03
PRES.1,1.907,1.391,0.138,0.789,0.069,0.106,0.911,0.624,0.061,0.152,0.031,0.039
DEWP.1,2.007,1.438,inf,0.802,10.947,0.107,0.877,0.601,,0.097,9.585,0.02
RAIN.1,0.411,0.212,inf,-0.095,98.328,,1.284,0.703,,0.372,2.085,
WSPM.1,0.944,0.704,inf,0.288,21.135,0.168,0.28,0.203,,0.234,5.448,0.03
PM2.5.2,22.217,15.86,83.572,0.769,24.202,0.124,9.844,7.175,45.934,0.117,7.804,0.034
PM10.2,27.955,20.14,65.635,0.682,21.043,0.128,9.716,6.631,30.047,0.178,6.743,0.03
SO2.2,6.171,4.444,75.213,0.497,24.634,0.144,5.467,4.094,52.781,0.241,9.326,0.038
NO2.2,11.251,8.182,83.124,0.553,24.252,0.149,5.601,4.192,51.964,0.244,8.783,0.04
CO.2,324.526,229.818,43.126,0.692,16.825,0.126,206.692,149.808,26.312,0.132,7.433,0.036
O3.2,301.378,143.037,275.87,0.6,21.939,0.14,1527.456,695.649,1124.151,0.204,16.493,0.047
TEMP.2,167.814,105.88,inf,0.611,21.932,0.133,632.195,396.816,,0.319,24.576,0.03
PRES.2,4090.566,1480.114,101.642,0.77,3.136,0.104,22394.597,8099.359,555.968,0.212,16.801,0.036
DEWP.2,2.007,1.438,inf,0.802,10.947,0.107,0.877,0.601,,0.097,9.585,0.02
RAIN.2,0.411,0.212,,0.105,,,1.284,0.703,,0.586,,
WSPM.2,0.944,0.704,inf,0.288,21.135,0.168,0.28,0.203,,0.234,5.448,0.03
PM2.5.3,25.94,17.865,66.781,0.8,19.743,0.104,12.812,9.085,43.654,0.097,8.142,0.027
PM10.3,36.274,25.345,55.144,0.692,18.056,0.118,15.504,10.661,26.144,0.149,6.5,0.029
SO2.3,6.439,4.386,53.321,0.691,20.568,0.112,4.463,3.083,15.541,0.142,4.41,0.021
NO2.3,13.495,9.941,28.839,0.683,12.245,0.123,3.303,2.584,7.927,0.167,2.904,0.023
CO.3,435.057,302.625,38.586,0.686,14.824,0.117,274.89,183.364,25.466,0.152,6.911,0.028
O3.3,26.9,15.931,93.349,0.702,23.941,0.131,48.274,15.459,68.801,0.177,9.45,0.033
TEMP.3,247.641,162.05,inf,0.618,20.919,0.131,949.627,621.155,,0.409,23.434,0.044
PRES.3,4344.074,1672.973,141.157,0.729,3.2,0.101,23783.147,9155.608,772.396,0.421,17.151,0.035
DEWP.3,1.956,1.413,inf,0.828,11.139,0.102,0.796,0.543,,0.085,9.079,0.02
RAIN.3,0.277,0.133,inf,-0.742,98.529,,0.648,0.352,,3.171,1.753,
WSPM.3,0.881,0.661,inf,0.344,20.534,0.156,0.263,0.194,,0.302,5.01,0.029
PM2.5.4,23.114,16.049,52.224,0.818,18.348,0.103,10.106,7.027,28.821,0.073,7.23,0.024
PM10.4,30.577,21.951,43.646,0.734,16.448,0.116,11.085,7.78,17.018,0.123,5.704,0.026
SO2.4,7.187,4.768,58.358,0.64,21.661,0.125,6.887,4.246,25.096,0.163,5.208,0.032
NO2.4,203.886,62.729,112.65,0.654,14.005,0.126,1039.472,287.01,466.892,0.207,13.841,0.03
CO.4,408.896,286.151,39.299,0.691,14.778,0.12,293.969,198.985,32.844,0.144,8.283,0.031
O3.4,344.831,128.229,868.228,0.655,30.292,0.139,1776.931,621.18,3981.026,0.21,16.001,0.031
TEMP.4,247.688,162.085,inf,0.615,21.059,0.132,949.614,621.145,,0.408,23.375,0.045
PRES.4,4344.115,1672.987,141.158,0.73,3.201,0.103,23783.139,9155.605,772.395,0.421,17.15,0.037
DEWP.4,1.954,1.391,inf,0.819,11.49,0.103,0.784,0.536,,0.088,10.207,0.019
RAIN.4,0.275,0.136,,0.353,,,0.652,0.357,,0.701,,
WSPM.4,0.825,0.622,inf,0.366,23.093,0.159,0.179,0.136,,0.229,7.971,0.026
PM2.5.5,24.931,17.925,61.349,0.8,19.456,0.109,12.104,8.807,42.196,0.088,7.526,0.029
PM10.5,40.398,29.929,61.85,0.629,19.686,0.134,19.216,13.642,54.101,0.25,6.969,0.052
SO2.5,6.731,4.535,53.791,0.585,19.978,0.123,6.354,4.099,33.504,0.24,8.943,0.034
NO2.5,16.047,11.97,40.593,0.63,15.231,0.139,4.81,3.629,16.023,0.183,4.21,0.025
CO.5,390.135,276.18,34.182,0.689,13.394,0.119,240.317,165.717,21.496,0.133,5.578,0.026
O3.5,591.663,232.75,1073.701,0.623,27.637,0.148,3126.94,1190.369,5357.991,0.246,15.494,0.032
TEMP.5,148.57,92.705,inf,0.633,21.764,0.134,558.935,346.415,,0.268,24.721,0.033
PRES.5,1.909,1.406,0.139,0.793,0.07,0.104,0.941,0.668,0.065,0.146,0.033,0.039
DEWP.5,1.92,1.374,inf,0.809,10.812,0.102,0.764,0.512,,0.112,8.75,0.02
RAIN.5,0.203,0.095,,0.498,,,0.379,0.19,,0.525,,
WSPM.5,0.744,0.564,inf,0.41,26.07,0.155,0.318,0.238,,0.153,7.788,0.021
PM2.5.6,22.843,16.287,74.57,0.76,23.097,0.117,11.763,7.957,45.719,0.129,7.772,0.032
PM10.6,34.425,24.501,70.91,0.621,22.381,0.125,21.577,14.205,50.429,0.313,6.683,0.048
SO2.6,6.414,4.486,77.578,0.558,27.098,0.133,7.053,5.071,47.19,0.204,9.733,0.03
NO2.6,13.193,9.965,64.672,0.474,21.828,0.157,5.461,4.054,27.009,0.212,5.262,0.033
CO.6,327.17,235.467,41.555,0.678,15.375,0.125,196.387,138.542,26.659,0.156,5.932,0.031
O3.6,407.211,138.287,616.121,0.6,26.789,0.15,2111.523,668.544,2774.271,0.291,16.319,0.047
TEMP.6,170.311,102.699,inf,0.592,22.454,0.138,645.71,398.027,,0.304,23.707,0.028
PRES.6,1.896,1.395,0.138,0.785,0.069,0.105,0.903,0.63,0.062,0.152,0.031,0.038
DEWP.6,2.031,1.497,inf,0.793,11.278,0.103,0.885,0.629,,0.12,9.27,0.017
RAIN.6,0.383,0.193,,0.125,,,0.935,0.509,,1.482,,
WSPM.6,0.88,0.647,inf,0.336,20.21,0.148,0.246,0.187,,0.158,2.333,0.026
PM2.5.7,25.847,17.892,63.346,0.797,20.21,0.105,13.485,9.529,36.739,0.092,8.047,0.026
PM10.7,33.997,24.063,50.437,0.696,17.833,0.12,14.432,10.271,24.458,0.143,6.833,0.027
SO2.7,6.922,4.752,56.166,0.673,20.72,0.112,5.23,3.646,22.356,0.154,5.339,0.02
