variable,rmse,mae,mape,r2,smape,nrmse
CO(GT)(t),40.307,18.438,1193.94,-0.313,58.975,
PT08.S1(CO)(t),135.282,87.742,11.428,0.533,4.863,0.141
NMHC(GT)(t),20.049,14.01,6.473,0.964,3.258,
C6H6(GT)(t),11.642,5.53,63.056,0.455,21.524,0.144
PT08.S2(NMHC)(t),163.239,112.33,15.617,0.569,7.057,0.139
NOx(GT)(t),112.374,76.307,53.693,0.427,22.353,
PT08.S3(NOx)(t),135.492,97.68,16.434,0.628,7.475,0.129
NO2(GT)(t),69.897,40.202,39.474,0.191,18.718,
PT08.S4(NO2)(t),182.044,116.135,12.704,0.486,4.962,0.136
PT08.S5(O3)(t),196.959,142.928,19.624,0.624,9.21,0.134
T(t),10.484,4.683,20.107,0.551,9.465,0.142
RH(t),14.842,7.724,16.069,0.563,8.131,0.142
AH(t),8.207,3.189,209.154,0.577,16.721,0.134
