variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),40.307,18.438,1193.94,-0.313,58.975,,14.781,10.831,873.09,0.838,20.404,
PT08.S1(CO)(t),135.282,87.742,11.428,0.533,4.863,0.141,63.286,35.018,11.981,0.284,3.895,0.025
NMHC(GT)(t),20.049,14.01,6.473,0.964,3.258,,52.8,37.459,17.057,0.099,8.826,
C6H6(GT)(t),11.642,5.53,63.056,0.455,21.524,0.144,13.824,6.174,51.518,0.439,10.056,0.026
PT08.S2(NMHC)(t),163.239,112.33,15.617,0.569,7.057,0.139,61.853,38.437,12.456,0.207,4.225,0.021
NOx(GT)(t),112.374,76.307,53.693,0.427,22.353,,46.445,37.421,24.89,0.272,7.528,
PT08.S3(NOx)(t),135.492,97.68,16.434,0.628,7.475,0.129,57.971,37.377,14.269,0.158,5.761,0.023
NO2(GT)(t),69.897,40.202,39.474,0.191,18.718,,22.358,13.784,16.03,0.453,6.654,
PT08.S4(NO2)(t),182.044,116.135,12.704,0.486,4.962,0.136,87.596,48.931,15.89,0.312,4.04,0.024
PT08.S5(O3)(t),196.959,142.928,19.624,0.624,9.21,0.134,58.38,37.566,12.45,0.194,5.662,0.025
T(t),10.484,4.683,20.107,0.551,9.465,0.142,15.434,7.194,20.501,0.541,9.338,0.048
RH(t),14.842,7.724,16.069,0.563,8.131,0.142,14.832,6.449,13.321,0.527,7.37,0.056
AH(t),8.207,3.189,209.154,0.577,16.721,0.134,14.588,6.789,435.938,0.492,27.224,0.044
