variable,rmse,mae,mape,r2,smape,nrmse
Appliances,62.155,35.231,37.65,0.453,16.223,0.121
lights,4.793,3.082,inf,0.222,83.073,
T1,0.101,0.076,0.353,0.968,0.176,0.051
RH_1,0.546,0.345,0.85,0.867,0.426,0.066
T2,0.191,0.142,0.681,0.971,0.34,0.05
RH_2,0.393,0.295,0.752,0.95,0.376,0.054
T3,0.117,0.089,0.396,0.932,0.198,0.062
RH_3,0.294,0.209,0.535,0.912,0.268,0.066
T4,0.132,0.099,0.485,0.946,0.243,0.061
RH_4,0.25,0.188,0.489,0.939,0.245,0.055
T5,0.137,0.089,0.459,0.916,0.23,0.063
RH_5,2.398,1.515,2.899,0.836,1.456,0.073
T6,0.507,0.39,inf,0.968,4.648,0.053
RH_6,2.265,1.719,22.126,0.954,7.702,
T7,0.077,0.057,0.285,0.946,0.143,0.059
RH_7,0.336,0.255,0.734,0.967,0.367,0.051
T8,0.116,0.09,0.412,0.953,0.206,0.059
RH_8,0.53,0.416,0.991,0.953,0.496,0.062
T9,0.046,0.033,0.169,0.929,0.084,0.066
RH_9,0.347,0.27,0.66,0.952,0.33,0.058
T_out,0.32,0.25,inf,0.974,3.601,0.045
Press_mm_hg,0.271,0.21,0.028,0.956,0.014,0.056
RH_out,1.698,1.323,1.829,0.96,0.913,0.052
Windspeed,0.386,0.303,inf,0.92,5.142,0.073
Visibility,3.624,2.744,7.724,0.861,3.77,0.106
Tdewpoint,0.283,0.222,inf,0.942,7.124,0.059
