variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances,62.155,35.231,37.65,0.453,16.223,0.121,27.913,17.268,12.615,0.22,4.418,0.027
lights,4.793,3.082,inf,0.222,83.073,,1.64,1.339,,0.598,13.178,
T1,0.101,0.076,0.353,0.968,0.176,0.051,0.049,0.027,0.139,0.02,0.069,0.014
RH_1,0.546,0.345,0.85,0.867,0.426,0.066,0.245,0.14,0.35,0.082,0.176,0.015
T2,0.191,0.142,0.681,0.971,0.34,0.05,0.105,0.075,0.314,0.013,0.157,0.012
RH_2,0.393,0.295,0.752,0.95,0.376,0.054,0.164,0.125,0.364,0.033,0.182,0.016
T3,0.117,0.089,0.396,0.932,0.198,0.062,0.058,0.043,0.179,0.028,0.089,0.015
RH_3,0.294,0.209,0.535,0.912,0.268,0.066,0.122,0.078,0.204,0.044,0.102,0.015
T4,0.132,0.099,0.485,0.946,0.243,0.061,0.079,0.059,0.306,0.023,0.153,0.013
RH_4,0.25,0.188,0.489,0.939,0.245,0.055,0.081,0.062,0.18,0.045,0.09,0.018
T5,0.137,0.089,0.459,0.916,0.23,0.063,0.087,0.054,0.303,0.052,0.151,0.012
RH_5,2.398,1.515,2.899,0.836,1.456,0.073,1.386,0.915,1.85,0.157,0.918,0.017
T6,0.507,0.39,inf,0.968,4.648,0.053,0.248,0.196,,0.014,4.022,0.012
RH_6,2.265,1.719,22.126,0.954,7.701,,1.026,0.779,39.065,0.027,12.177,
T7,0.077,0.057,0.285,0.946,0.143,0.059,0.044,0.032,0.168,0.03,0.084,0.016
RH_7,0.336,0.255,0.734,0.967,0.367,0.051,0.132,0.101,0.312,0.022,0.157,0.016
T8,0.116,0.09,0.412,0.953,0.206,0.059,0.032,0.025,0.118,0.032,0.059,0.016
RH_8,0.53,0.416,0.991,0.953,0.496,0.062,0.178,0.152,0.391,0.021,0.195,0.013
T9,0.046,0.033,0.169,0.929,0.084,0.066,0.029,0.016,0.078,0.045,0.039,0.019
RH_9,0.347,0.27,0.66,0.952,0.33,0.058,0.155,0.119,0.301,0.027,0.151,0.016
T_out,0.32,0.25,inf,0.974,3.601,0.045,0.128,0.101,,0.016,3.997,0.01
Press_mm_hg,0.271,0.21,0.028,0.956,0.014,0.056,0.155,0.116,0.016,0.03,0.008,0.016
RH_out,1.698,1.323,1.829,0.96,0.913,0.052,0.549,0.429,0.816,0.027,0.409,0.012
Windspeed,0.386,0.303,inf,0.92,5.142,0.073,0.116,0.091,,0.032,2.082,0.016
Visibility,3.624,2.744,7.724,0.861,3.77,0.106,1.581,1.224,3.549,0.057,1.687,0.021
Tdewpoint,0.283,0.222,inf,0.942,7.124,0.059,0.083,0.066,,0.032,7.092,0.013
