window,rmse,mape,mae,r2,smape,nrmse,variable
0,103.443,43.698,59.144,0.225,22.131,0.216,Appliances(t)
0,8.408,inf,5.501,-0.398,87.409,0.28,lights(t)
0,0.539,1.88,0.415,0.473,0.937,0.216,T1(t)
0,1.487,2.43,0.936,0.371,1.195,0.108,RH_1(t)
0,0.664,2.255,0.472,0.265,1.111,0.198,T2(t)
0,1.51,3.156,1.18,-0.309,1.536,0.226,RH_2(t)
0,0.38,1.441,0.297,0.179,0.714,0.181,T3(t)
0,1.762,3.914,1.588,-0.045,1.911,0.209,RH_3(t)
0,1.115,4.952,1.002,-0.439,2.552,0.31,T4(t)
0,1.633,3.519,1.463,-0.846,1.721,0.441,RH_4(t)
0,1.159,4.794,0.946,-0.05,2.484,0.27,T5(t)
0,5.695,8.526,4.348,0.389,4.134,0.146,RH_5(t)
0,0.961,137.495,0.62,0.554,17.619,0.157,T6(t)
0,6.47,6.442,5.65,0.399,3.253,0.227,RH_6(t)
0,0.283,1.308,0.239,0.61,0.654,0.189,T7(t)
0,1.209,2.476,0.949,0.751,1.217,0.169,RH_7(t)
0,0.504,2.122,0.418,0.591,1.069,0.2,T8(t)
0,1.736,3.066,1.369,0.524,1.495,0.244,RH_8(t)
0,0.435,2.123,0.374,-1.933,1.077,0.57,T9(t)
0,1.374,2.242,0.959,0.707,1.1,0.191,RH_9(t)
0,0.835,51.223,0.68,0.284,15.946,0.209,T_out(t)
0,8.629,1.049,7.959,-4.006,0.528,0.703,Press_mm_hg(t)
0,7.018,6.65,5.609,0.164,3.234,0.281,RH_out(t)
0,2.485,54.062,2.083,0.132,18.44,0.287,Windspeed(t)
0,8.908,21.48,6.958,0.403,9.515,0.202,Visibility(t)
0,0.811,inf,0.69,0.339,43.918,0.232,Tdewpoint(t)
657,115.864,41.286,61.663,0.292,26.962,0.143,Appliances(t)
657,7.978,inf,4.497,0.203,85.31,0.16,lights(t)
657,0.805,3.347,0.603,-0.127,1.625,0.335,T1(t)
657,1.789,3.777,1.423,-0.098,1.84,0.164,RH_1(t)
657,0.701,3.281,0.558,0.238,1.603,0.269,T2(t)
657,1.751,3.843,1.459,-1.087,1.869,0.424,RH_2(t)
657,0.65,3.145,0.582,-0.034,1.544,0.231,T3(t)
657,1.463,3.365,1.293,-0.006,1.652,0.222,RH_3(t)
657,1.222,6.327,1.076,-0.6,3.037,0.281,T4(t)
657,1.201,2.657,0.969,-0.834,1.302,0.392,RH_4(t)
657,0.439,1.88,0.321,0.558,0.943,0.139,T5(t)
657,8.016,11.736,6.411,0.04,5.594,0.199,RH_5(t)
657,1.813,149.566,1.23,0.616,36.147,0.218,T6(t)
657,4.07,3.809,3.516,0.509,1.939,0.261,RH_6(t)
657,1.051,5.4,0.902,-0.799,2.614,0.342,T7(t)
657,1.584,4.463,1.392,-1.16,2.168,0.357,RH_7(t)
657,0.545,2.207,0.441,0.064,1.121,0.287,T8(t)
657,1.151,2.063,0.865,0.636,1.023,0.175,RH_8(t)
