window,rmse,mape,mae,r2,smape,nrmse,variable
0,128.286,154.592,105.111,-0.186,40.068,0.267,Appliances(t)
0,7.317,inf,5.424,-0.056,83.094,0.244,lights(t)
0,0.054,0.186,0.041,0.995,0.093,0.022,T1(t)
0,0.759,1.346,0.53,0.837,0.666,0.055,RH_1(t)
0,0.1,0.322,0.067,0.983,0.161,0.03,T2(t)
0,0.453,0.689,0.259,0.882,0.341,0.068,RH_2(t)
0,0.134,0.427,0.089,0.899,0.213,0.064,T3(t)
0,0.491,0.643,0.259,0.919,0.318,0.058,RH_3(t)
0,0.157,0.626,0.126,0.972,0.312,0.044,T4(t)
0,0.388,0.716,0.305,0.896,0.359,0.105,RH_4(t)
0,0.273,0.984,0.192,0.942,0.496,0.064,T5(t)
0,3.368,3.863,2.007,0.788,2.003,0.086,RH_5(t)
0,0.229,13.824,0.171,0.974,6.321,0.037,T6(t)
0,1.521,1.124,0.992,0.967,0.568,0.053,RH_6(t)
0,0.139,0.594,0.109,0.907,0.296,0.093,T7(t)
0,0.501,0.791,0.315,0.957,0.395,0.07,RH_7(t)
0,0.099,0.373,0.073,0.984,0.187,0.039,T8(t)
0,0.235,0.338,0.156,0.991,0.169,0.033,RH_8(t)
0,0.076,0.385,0.068,0.911,0.193,0.1,T9(t)
0,0.345,0.477,0.214,0.982,0.24,0.048,RH_9(t)
0,0.205,9.989,0.172,0.956,4.539,0.051,T_out(t)
0,0.112,0.012,0.091,0.999,0.006,0.009,Press_mm_hg(t)
0,0.903,0.809,0.718,0.986,0.407,0.036,RH_out(t)
0,0.349,5.843,0.281,0.983,2.753,0.04,Windspeed(t)
0,3.866,8.889,3.011,0.888,4.324,0.088,Visibility(t)
0,0.135,inf,0.119,0.982,16.093,0.039,Tdewpoint(t)
657,100.991,61.836,62.545,0.464,38.792,0.125,Appliances(t)
657,6.451,inf,4.779,0.428,81.25,0.129,lights(t)
657,0.052,0.225,0.042,0.995,0.113,0.022,T1(t)
657,0.845,1.778,0.678,0.753,0.88,0.077,RH_1(t)
657,0.078,0.374,0.065,0.99,0.187,0.03,T2(t)
657,0.223,0.423,0.164,0.966,0.211,0.054,RH_2(t)
657,0.057,0.2,0.038,0.992,0.1,0.02,T3(t)
657,0.307,0.509,0.2,0.953,0.255,0.047,RH_3(t)
657,0.173,0.83,0.142,0.968,0.417,0.04,T4(t)
657,0.233,0.501,0.184,0.931,0.25,0.076,RH_4(t)
657,0.21,0.443,0.078,0.899,0.224,0.066,T5(t)
657,6.702,11.186,6.018,0.332,5.288,0.167,RH_5(t)
657,0.324,24.21,0.274,0.988,11.448,0.039,T6(t)
657,0.699,0.618,0.548,0.985,0.309,0.045,RH_6(t)
657,0.068,0.316,0.054,0.992,0.158,0.022,T7(t)
657,0.327,0.781,0.245,0.908,0.39,0.074,RH_7(t)
657,0.063,0.272,0.054,0.987,0.136,0.033,T8(t)
657,0.265,0.484,0.204,0.981,0.243,0.04,RH_8(t)
657,0.091,0.478,0.076,0.944,0.238,0.061,T9(t)
657,0.447,0.778,0.293,0.963,0.39,0.058,RH_9(t)
657,0.281,inf,0.222,0.978,18.413,0.05,T_out(t)
657,0.066,0.007,0.05,0.996,0.003,0.018,Press_mm_hg(t)
657,0.924,0.84,0.743,0.957,0.42,0.042,RH_out(t)
