window,rmse,mape,mae,r2,smape,nrmse,variable
0,11.836,25.345,7.377,0.85,10.569,0.078,PM2.5(t)
0,33.047,26.886,20.806,0.753,11.85,0.108,PM10(t)
0,6.71,33.03,4.309,0.882,13.501,0.059,SO2(t)
0,12.279,25.625,8.12,0.851,10.443,0.101,NO2(t)
0,212.8,16.255,124.48,0.762,7.316,0.073,CO(t)
0,11692.952,162.23,1996.16,-0.029,20.571,0.132,O3(t)
0,1.771,13.192,1.271,0.877,6.538,0.073,TEMP(t)
0,0.853,0.066,0.661,0.983,0.033,0.032,PRES(t)
0,1.905,inf,1.232,0.877,24.462,0.082,DEWP(t)
0,0.047,inf,0.012,0.0,100.0,inf,RAIN(t)
0,1.176,inf,0.908,0.45,18.802,0.155,WSPM(t)
1062,17.97,22.072,12.542,0.9,8.03,0.073,PM2.5(t)
1062,38.413,45.171,27.324,0.691,13.092,0.091,PM10(t)
1062,4.519,41.553,3.155,0.833,16.175,0.066,SO2(t)
1062,17.134,14.299,9.809,0.713,6.98,0.079,NO2(t)
1062,269.74,16.265,194.985,0.892,7.647,0.09,CO(t)
1062,250.035,65.998,32.17,-15.395,18.165,0.88,O3(t)
1062,1.118,3.834,0.834,0.93,1.917,0.056,TEMP(t)
1062,0.571,0.045,0.451,0.969,0.023,0.042,PRES(t)
1062,1.746,21.726,1.307,0.862,7.937,0.084,DEWP(t)
1062,1.024,inf,0.202,0.028,95.31,0.096,RAIN(t)
1062,0.671,inf,0.495,0.513,21.528,0.114,WSPM(t)
2124,18.901,28.412,10.195,0.758,9.02,0.103,PM2.5(t)
2124,30.859,70.018,21.342,0.521,16.009,0.147,PM10(t)
2124,4.584,25.492,2.118,0.796,11.457,0.058,SO2(t)
2124,12.589,18.362,9.363,0.7,8.52,0.117,NO2(t)
2124,219.539,22.096,147.706,0.803,9.95,0.084,CO(t)
2124,34.906,159.874,19.327,0.804,26.22,0.105,O3(t)
2124,1.746,3.928,1.072,0.841,1.966,0.096,TEMP(t)
2124,0.655,0.048,0.479,0.937,0.024,0.054,PRES(t)
2124,1.0,3.319,0.695,0.748,1.646,0.076,DEWP(t)
2124,1.166,inf,0.255,-0.013,97.423,0.079,RAIN(t)
2124,0.641,inf,0.478,0.323,23.49,0.149,WSPM(t)
3186,13.113,35.881,9.179,0.897,12.083,0.082,PM2.5(t)
3186,26.75,48.592,19.086,0.717,16.175,0.124,PM10(t)
3186,2.894,23.859,2.16,0.808,10.577,0.103,SO2(t)
3186,11.237,19.855,7.825,0.747,7.99,0.106,NO2(t)
3186,281.575,29.35,193.071,0.872,11.705,0.08,CO(t)
3186,11.3,266.234,7.395,0.891,41.726,0.071,O3(t)
3186,1.717,7.118,1.018,0.841,3.078,0.07,TEMP(t)
3186,1.699,0.098,0.995,0.818,0.049,0.091,PRES(t)
3186,2.373,34.568,1.425,0.794,8.001,0.11,DEWP(t)
3186,0.683,inf,0.126,0.061,94.893,0.063,RAIN(t)
3186,0.618,inf,0.47,0.364,24.457,0.163,WSPM(t)
4248,31.83,47.476,13.104,0.74,16.672,0.1,PM2.5(t)
4248,37.162,43.399,19.543,0.718,16.914,0.113,PM10(t)
4248,944.051,7545.662,443.317,-3217.163,49.18,11.655,SO2(t)
4248,16.167,42.362,10.907,0.774,15.563,0.102,NO2(t)
4248,545.628,23.668,212.36,0.552,9.407,0.124,CO(t)
4248,15605.299,229.543,5440.623,-0.137,40.742,0.239,O3(t)
