,window,rmse,mape,mae,r2,variable,smape,nrmse
0,0,12.74929329979371,29.846506451155197,8.355987469952806,0.8264166354980358,PM2.5,11.871961353683277,0.08443240595889874
1,0,31.54234942514243,26.765040494409,19.73203567275427,0.774959691249713,PM10,11.527636988949732,0.10307957328477918
2,0,6.642741888325896,28.935753545787655,4.135160014145356,0.8842852890967979,SO2,12.237397748410826,0.05878532644536191
3,0,12.091309833604967,20.619253302687245,7.711577371547096,0.8554401379688009,NO2,9.404503124673989,0.09992818044301625
4,0,201.88524459407955,17.05869516862065,126.48781361974271,0.7858754269831509,CO,8.420818896184459,0.06961560158416537
5,0,13672.164785925732,13873.31439990988,4497.174138235118,-0.4069536656348478,O3,92.09613372076957,0.15380511098714753
6,0,1.5944963755861796,12.207236673764621,1.145893497036812,0.9002448709575936,TEMP,5.992066545184849,0.06616167533552612
7,0,1.037301505265558,0.08117519133055773,0.816825878171993,0.9755463264639517,PRES,0.04059478390330477,0.039441121873215204
8,0,1.9351123038971179,inf,1.2447390022890685,0.8727182170274153,DEWP,23.436813466703406,0.08341001309901369
9,0,0.14410169182129148,inf,0.1083064258126612,0.0,RAIN,100.0,inf
10,0,1.1259740814729926,inf,0.8635696570900151,0.49620190505379547,WSPM,18.41810034177937,0.14815448440434115
11,1062,26.84684528995231,62.305576496334716,20.68186916982321,0.7765794355773584,PM2.5,13.96509844405105,0.10869168133583931
12,1062,36.02763439812588,25.92497375665987,24.969060650445464,0.7285573414256754,PM10,10.503674417568106,0.08578008190029972
13,1062,5.1824001862683575,35.900133167163226,3.2923963044146847,0.780532373562144,SO2,17.030206962035013,0.07621176744512291
14,1062,15.558332745379214,16.77342060302649,10.285258257299438,0.7630781594736824,NO2,7.94030689602158,0.07202931826564452
15,1062,343.80745189766964,36.22616077809468,278.1802059546449,0.8245079178172813,CO,13.187886746293787,0.11460248396588987
16,1062,69.63228357459231,459.40604789658073,56.176128376695445,-0.27156726643739204,O3,52.620184473804244,0.2451840970936349
17,1062,1.3766467478961677,4.909798852048093,1.0919415846803135,0.8935008468483724,TEMP,2.4521529078219735,0.06952761353010949
18,1062,0.8255221352598567,0.062344255023508134,0.6244902876086718,0.9344896836911611,PRES,0.031169797484073947,0.06114978779702643
19,1062,1.486051711057128,49.1695031246233,0.8561102019216782,0.8998842322739858,DEWP,5.83443946526505,0.07178993773222841
20,1062,0.9789205813789768,inf,0.3473856482626253,0.11279113991885925,RAIN,94.16750044450175,0.09148790480177353
21,1062,0.6711308556526925,inf,0.4773692416069203,0.512546155286475,WSPM,21.248836891013063,0.11375099248350719
22,2124,17.532361072415785,27.3440471302493,10.553671772318674,0.7921375115672298,PM2.5,9.57618304115766,0.0958052517618349
23,2124,29.225064520229676,65.53696491102505,20.13313611826502,0.5699963735889526,PM10,16.415527021866357,0.1391669739058556
24,2124,4.742625479091553,36.59655780621447,2.692932495497223,0.7810817362338228,SO2,17.931376166673832,0.06003323391255131
25,2124,12.317343180722457,17.154017825494282,9.225453046927775,0.7132313155654793,NO2,8.156134889144141,0.1140494738955783
26,2124,203.1885492490863,21.631089867726992,141.38747001590585,0.8310462857262179,CO,10.524215088595906,0.07814944201887934
27,2124,33.819717414127304,169.48123045302276,19.50217606920637,0.8155527991470028,O3,31.806436239599357,0.10156071295533725
28,2124,1.7601183845198483,3.9235744967212134,1.0585116307538254,0.8388461690448299,TEMP,1.9724246269382426,0.09670980134724441
29,2124,0.6641484810721796,0.04901242842246702,0.4878747925722526,0.9351365135571768,PRES,0.024506044300071323,0.05443840008788388
30,2124,0.9872933136384817,3.214307145884781,0.6689272715633077,0.7544235797472237,DEWP,1.5821248976040831,0.07479494800291528
31,2124,1.1347374508775427,inf,0.349360170057934,0.04055099488588265,RAIN,95.8252662358633,0.0771930238692206
