window,rmse,mape,mae,r2,smape,nrmse,variable
0,32.9,102.788,22.214,-0.156,22.854,0.218,PM2.5(t)
0,48.08,59.025,29.229,0.477,16.934,0.157,PM10(t)
0,14.332,87.634,7.834,0.461,19.271,0.127,SO2(t)
0,14.257,33.05,9.41,0.799,12.043,0.118,NO2(t)
0,380.115,32.879,202.799,0.241,11.693,0.131,CO(t)
0,11689.641,112.455,1997.855,-0.029,21.546,0.132,O3(t)
0,1.806,12.921,1.324,0.872,6.735,0.075,TEMP(t)
0,2.034,0.107,1.08,0.906,0.054,0.077,PRES(t)
0,2.043,inf,1.445,0.858,27.376,0.088,DEWP(t)
0,0.008,inf,0.005,0.0,100.0,inf,RAIN(t)
0,1.166,inf,0.886,0.46,18.572,0.153,WSPM(t)
1062,19.258,40.169,14.436,0.885,9.655,0.078,PM2.5(t)
1062,35.868,39.043,25.286,0.731,11.883,0.085,PM10(t)
1062,5.11,49.884,3.696,0.787,20.12,0.075,SO2(t)
1062,15.516,14.955,9.959,0.764,7.863,0.072,NO2(t)
1062,320.651,17.193,206.344,0.847,8.715,0.107,CO(t)
1062,38.363,154.015,27.269,0.614,40.018,0.135,O3(t)
1062,1.371,4.648,1.013,0.894,2.37,0.069,TEMP(t)
1062,1.218,0.081,0.809,0.857,0.04,0.09,PRES(t)
1062,1.753,20.392,1.133,0.861,6.818,0.085,DEWP(t)
1062,1.033,inf,0.19,0.012,96.918,0.097,RAIN(t)
1062,0.661,inf,0.51,0.527,22.677,0.112,WSPM(t)
2124,21.327,33.873,14.331,0.692,12.662,0.117,PM2.5(t)
2124,31.655,70.765,23.177,0.496,18.416,0.151,PM10(t)
2124,4.672,31.497,2.393,0.788,13.136,0.059,SO2(t)
2124,12.001,16.45,8.916,0.728,7.86,0.111,NO2(t)
2124,215.269,22.587,151.437,0.81,10.373,0.083,CO(t)
2124,32.94,145.722,18.123,0.825,29.322,0.099,O3(t)
2124,1.696,3.639,0.985,0.85,1.831,0.093,TEMP(t)
2124,0.737,0.052,0.516,0.92,0.026,0.06,PRES(t)
2124,1.008,3.173,0.673,0.744,1.585,0.076,DEWP(t)
2124,1.137,inf,0.287,0.037,95.579,0.077,RAIN(t)
2124,0.619,inf,0.458,0.37,23.222,0.144,WSPM(t)
3186,13.914,34.273,10.332,0.884,14.731,0.087,PM2.5(t)
3186,26.946,53.0,20.129,0.712,16.343,0.125,PM10(t)
3186,2.713,24.549,2.026,0.831,10.47,0.097,SO2(t)
3186,10.121,13.04,7.101,0.795,6.479,0.095,NO2(t)
3186,222.65,23.532,157.919,0.92,10.068,0.064,CO(t)
3186,12.959,467.325,9.325,0.856,48.095,0.081,O3(t)
