window,rmse,mape,mae,r2,smape,nrmse,variable
0,26.242,31.104,14.493,0.8,10.867,0.102,PM2.5
0,43.274,28.697,24.938,0.603,11.612,0.147,PM10
0,12.844,31.498,6.457,0.396,14.208,0.128,SO2
0,17.019,24.301,10.517,0.526,10.326,0.143,NO2
0,243.175,18.948,149.347,0.512,8.931,0.162,CO
0,11453.959,1881.37,1944.687,-1.026,60.744,0.147,O3
0,2.542,19.957,1.619,0.664,8.79,0.117,TEMP
0,1.928,0.115,1.157,0.91,0.057,0.078,PRES
0,2.465,inf,1.349,0.809,30.089,0.106,DEWP
0,0.0,inf,0.0,0.0,100.0,,RAIN
0,1.079,inf,0.832,0.195,20.665,0.169,WSPM
0,27.841,35.472,16.432,0.815,14.514,0.098,PM2.5.1
0,46.201,33.102,22.137,0.52,11.596,0.116,PM10.1
0,8.824,32.204,4.518,0.624,14.792,0.123,SO2.1
0,14.316,37.069,9.462,0.428,13.495,0.181,NO2.1
0,242.516,20.3,138.665,0.517,9.478,0.143,CO.1
0,10464.468,5416.932,1857.971,-0.807,52.49,0.142,O3.1
0,2.35,18.39,1.516,0.683,8.213,0.11,TEMP.1
0,1.942,0.117,1.177,0.906,0.059,0.079,PRES.1
0,2.287,90.382,1.233,0.862,23.637,0.09,DEWP.1
0,0.071,inf,0.009,-1.018,100.0,0.118,RAIN.1
0,1.309,inf,0.998,0.217,28.755,0.211,WSPM.1
0,33.071,85.234,14.352,0.758,13.613,0.13,PM2.5.2
0,37.132,42.545,19.547,0.724,15.025,0.138,PM10.2
0,8.58,37.442,4.307,0.641,15.682,0.106,SO2.2
0,12.586,36.877,7.636,0.608,14.773,0.135,NO2.2
0,247.107,20.789,125.694,0.602,9.113,0.13,CO.2
0,12576.82,1480.345,2128.132,-1.027,49.44,0.145,O3.2
0,2.35,18.39,1.516,0.683,8.213,0.11,TEMP.2
0,1.942,0.117,1.177,0.906,0.059,0.079,PRES.2
