window,rmse,mape,mae,r2,smape,nrmse,variable
0,41.613,122.954,28.712,0.331,26.341,0.164,PM2.5(t)
0,53.664,75.977,39.403,0.344,24.682,0.178,PM10(t)
0,15.315,104.096,11.188,-0.026,29.569,0.153,SO2(t)
0,19.673,46.168,14.47,0.484,18.809,0.165,NO2(t)
0,381.749,44.711,284.686,-0.44,16.474,0.254,CO(t)
0,9896.581,383.648,1425.492,-0.02,23.204,0.127,O3(t)
0,2.57,27.156,1.888,0.663,10.904,0.118,TEMP(t)
0,2.725,0.183,1.853,0.815,0.092,0.099,PRES(t)
0,3.143,inf,2.292,0.719,36.869,0.142,DEWP(t)
0,0.061,inf,0.034,-13.612,99.464,0.305,RAIN(t)
0,1.275,inf,0.949,0.214,21.399,0.182,WSPM(t)
0,44.533,145.768,31.334,0.371,30.003,0.179,PM2.5.1(t)
0,57.527,91.443,41.172,0.176,24.422,0.145,PM10.1(t)
0,12.591,108.044,8.621,0.159,28.603,0.175,SO2.1(t)
0,16.478,68.258,11.541,0.199,18.287,0.209,NO2.1(t)
0,446.631,63.982,300.655,-0.618,19.34,0.263,CO.1(t)
0,10893.341,41.062,2031.609,-0.036,16.281,0.132,O3.1(t)
0,2.479,25.297,1.91,0.661,11.022,0.116,TEMP.1(t)
0,2.752,0.188,1.892,0.811,0.094,0.101,PRES.1(t)
0,3.621,191.859,2.84,0.672,36.836,0.139,DEWP.1(t)
0,0.057,inf,0.023,-0.78,100.0,0.095,RAIN.1(t)
0,1.464,inf,1.224,0.239,27.623,0.179,WSPM.1(t)
0,42.519,151.252,29.863,0.503,30.194,0.169,PM2.5.2(t)
0,57.351,164.682,42.507,0.225,29.186,0.212,PM10.2(t)
0,12.118,132.725,8.5,0.257,35.21,0.15,SO2.2(t)
0,18.431,158.257,12.942,0.107,30.991,0.198,NO2.2(t)
0,402.353,67.442,280.275,-0.026,22.116,0.212,CO.2(t)
0,14110.548,29.455,2824.844,-0.041,13.964,0.163,O3.2(t)
0,2.479,25.297,1.91,0.661,11.022,0.116,TEMP.2(t)
0,2.752,0.188,1.892,0.811,0.094,0.101,PRES.2(t)
0,3.621,191.859,2.84,0.672,36.836,0.139,DEWP.2(t)
0,0.057,inf,0.023,-0.78,100.0,0.095,RAIN.2(t)
0,1.464,inf,1.224,0.239,27.623,0.179,WSPM.2(t)
0,41.536,112.029,29.352,0.343,26.659,0.178,PM2.5.3(t)
0,59.679,115.291,42.422,0.183,29.571,0.156,PM10.3(t)
0,17.256,148.827,12.497,-0.563,34.883,0.182,SO2.3(t)
0,22.603,74.316,15.326,0.151,22.767,0.219,NO2.3(t)
0,557.088,68.779,380.239,-0.995,20.02,0.293,CO.3(t)
0,2448.351,69.105,266.126,-0.011,16.351,0.074,O3.3(t)
0,2.321,20.915,1.763,0.656,9.274,0.107,TEMP.3(t)
0,2.632,0.176,1.776,0.824,0.088,0.098,PRES.3(t)
0,3.429,114.956,2.59,0.721,31.638,0.132,DEWP.3(t)
0,0.074,inf,0.042,0.0,100.0,inf,RAIN.3(t)
0,1.765,inf,1.403,-0.088,26.733,0.208,WSPM.3(t)
0,36.098,112.096,25.877,0.451,28.451,0.16,PM2.5.4(t)
0,54.363,85.463,44.863,0.008,31.239,0.192,PM10.4(t)
0,16.956,182.284,11.731,-0.033,34.124,0.154,SO2.4(t)
0,9533.823,46.528,1197.038,-0.015,16.333,0.086,NO2.4(t)
0,481.566,73.535,334.288,-0.455,20.584,0.283,CO.4(t)
0,7951.136,504.939,946.144,-0.014,20.535,0.091,O3.4(t)
0,2.57,27.156,1.888,0.663,10.904,0.118,TEMP.4(t)
0,2.725,0.183,1.853,0.815,0.092,0.099,PRES.4(t)
0,3.143,inf,2.292,0.719,36.869,0.142,DEWP.4(t)
0,0.061,inf,0.034,-13.612,99.464,0.305,RAIN.4(t)
0,1.275,inf,0.949,0.214,21.399,0.182,WSPM.4(t)
0,41.902,197.968,31.422,0.346,30.942,0.193,PM2.5.5(t)
0,64.987,156.463,49.563,0.083,28.625,0.229,PM10.5(t)
0,15.655,147.071,11.523,-0.379,34.384,0.22,SO2.5(t)
0,23.825,70.201,18.198,0.273,22.282,0.213,NO2.5(t)
0,495.701,61.141,332.265,-0.568,18.923,0.292,CO.5(t)
0,14150.763,131.185,2455.033,-0.03,22.01,0.142,O3.5(t)
0,2.276,18.997,1.695,0.7,9.133,0.107,TEMP.5(t)
