window,rmse,mape,mae,r2,smape,nrmse,variable
0,4000.48,8513.908,1283.524,-6565.531,30.744,15.812,PM2.5(t)
0,5176.579,4267.143,1611.519,-6243.816,24.567,17.198,PM10(t)
0,2756.741,10589.192,883.55,-34007.466,35.328,27.567,SO2(t)
0,3004.35,3598.248,973.074,-12030.757,23.995,25.247,NO2(t)
0,36969.143,1927.896,11496.281,-13750.417,25.133,24.646,CO(t)
0,12927.422,143728.93,2957.242,-0.732,27.028,0.165,O3(t)
0,440.779,1861.64,123.467,-9981.621,20.721,20.312,TEMP(t)
0,307.178,9.699,98.225,-2351.407,5.101,11.211,PRES(t)
0,195.369,inf,47.383,-1099.828,35.835,8.8,DEWP(t)
0,5.174,inf,1.572,-104316.105,99.381,25.87,RAIN(t)
0,173.99,inf,43.539,-14574.837,30.397,24.856,WSPM(t)
0,7709.704,14841.168,2459.708,-20009.829,35.961,33.52,PM2.5.1(t)
0,9323.117,9986.51,2956.909,-21856.272,27.968,23.425,PM10.1(t)
0,1906.916,7591.709,609.292,-19187.114,33.876,26.485,SO2.1(t)
0,2898.529,3554.578,844.39,-24948.955,30.049,36.69,NO2.1(t)
0,90921.57,5018.841,25744.075,-67914.181,28.385,53.515,CO.1(t)
0,9522.042,4300.787,2620.96,0.212,22.47,0.115,O3.1(t)
0,485.201,2099.871,144.677,-13028.509,20.516,22.673,TEMP.1(t)
0,313.009,9.964,100.563,-2444.573,5.262,11.508,PRES.1(t)
0,361.138,1051.522,101.12,-3321.33,35.829,13.837,DEWP.1(t)
0,12.706,inf,3.886,-87007.39,100.0,21.177,RAIN.1(t)
0,162.904,inf,45.613,-9397.451,33.777,19.866,WSPM.1(t)
0,7062.389,16963.711,2205.247,-14406.228,36.811,28.025,PM2.5.2(t)
0,14407.21,23526.411,4201.498,-49740.91,33.925,53.36,PM10.2(t)
0,2020.538,15031.31,627.741,-20578.372,39.336,24.945,SO2.2(t)
0,3096.199,13263.207,962.494,-25383.349,36.608,33.292,NO2.2(t)
0,85003.091,8445.046,27127.839,-46146.878,30.002,44.738,CO.2(t)
0,14782.323,2868.381,4072.025,-0.137,19.332,0.17,O3.2(t)
0,485.201,2099.871,144.677,-13028.509,20.516,22.673,TEMP.2(t)
0,313.009,9.964,100.563,-2444.573,5.262,11.508,PRES.2(t)
0,361.138,1051.522,101.12,-3321.33,35.829,13.837,DEWP.2(t)
0,12.706,inf,3.886,-87007.39,100.0,21.177,RAIN.2(t)
0,162.904,inf,45.613,-9397.451,33.777,19.866,WSPM.2(t)
0,3208.466,5471.338,923.047,-4155.356,33.752,13.711,PM2.5.3(t)
0,6080.293,7503.354,1964.366,-8685.491,29.981,15.917,PM10.3(t)
0,1309.093,5112.253,368.713,-9114.269,38.078,13.78,SO2.3(t)
0,2392.222,2907.663,663.239,-9546.919,28.221,23.225,NO2.3(t)
0,54858.629,3785.981,17909.331,-19683.752,26.238,28.873,CO.3(t)
0,3242.402,2486.409,978.568,-0.763,23.041,0.098,O3.3(t)
0,372.294,1287.866,106.306,-8909.893,19.82,17.236,TEMP.3(t)
0,298.359,9.367,95.0,-2261.584,5.039,11.091,PRES.3(t)
0,350.177,2541.563,112.26,-2957.738,31.812,13.52,DEWP.3(t)
0,12.986,inf,3.863,0.0,100.0,inf,RAIN.3(t)
0,142.856,inf,47.859,-7096.222,31.779,16.807,WSPM.3(t)
0,4959.016,9918.937,1507.62,-10935.806,30.746,22.04,PM2.5.4(t)
0,5880.22,3883.491,1728.919,-12058.095,28.519,20.778,PM10.4(t)
0,2544.222,17070.488,696.364,-23508.639,38.86,23.129,SO2.4(t)
0,11728.802,3376.401,2674.337,-0.529,25.044,0.106,NO2.4(t)
0,69354.253,5248.867,22033.231,-30672.244,28.878,40.821,CO.4(t)
0,9165.578,10786.194,1791.774,-0.34,23.131,0.104,O3.4(t)
0,440.779,1861.64,123.467,-9981.621,20.721,20.312,TEMP.4(t)
0,307.178,9.699,98.225,-2351.407,5.101,11.211,PRES.4(t)
0,195.369,inf,47.383,-1099.828,35.835,8.8,DEWP.4(t)
0,5.174,inf,1.572,-104316.105,99.381,25.87,RAIN.4(t)
0,173.99,inf,43.539,-14574.837,30.397,24.856,WSPM.4(t)
0,6110.933,14303.094,1731.629,-14420.263,32.926,28.161,PM2.5.5(t)
0,7128.478,10930.234,2189.601,-11235.07,31.115,25.1,PM10.5(t)
0,2258.014,11659.703,677.596,-28805.707,40.04,31.803,SO2.5(t)
0,5423.868,8731.073,1746.873,-37710.192,31.597,48.427,NO2.5(t)
0,73821.594,3973.74,20269.196,-34952.5,28.282,43.45,CO.5(t)
0,16637.28,5021.739,4543.802,-0.417,27.282,0.167,O3.5(t)
0,430.681,1393.163,126.786,-10763.653,20.198,20.22,TEMP.5(t)
0,298.77,9.445,95.443,-2218.365,5.011,10.786,PRES.5(t)
0,416.793,inf,99.99,-4066.123,37.158,17.223,DEWP.5(t)
0,6.432,inf,1.947,-32106.32,99.916,12.864,RAIN.5(t)
0,103.059,inf,28.206,-6486.801,32.74,13.927,WSPM.5(t)
774,24.263,38.418,17.125,0.78,14.437,0.12,PM2.5(t)
774,61.001,59.275,36.912,-0.037,19.441,0.232,PM10(t)
774,8.742,73.245,5.27,-2.549,26.466,0.312,SO2(t)
774,19.797,25.564,14.215,0.521,10.721,0.125,NO2(t)
774,368.02,25.532,221.977,0.329,10.769,0.123,CO(t)
774,23.364,349.459,17.536,0.847,33.507,0.108,O3(t)
774,1.328,3.964,1.083,0.871,1.985,0.092,TEMP(t)
774,0.693,0.05,0.494,0.975,0.025,0.044,PRES(t)
774,3.417,7.466,1.651,0.301,4.208,0.192,DEWP(t)
774,0.539,inf,0.289,-21.935,96.858,0.49,RAIN(t)
774,0.797,inf,0.54,-0.35,28.742,0.234,WSPM(t)
774,15.659,29.919,11.076,0.898,12.838,0.065,PM2.5.1(t)
774,95.797,61.705,42.369,-3.148,20.288,0.433,PM10.1(t)
774,6.388,154.162,4.781,-0.424,42.821,0.206,SO2.1(t)
774,56.372,116.393,25.119,-12.007,23.441,0.679,NO2.1(t)
774,175.842,14.714,120.792,0.728,8.563,0.117,CO.1(t)
774,72.225,75.187,35.64,-0.365,19.23,0.222,O3.1(t)
774,1.53,4.048,1.12,0.787,1.977,0.12,TEMP.1(t)
774,0.66,0.049,0.493,0.976,0.025,0.043,PRES.1(t)
774,4.225,8.661,1.86,0.162,5.437,0.253,DEWP.1(t)
774,1.153,inf,0.514,-104.126,99.789,0.824,RAIN.1(t)
774,0.871,inf,0.616,-0.066,30.938,0.194,WSPM.1(t)
774,21.098,64.744,14.377,0.747,17.43,0.115,PM2.5.2(t)
