window,rmse,mape,mae,r2,smape,nrmse,variable
0,7.469,132.277,2.876,0.963,42.782,0.037,CO(GT)(t)
0,140.411,8.675,104.625,0.523,4.29,0.176,PT08.S1(CO)(t)
0,114.565,30.818,61.95,0.755,18.327,0.131,NMHC(GT)(t)
0,4.184,51.532,2.823,0.378,17.741,0.205,C6H6(GT)(t)
0,146.917,11.827,104.638,0.563,5.735,0.17,PT08.S2(NMHC)(t)
0,64.943,42.534,43.002,0.475,22.13,0.139,NOx(GT)(t)
0,158.961,12.329,118.576,0.67,5.828,0.129,PT08.S3(NOx)(t)
0,54.777,24.411,25.326,0.261,12.769,0.158,NO2(GT)(t)
0,165.558,6.639,111.096,0.295,3.359,0.187,PT08.S4(NO2)(t)
0,202.231,18.828,155.533,0.548,8.702,0.158,PT08.S5(O3)(t)
0,2.035,9.972,1.609,0.552,5.027,0.162,T(t)
0,6.467,9.431,4.835,0.698,4.671,0.115,RH(t)
0,0.055,5.017,0.045,0.761,2.559,0.113,AH(t)
311,162.556,198.161,128.611,-1.72,68.052,0.791,CO(GT)(t)
311,192.638,11.548,154.575,-0.149,6.202,0.235,PT08.S1(CO)(t)
311,431.176,176.766,371.694,-1.175,68.033,0.437,NMHC(GT)(t)
311,14.676,161.296,12.123,-5.272,67.803,0.569,C6H6(GT)(t)
311,185.993,14.763,142.468,0.281,7.56,0.189,PT08.S2(NMHC)(t)
311,296.797,124.723,245.431,-1.857,66.995,0.63,NOx(GT)(t)
311,182.043,13.806,129.656,-0.041,7.246,0.188,PT08.S3(NOx)(t)
311,252.492,104.216,204.769,-1.736,65.183,0.686,NO2(GT)(t)
311,246.572,10.767,188.313,-0.552,5.86,0.242,PT08.S4(NO2)(t)
311,261.088,23.278,210.767,0.271,10.657,0.202,PT08.S5(O3)(t)
311,18.265,78.261,14.731,-17.484,63.606,1.243,T(t)
311,17.272,24.779,12.839,-0.799,14.892,0.369,RH(t)
311,11.521,903.604,9.062,-27657.351,63.31,36.926,AH(t)
622,23.836,105.373,5.677,0.945,21.854,0.115,CO(GT)(t)
622,183.677,11.742,145.303,0.399,5.934,0.187,PT08.S1(CO)(t)
622,151.805,20.65,82.306,0.825,11.553,0.109,NMHC(GT)(t)
622,8.584,115.405,7.206,-0.452,32.097,0.27,C6H6(GT)(t)
622,178.045,15.026,141.311,0.483,7.282,0.168,PT08.S2(NMHC)(t)
622,67.117,16.266,35.803,0.902,10.285,0.122,NOx(GT)(t)
622,130.878,12.864,105.04,0.531,6.244,0.158,PT08.S3(NOx)(t)
622,45.834,11.568,17.136,0.918,7.087,0.128,NO2(GT)(t)
622,186.021,7.569,134.193,0.402,3.896,0.176,PT08.S4(NO2)(t)
622,266.917,24.693,220.814,0.489,10.963,0.162,PT08.S5(O3)(t)
622,2.393,12.287,1.872,-0.028,6.783,0.242,T(t)
622,7.723,9.974,6.335,0.721,5.325,0.149,RH(t)
622,0.643,42.321,0.463,-21.77,28.551,1.281,AH(t)
933,14.653,527.951,9.43,0.859,69.258,0.071,CO(GT)(t)
933,184.02,12.182,156.63,0.391,6.221,0.202,PT08.S1(CO)(t)
933,218.261,59.205,150.203,0.463,30.664,0.164,NMHC(GT)(t)
933,6.032,39.491,4.78,0.417,18.979,0.178,C6H6(GT)(t)
933,202.315,15.318,167.515,0.4,7.967,0.187,PT08.S2(NMHC)(t)
933,87.519,45.693,67.495,0.293,28.048,0.154,NOx(GT)(t)
933,167.667,18.58,137.247,0.089,8.396,0.225,PT08.S3(NOx)(t)
933,59.07,32.344,33.673,0.199,19.638,0.163,NO2(GT)(t)
933,223.379,9.188,177.758,0.335,4.809,0.188,PT08.S4(NO2)(t)
933,395.755,25.601,317.089,-0.197,14.319,0.253,PT08.S5(O3)(t)
933,3.323,14.02,2.646,0.304,7.869,0.214,T(t)
933,7.552,11.952,5.963,0.778,5.543,0.137,RH(t)
933,0.108,7.079,0.087,0.529,3.694,0.157,AH(t)
1244,25.35,206.501,7.626,0.679,45.02,0.123,CO(GT)(t)
1244,173.005,10.273,133.458,0.375,5.472,0.18,PT08.S1(CO)(t)
1244,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
1244,6.8,34.038,4.893,0.319,19.008,0.187,C6H6(GT)(t)
1244,209.408,13.913,160.908,0.41,7.475,0.172,PT08.S2(NMHC)(t)
1244,97.327,39.79,67.662,0.273,24.259,0.167,NOx(GT)(t)
1244,148.966,17.39,120.955,0.503,7.714,0.135,PT08.S3(NOx)(t)
1244,70.365,29.537,37.872,0.065,19.191,0.194,NO2(GT)(t)
1244,232.907,8.911,172.597,0.398,4.692,0.165,PT08.S4(NO2)(t)
1244,276.626,17.454,217.223,0.457,9.514,0.18,PT08.S5(O3)(t)
1244,1.376,5.826,1.083,0.822,2.878,0.1,T(t)
1244,5.676,9.143,4.278,0.748,4.449,0.119,RH(t)
1244,0.071,4.907,0.049,0.585,2.362,0.126,AH(t)
