window,rmse,mape,mae,r2,smape,nrmse,variable
0,12.138,669.16,9.246,0.904,80.801,0.059,CO(GT)(t)
0,129.148,9.085,104.897,0.602,4.335,0.162,PT08.S1(CO)(t)
0,104.42,30.009,60.414,0.794,15.636,0.12,NMHC(GT)(t)
0,3.617,62.381,2.96,0.537,21.773,0.177,C6H6(GT)(t)
0,131.699,12.972,106.949,0.65,6.054,0.152,PT08.S2(NMHC)(t)
0,66.284,43.124,42.802,0.457,20.759,0.142,NOx(GT)(t)
0,151.099,10.532,110.9,0.703,5.377,0.123,PT08.S3(NOx)(t)
0,54.577,30.614,29.634,0.272,17.284,0.158,NO2(GT)(t)
0,142.527,7.325,114.78,0.482,3.525,0.161,PT08.S4(NO2)(t)
0,194.041,20.557,164.072,0.588,9.316,0.152,PT08.S5(O3)(t)
0,1.062,5.64,0.854,0.878,2.816,0.084,T(t)
0,4.425,6.526,3.336,0.861,3.336,0.079,RH(t)
0,0.039,3.326,0.03,0.881,1.672,0.08,AH(t)
311,88.703,353.24,72.8,0.184,54.166,0.432,CO(GT)(t)
311,130.986,8.097,105.392,0.475,4.131,0.16,PT08.S1(CO)(t)
311,567.79,225.617,469.464,-2.755,70.032,0.575,NMHC(GT)(t)
311,18.238,230.141,16.069,-8.564,81.891,0.707,C6H6(GT)(t)
311,166.174,14.245,135.153,0.433,6.844,0.169,PT08.S2(NMHC)(t)
311,315.799,134.524,262.417,-2.231,70.742,0.67,NOx(GT)(t)
311,278.666,25.673,222.659,-1.411,16.41,0.288,PT08.S3(NOx)(t)
311,260.366,111.688,214.896,-1.917,69.344,0.708,NO2(GT)(t)
311,209.831,10.53,174.821,-0.109,5.074,0.206,PT08.S4(NO2)(t)
311,270.387,23.348,217.719,0.226,10.281,0.209,PT08.S5(O3)(t)
311,26.651,120.709,22.652,-38.146,71.286,1.813,T(t)
311,22.922,44.32,19.275,-2.15,33.65,0.49,RH(t)
311,23.414,1995.744,19.764,-112876.486,97.579,75.045,AH(t)
622,33.002,219.876,20.605,0.894,40.606,0.159,CO(GT)(t)
622,192.121,13.554,158.807,0.35,6.526,0.195,PT08.S1(CO)(t)
