window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.551,51.535,0.418,0.381,19.126,0.122,use [kW](t)
0,0.043,inf,0.03,0.692,67.946,0.08,gen [kW](t)
0,0.25,inf,0.202,-0.246,95.675,0.183,Dishwasher [kW](t)
0,0.179,256.175,0.144,0.253,46.149,0.117,Furnace 1 [kW](t)
0,0.206,148.661,0.163,0.229,42.67,0.309,Furnace 2 [kW](t)
0,0.085,106.386,0.064,0.27,32.078,0.097,Home office [kW](t)
0,0.067,396.182,0.044,0.291,50.891,0.109,Fridge [kW](t)
0,0.038,218.453,0.025,-0.152,81.755,0.319,Wine cellar [kW](t)
0,0.007,24.461,0.003,-0.276,10.904,0.048,Garage door [kW](t)
0,0.001,65.056,0.0,-0.39,22.292,0.035,Kitchen 12 [kW](t)
0,0.09,inf,0.04,0.178,96.746,0.056,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-0.282,61.522,0.0,Kitchen 38 [kW](t)
0,0.078,183.356,0.064,-0.043,44.695,0.075,Barn [kW](t)
0,0.153,3940.925,0.056,0.031,91.722,0.095,Well [kW](t)
0,0.089,1007.492,0.045,-0.197,95.731,0.048,Microwave [kW](t)
0,0.111,1888.88,0.077,0.318,79.488,0.319,Living room [kW](t)
0,0.043,inf,0.03,0.692,67.946,0.08,Solar [kW](t)
0,4.034,11.057,3.358,0.857,5.688,0.102,temperature(t)
0,0.092,13.294,0.074,0.791,6.073,0.161,humidity(t)
0,1.179,14.521,0.842,0.72,5.833,0.146,visibility(t)
0,3.866,13.086,3.017,0.906,6.458,0.087,apparentTemperature(t)
0,5.062,0.403,4.057,0.651,0.201,0.175,pressure(t)
0,2.859,41.616,2.276,0.571,21.202,0.178,windSpeed(t)
0,50.884,29.013,41.809,0.589,14.238,0.197,windBearing(t)
0,0.015,inf,0.011,0.554,81.037,0.116,precipIntensity(t)
0,3.576,18.187,2.754,0.947,8.547,0.073,dewPoint(t)
0,0.138,inf,0.108,0.712,75.718,0.17,precipProbability(t)
16796,0.393,119.453,0.274,0.637,17.727,0.05,use [kW](t)
16796,0.06,inf,0.047,0.788,68.61,0.132,gen [kW](t)
16796,0.212,inf,0.112,0.208,95.552,0.154,Dishwasher [kW](t)
16796,0.182,270.893,0.145,0.236,37.524,0.296,Furnace 1 [kW](t)
16796,0.243,203.446,0.199,0.152,40.743,0.361,Furnace 2 [kW](t)
16796,0.086,117.474,0.061,0.498,46.96,0.139,Home office [kW](t)
16796,0.066,372.945,0.048,0.02,74.023,0.108,Fridge [kW](t)
16796,0.028,297.618,0.023,0.355,54.197,0.236,Wine cellar [kW](t)
16796,0.01,16.158,0.003,0.047,7.952,0.04,Garage door [kW](t)
16796,0.044,3262.831,0.019,0.158,89.832,0.048,Kitchen 12 [kW](t)
16796,0.08,inf,0.027,0.066,97.94,0.049,Kitchen 14 [kW](t)
16796,0.0,inf,0.0,-0.375,60.768,0.0,Kitchen 38 [kW](t)
16796,0.147,231.302,0.088,0.228,48.477,0.021,Barn [kW](t)
16796,0.136,3547.612,0.048,-0.03,92.906,0.085,Well [kW](t)
16796,0.104,1256.226,0.057,-0.092,91.969,0.056,Microwave [kW](t)
16796,0.073,1538.724,0.04,0.194,86.658,0.211,Living room [kW](t)
16796,0.06,inf,0.047,0.788,68.61,0.132,Solar [kW](t)
16796,1.497,5.565,1.216,0.894,2.791,0.073,temperature(t)
16796,0.036,5.933,0.028,0.802,2.846,0.106,humidity(t)
16796,0.441,3.687,0.322,0.775,1.798,0.13,visibility(t)
16796,1.977,13.537,1.555,0.88,7.004,0.084,apparentTemperature(t)
16796,3.779,0.302,3.065,0.548,0.151,0.213,pressure(t)
16796,1.962,20.83,1.574,0.71,9.289,0.142,windSpeed(t)
16796,109.948,inf,92.743,0.489,51.202,0.306,windBearing(t)
16796,0.0,inf,0.0,0.786,94.165,0.0,precipIntensity(t)
16796,1.564,21.856,1.257,0.637,9.404,0.143,dewPoint(t)
16796,0.018,inf,0.013,0.775,94.387,0.062,precipProbability(t)
33592,0.308,96.732,0.248,0.543,20.316,0.078,use [kW](t)
33592,0.04,inf,0.031,0.872,64.963,0.086,gen [kW](t)
33592,0.113,inf,0.043,0.202,97.6,0.084,Dishwasher [kW](t)
33592,0.142,371.966,0.121,0.321,52.207,0.18,Furnace 1 [kW](t)
33592,0.153,127.251,0.118,0.415,37.775,0.223,Furnace 2 [kW](t)
33592,0.073,114.25,0.058,0.32,35.557,0.171,Home office [kW](t)
33592,0.039,195.22,0.027,0.547,52.648,0.153,Fridge [kW](t)
33592,0.03,213.233,0.022,0.345,52.897,0.253,Wine cellar [kW](t)
33592,0.011,13.897,0.003,0.001,7.479,0.058,Garage door [kW](t)
33592,0.0,21.811,0.0,0.465,8.855,0.0,Kitchen 12 [kW](t)
33592,0.061,inf,0.037,-0.143,98.026,0.038,Kitchen 14 [kW](t)
33592,0.0,inf,0.0,-0.087,66.302,0.0,Kitchen 38 [kW](t)
33592,0.081,108.097,0.054,0.481,56.692,0.045,Barn [kW](t)
33592,0.119,3113.537,0.041,0.065,90.224,0.074,Well [kW](t)
33592,0.07,331.58,0.016,0.015,61.329,0.037,Microwave [kW](t)
33592,0.062,1880.917,0.04,0.499,82.946,0.178,Living room [kW](t)
33592,0.04,inf,0.031,0.872,64.963,0.086,Solar [kW](t)
33592,2.906,6.341,2.3,0.925,3.251,0.072,temperature(t)
33592,0.08,10.166,0.064,0.707,4.704,0.182,humidity(t)
33592,1.215,22.808,0.983,0.793,8.467,0.132,visibility(t)
33592,3.297,8.238,2.559,0.933,4.14,0.077,apparentTemperature(t)
33592,2.056,0.174,1.77,0.816,0.087,0.116,pressure(t)
33592,2.561,25.875,2.033,0.37,14.864,0.159,windSpeed(t)
33592,74.441,inf,61.86,0.319,15.128,0.208,windBearing(t)
33592,0.008,inf,0.006,0.803,67.887,0.078,precipIntensity(t)
33592,2.658,8.486,2.142,0.956,4.089,0.063,dewPoint(t)
33592,0.105,inf,0.081,0.85,65.264,0.133,precipProbability(t)
50388,0.506,54.857,0.401,0.517,16.624,0.083,use [kW](t)
50388,0.05,1270.2,0.039,0.867,72.405,0.09,gen [kW](t)
50388,0.153,inf,0.099,0.502,94.438,0.113,Dishwasher [kW](t)
50388,0.153,121.697,0.122,0.326,22.066,0.231,Furnace 1 [kW](t)
50388,0.243,180.784,0.201,0.259,34.142,0.339,Furnace 2 [kW](t)
50388,0.065,84.677,0.048,0.528,49.052,0.125,Home office [kW](t)
50388,0.054,326.113,0.039,0.39,55.743,0.088,Fridge [kW](t)
50388,0.024,153.651,0.015,0.353,55.537,0.205,Wine cellar [kW](t)
50388,0.006,6.838,0.001,-0.012,3.506,0.035,Garage door [kW](t)
50388,0.019,1012.249,0.006,0.038,90.447,0.023,Kitchen 12 [kW](t)
50388,0.08,inf,0.036,0.182,97.823,0.051,Kitchen 14 [kW](t)
50388,0.0,inf,0.0,-0.184,52.784,0.0,Kitchen 38 [kW](t)
50388,0.099,160.778,0.067,0.328,44.086,0.053,Barn [kW](t)
50388,0.156,5546.863,0.07,-0.033,94.699,0.096,Well [kW](t)
50388,0.068,633.625,0.029,-0.06,72.911,0.036,Microwave [kW](t)
50388,0.069,2722.749,0.05,0.374,84.882,0.201,Living room [kW](t)
50388,0.05,1270.2,0.039,0.867,72.405,0.09,Solar [kW](t)
50388,3.706,17.854,2.964,0.927,10.393,0.059,temperature(t)
50388,0.058,6.664,0.046,0.759,3.231,0.126,humidity(t)
50388,1.252,18.17,0.975,0.808,8.293,0.145,visibility(t)
50388,3.849,21.782,3.09,0.918,12.295,0.061,apparentTemperature(t)
50388,2.617,0.208,2.116,0.943,0.104,0.065,pressure(t)
50388,2.17,55.713,1.689,0.724,15.957,0.114,windSpeed(t)
50388,42.587,34.632,31.406,0.845,15.01,0.125,windBearing(t)
50388,0.019,inf,0.014,0.421,79.001,0.106,precipIntensity(t)
50388,3.558,16.031,2.829,0.944,9.482,0.054,dewPoint(t)
50388,0.12,inf,0.094,0.788,69.875,0.145,precipProbability(t)
67184,0.372,118.049,0.275,0.624,19.462,0.057,use [kW](t)
67184,0.065,inf,0.05,0.854,62.93,0.124,gen [kW](t)
67184,0.118,inf,0.072,0.303,98.051,0.089,Dishwasher [kW](t)
67184,0.217,131.159,0.169,0.082,33.803,0.121,Furnace 1 [kW](t)
67184,0.218,130.968,0.184,0.144,36.583,0.314,Furnace 2 [kW](t)
67184,0.079,95.916,0.053,0.252,40.174,0.166,Home office [kW](t)
67184,0.075,799.379,0.06,0.053,59.903,0.115,Fridge [kW](t)
67184,0.027,145.859,0.016,0.374,51.475,0.224,Wine cellar [kW](t)
67184,0.012,23.153,0.004,0.027,12.419,0.037,Garage door [kW](t)
67184,0.004,inf,0.001,-0.159,82.119,0.024,Kitchen 12 [kW](t)
67184,0.077,inf,0.034,-0.021,97.864,0.048,Kitchen 14 [kW](t)
67184,0.0,inf,0.0,-0.53,55.672,0.0,Kitchen 38 [kW](t)
67184,0.105,104.111,0.037,-0.167,36.242,0.017,Barn [kW](t)
67184,0.149,7987.779,0.088,-0.48,97.209,0.092,Well [kW](t)
67184,0.085,934.837,0.041,-0.477,80.642,0.046,Microwave [kW](t)
67184,0.051,1941.211,0.035,0.401,91.32,0.149,Living room [kW](t)
67184,0.065,inf,0.05,0.854,62.93,0.124,Solar [kW](t)
67184,2.019,3.837,1.526,0.938,1.918,0.053,temperature(t)
67184,0.069,10.839,0.056,0.628,5.277,0.157,humidity(t)
67184,0.107,0.676,0.066,0.751,0.339,0.074,visibility(t)
67184,3.322,6.871,2.419,0.89,3.528,0.077,apparentTemperature(t)
67184,2.051,0.157,1.584,0.862,0.079,0.102,pressure(t)
67184,1.846,22.059,1.414,0.545,8.743,0.128,windSpeed(t)
67184,33.997,12.89,27.584,0.181,6.093,0.25,windBearing(t)
67184,0.001,inf,0.001,0.847,94.111,0.079,precipIntensity(t)
67184,2.844,10.935,2.249,0.892,5.247,0.079,dewPoint(t)
67184,0.042,inf,0.03,0.844,95.01,0.078,precipProbability(t)
83980,0.208,99.219,0.148,0.714,17.178,0.057,use [kW](t)
83980,0.045,943.895,0.036,0.891,55.88,0.103,gen [kW](t)
83980,0.157,inf,0.107,0.22,96.545,0.116,Dishwasher [kW](t)
83980,0.112,283.135,0.08,0.015,60.968,0.178,Furnace 1 [kW](t)
83980,0.09,62.31,0.054,0.216,28.529,0.144,Furnace 2 [kW](t)
83980,0.083,113.013,0.063,0.458,43.473,0.204,Home office [kW](t)
83980,0.059,432.147,0.042,0.284,56.353,0.094,Fridge [kW](t)
83980,0.034,221.316,0.026,0.458,52.416,0.279,Wine cellar [kW](t)
83980,0.01,40.466,0.006,-0.675,17.999,0.054,Garage door [kW](t)
83980,0.004,304.986,0.002,-0.319,70.061,0.025,Kitchen 12 [kW](t)
83980,0.127,inf,0.094,-0.988,98.736,0.079,Kitchen 14 [kW](t)
83980,0.0,inf,0.0,-1.78,76.0,0.0,Kitchen 38 [kW](t)
83980,0.025,44.459,0.016,-0.69,19.552,0.087,Barn [kW](t)
83980,0.13,7473.73,0.08,-0.596,96.062,0.081,Well [kW](t)
83980,0.093,1356.329,0.058,-0.946,86.823,0.05,Microwave [kW](t)
83980,0.087,3689.828,0.073,0.323,85.895,0.252,Living room [kW](t)
83980,0.045,943.895,0.036,0.891,55.88,0.103,Solar [kW](t)
83980,2.649,4.276,2.098,0.924,2.131,0.067,temperature(t)
83980,0.083,11.853,0.066,0.793,5.591,0.13,humidity(t)
83980,0.398,2.961,0.264,0.742,1.472,0.103,visibility(t)
83980,3.021,5.076,2.431,0.919,2.538,0.076,apparentTemperature(t)
83980,3.109,0.256,2.607,0.71,0.128,0.183,pressure(t)
83980,2.023,29.035,1.536,0.663,11.81,0.154,windSpeed(t)
83980,55.728,154.057,43.644,0.059,8.746,0.156,windBearing(t)
83980,0.002,inf,0.001,0.863,77.707,0.096,precipIntensity(t)
83980,4.073,8.818,3.239,0.849,4.303,0.128,dewPoint(t)
83980,0.068,inf,0.051,0.872,78.747,0.111,precipProbability(t)
100776,0.385,101.266,0.297,0.597,20.463,0.067,use [kW](t)
100776,0.074,inf,0.056,0.789,58.72,0.139,gen [kW](t)
100776,0.142,inf,0.091,0.389,96.59,0.105,Dishwasher [kW](t)
100776,0.165,116.813,0.142,0.285,33.748,0.267,Furnace 1 [kW](t)
100776,0.174,74.29,0.126,0.265,30.118,0.273,Furnace 2 [kW](t)
100776,0.082,86.033,0.056,0.42,34.412,0.088,Home office [kW](t)
100776,0.064,660.482,0.049,0.308,56.201,0.103,Fridge [kW](t)
100776,0.033,174.518,0.024,0.255,46.233,0.186,Wine cellar [kW](t)
100776,0.006,14.255,0.002,0.047,6.937,0.032,Garage door [kW](t)
100776,0.003,122.528,0.001,-0.43,42.181,0.022,Kitchen 12 [kW](t)
100776,0.093,inf,0.038,0.145,97.141,0.06,Kitchen 14 [kW](t)
100776,0.0,inf,0.0,-0.224,63.016,0.0,Kitchen 38 [kW](t)
100776,0.013,11.134,0.005,-0.055,5.99,0.087,Barn [kW](t)
100776,0.164,6034.248,0.077,-0.054,93.674,0.102,Well [kW](t)
100776,0.086,717.349,0.033,0.011,74.68,0.046,Microwave [kW](t)
100776,0.084,3360.776,0.066,0.265,86.31,0.244,Living room [kW](t)
100776,0.074,inf,0.056,0.789,58.72,0.139,Solar [kW](t)
100776,1.816,3.352,1.481,0.91,1.666,0.073,temperature(t)
100776,0.051,7.713,0.04,0.928,3.768,0.075,humidity(t)
100776,1.083,12.245,0.868,0.706,5.61,0.158,visibility(t)
100776,2.525,5.09,2.054,0.885,2.52,0.082,apparentTemperature(t)
100776,2.124,0.176,1.787,0.733,0.088,0.141,pressure(t)
100776,1.282,15.732,1.054,0.703,7.563,0.107,windSpeed(t)
100776,60.121,108.482,46.392,0.635,23.882,0.17,windBearing(t)
100776,0.002,inf,0.002,0.744,92.105,0.083,precipIntensity(t)
100776,2.816,8.946,2.18,0.804,4.161,0.097,dewPoint(t)
100776,0.067,inf,0.052,0.789,92.196,0.108,precipProbability(t)
117572,0.431,40.582,0.246,0.305,15.137,0.071,use [kW](t)
117572,0.032,inf,0.023,0.684,56.134,0.091,gen [kW](t)
117572,0.106,inf,0.047,0.234,98.214,0.079,Dishwasher [kW](t)
117572,0.095,63.074,0.06,0.267,26.382,0.077,Furnace 1 [kW](t)
117572,0.105,46.447,0.064,0.101,25.139,0.176,Furnace 2 [kW](t)
117572,0.07,111.854,0.058,0.668,33.867,0.143,Home office [kW](t)
117572,0.076,760.739,0.062,-0.19,66.267,0.124,Fridge [kW](t)
117572,0.033,139.398,0.027,0.368,37.306,0.221,Wine cellar [kW](t)
117572,0.013,46.492,0.007,-0.283,20.337,0.057,Garage door [kW](t)
117572,0.002,113.74,0.001,-0.012,42.633,0.024,Kitchen 12 [kW](t)
117572,0.083,inf,0.047,-0.005,98.685,0.053,Kitchen 14 [kW](t)
117572,0.0,inf,0.0,-0.204,61.344,0.0,Kitchen 38 [kW](t)
117572,0.32,455.084,0.168,-0.143,77.966,0.056,Barn [kW](t)
117572,0.116,3608.78,0.045,-0.03,90.858,0.072,Well [kW](t)
117572,0.119,1612.828,0.072,-0.278,86.735,0.063,Microwave [kW](t)
117572,0.063,2418.274,0.046,0.307,87.518,0.181,Living room [kW](t)
117572,0.032,inf,0.023,0.684,56.134,0.091,Solar [kW](t)
117572,2.271,6.639,1.732,0.796,3.365,0.101,temperature(t)
117572,0.08,13.398,0.067,0.817,6.252,0.143,humidity(t)
117572,0.9,14.852,0.677,0.893,6.232,0.101,visibility(t)
117572,2.725,14.466,2.139,0.749,6.85,0.098,apparentTemperature(t)
117572,3.223,0.254,2.596,0.748,0.127,0.13,pressure(t)
117572,2.884,52.456,2.284,0.679,17.167,0.129,windSpeed(t)
117572,100.155,inf,81.054,0.457,32.959,0.279,windBearing(t)
117572,0.002,inf,0.001,0.856,82.651,0.109,precipIntensity(t)
117572,2.89,28.409,2.392,0.737,11.803,0.165,dewPoint(t)
117572,0.062,inf,0.048,0.867,84.097,0.105,precipProbability(t)
134368,0.461,348.46,0.385,0.31,29.581,0.097,use [kW](t)
134368,0.088,1429.197,0.07,0.727,60.149,0.159,gen [kW](t)
134368,0.192,inf,0.155,0.009,96.889,0.141,Dishwasher [kW](t)
134368,0.146,320.101,0.099,0.317,52.356,0.103,Furnace 1 [kW](t)
134368,0.115,94.703,0.083,0.391,30.731,0.184,Furnace 2 [kW](t)
134368,0.054,68.071,0.036,0.318,27.332,0.09,Home office [kW](t)
134368,0.049,410.414,0.036,0.486,52.299,0.079,Fridge [kW](t)
134368,0.038,125.965,0.03,0.131,45.203,0.25,Wine cellar [kW](t)
134368,0.012,26.91,0.004,0.019,12.686,0.038,Garage door [kW](t)
134368,0.0,21.712,0.0,0.399,8.963,0.0,Kitchen 12 [kW](t)
134368,0.058,inf,0.03,-0.023,97.651,0.036,Kitchen 14 [kW](t)
134368,0.0,inf,0.0,-0.903,67.435,0.0,Kitchen 38 [kW](t)
134368,0.17,339.446,0.12,-0.217,54.847,0.041,Barn [kW](t)
134368,0.198,11941.569,0.132,-0.755,97.038,0.122,Well [kW](t)
134368,0.134,1807.649,0.08,-0.649,86.711,0.072,Microwave [kW](t)
134368,0.086,3349.814,0.065,0.386,87.329,0.25,Living room [kW](t)
134368,0.088,1429.197,0.07,0.727,60.149,0.159,Solar [kW](t)
134368,3.592,5.92,2.779,0.924,2.876,0.08,temperature(t)
134368,0.059,13.29,0.045,0.936,6.592,0.087,humidity(t)
134368,0.006,0.047,0.005,-0.499,0.023,0.15,visibility(t)
134368,3.985,6.901,3.045,0.918,3.3,0.082,apparentTemperature(t)
134368,1.636,0.125,1.284,0.759,0.062,0.129,pressure(t)
134368,1.849,44.127,1.476,0.652,21.979,0.139,windSpeed(t)
134368,97.358,inf,76.413,0.403,44.669,0.271,windBearing(t)
134368,0.0,,0.0,1.0,,,precipIntensity(t)
134368,3.055,10.01,2.369,0.79,4.927,0.126,dewPoint(t)
134368,0.0,,0.0,1.0,,,precipProbability(t)
