window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.301,16.741,0.164,0.815,7.568,0.066,use [kW](t)
0,0.028,inf,0.008,0.867,10.059,0.052,gen [kW](t)
0,0.068,inf,0.01,0.907,59.916,0.05,Dishwasher [kW](t)
0,0.08,64.995,0.038,0.851,16.189,0.052,Furnace 1 [kW](t)
0,0.088,29.878,0.039,0.86,9.641,0.132,Furnace 2 [kW](t)
0,0.02,3.991,0.005,0.96,1.912,0.023,Home office [kW](t)
0,0.023,45.774,0.007,0.918,12.453,0.037,Fridge [kW](t)
0,0.005,5.856,0.001,0.982,2.611,0.042,Wine cellar [kW](t)
0,0.005,4.853,0.001,0.283,1.986,0.034,Garage door [kW](t)
0,0.001,13.633,0.0,-1.385,4.316,0.035,Kitchen 12 [kW](t)
0,0.065,inf,0.01,0.566,77.928,0.041,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-0.015,62.229,0.0,Kitchen 38 [kW](t)
0,0.029,12.731,0.008,0.857,5.844,0.028,Barn [kW](t)
0,0.126,1044.487,0.024,0.348,74.055,0.078,Well [kW](t)
0,0.08,317.443,0.018,0.033,34.267,0.043,Microwave [kW](t)
0,0.018,146.454,0.006,0.982,17.525,0.052,Living room [kW](t)
0,0.028,inf,0.008,0.866,10.039,0.052,Solar [kW](t)
0,4.053,4.638,2.0,0.855,2.479,0.103,temperature(t)
0,0.031,2.777,0.021,0.976,1.421,0.054,humidity(t)
0,1.58,19.063,0.724,0.497,6.063,0.196,visibility(t)
0,4.653,6.036,2.241,0.864,3.237,0.104,apparentTemperature(t)
0,6.571,0.407,4.063,0.413,0.203,0.228,pressure(t)
0,0.659,5.502,0.356,0.977,2.484,0.041,windSpeed(t)
0,16.708,7.065,11.364,0.956,3.418,0.065,windBearing(t)
0,0.024,inf,0.009,-0.119,89.38,0.185,precipIntensity(t)
0,6.511,10.675,3.377,0.824,5.922,0.132,dewPoint(t)
0,0.284,inf,0.133,-0.221,91.587,0.351,precipProbability(t)
16796,0.28,215.229,0.15,0.816,9.189,0.036,use [kW](t)
16796,0.008,inf,0.004,0.996,7.519,0.018,gen [kW](t)
16796,0.064,inf,0.009,0.927,48.936,0.047,Dishwasher [kW](t)
16796,0.066,43.839,0.03,0.899,11.571,0.107,Furnace 1 [kW](t)
16796,0.099,34.633,0.05,0.86,10.811,0.147,Furnace 2 [kW](t)
16796,0.013,3.341,0.003,0.989,1.551,0.021,Home office [kW](t)
16796,0.019,42.608,0.006,0.917,12.843,0.031,Fridge [kW](t)
16796,0.004,3.548,0.001,0.988,1.596,0.034,Wine cellar [kW](t)
16796,0.008,4.565,0.001,0.413,2.142,0.032,Garage door [kW](t)
16796,0.042,1692.644,0.013,0.242,34.001,0.046,Kitchen 12 [kW](t)
16796,0.054,inf,0.004,0.575,75.772,0.033,Kitchen 14 [kW](t)
16796,0.0,inf,0.0,0.072,61.382,0.0,Kitchen 38 [kW](t)
16796,0.101,9.955,0.016,0.637,4.255,0.015,Barn [kW](t)
16796,0.108,860.887,0.018,0.349,70.421,0.067,Well [kW](t)
16796,0.08,76.821,0.008,0.355,11.274,0.043,Microwave [kW](t)
16796,0.015,35.936,0.004,0.964,8.191,0.043,Living room [kW](t)
16796,0.008,inf,0.004,0.996,7.549,0.018,Solar [kW](t)
16796,0.478,1.624,0.342,0.989,0.799,0.023,temperature(t)
16796,0.018,2.274,0.009,0.951,1.078,0.053,humidity(t)
16796,0.053,0.26,0.021,0.997,0.129,0.016,visibility(t)
16796,0.755,5.384,0.578,0.983,2.658,0.032,apparentTemperature(t)
16796,0.821,0.055,0.562,0.979,0.028,0.046,pressure(t)
16796,0.359,2.849,0.245,0.99,1.418,0.026,windSpeed(t)
16796,13.619,inf,3.947,0.992,7.453,0.038,windBearing(t)
16796,0.0,inf,0.0,0.901,93.72,0.0,precipIntensity(t)
16796,0.296,3.802,0.224,0.987,1.952,0.027,dewPoint(t)
16796,0.018,inf,0.002,0.776,94.001,0.062,precipProbability(t)
33592,0.203,32.572,0.113,0.801,9.036,0.052,use [kW](t)
33592,0.013,inf,0.005,0.987,9.726,0.028,gen [kW](t)
33592,0.044,inf,0.004,0.881,63.995,0.033,Dishwasher [kW](t)
33592,0.066,54.81,0.031,0.853,15.991,0.084,Furnace 1 [kW](t)
33592,0.073,21.957,0.029,0.868,7.674,0.106,Furnace 2 [kW](t)
33592,0.013,3.025,0.003,0.977,1.471,0.03,Home office [kW](t)
33592,0.017,43.019,0.006,0.913,12.548,0.067,Fridge [kW](t)
33592,0.005,5.687,0.001,0.982,2.567,0.042,Wine cellar [kW](t)
33592,0.009,4.552,0.001,0.28,2.057,0.047,Garage door [kW](t)
33592,0.001,129.695,0.001,-42.902,31.636,0.429,Kitchen 12 [kW](t)
33592,0.046,inf,0.006,0.338,82.07,0.029,Kitchen 14 [kW](t)
33592,0.0,inf,0.0,0.042,67.634,0.0,Kitchen 38 [kW](t)
33592,0.074,20.444,0.017,0.57,7.994,0.041,Barn [kW](t)
33592,0.101,811.759,0.016,0.326,71.324,0.063,Well [kW](t)
33592,0.061,236.835,0.012,0.241,28.393,0.033,Microwave [kW](t)
33592,0.019,32.422,0.004,0.952,6.358,0.055,Living room [kW](t)
33592,0.015,inf,0.005,0.982,9.922,0.032,Solar [kW](t)
33592,0.84,1.514,0.622,0.994,0.759,0.021,temperature(t)
33592,0.029,2.313,0.019,0.962,1.181,0.066,humidity(t)
33592,2.039,46.752,0.903,0.417,8.711,0.222,visibility(t)
33592,0.947,2.203,0.721,0.995,1.089,0.022,apparentTemperature(t)
33592,0.347,0.027,0.274,0.995,0.013,0.02,pressure(t)
33592,0.458,2.821,0.221,0.98,1.404,0.028,windSpeed(t)
33592,13.33,inf,4.637,0.978,3.439,0.037,windBearing(t)
33592,0.02,inf,0.008,-0.159,81.302,0.194,precipIntensity(t)
33592,6.358,7.667,3.436,0.746,4.271,0.152,dewPoint(t)
33592,0.309,inf,0.168,-0.307,84.968,0.391,precipProbability(t)
50388,0.294,14.739,0.157,0.837,6.309,0.048,use [kW](t)
50388,0.009,63.973,0.003,0.996,10.378,0.016,gen [kW](t)
50388,0.067,inf,0.012,0.903,43.513,0.05,Dishwasher [kW](t)
50388,0.062,24.693,0.035,0.891,8.134,0.094,Furnace 1 [kW](t)
50388,0.109,42.061,0.069,0.851,13.805,0.152,Furnace 2 [kW](t)
50388,0.022,5.544,0.006,0.947,2.649,0.042,Home office [kW](t)
50388,0.02,40.826,0.007,0.919,12.891,0.033,Fridge [kW](t)
50388,0.004,6.571,0.001,0.983,2.839,0.034,Wine cellar [kW](t)
50388,0.005,3.596,0.001,0.124,1.746,0.029,Garage door [kW](t)
50388,0.015,38.857,0.001,0.419,7.394,0.018,Kitchen 12 [kW](t)
50388,0.059,inf,0.008,0.56,77.615,0.038,Kitchen 14 [kW](t)
50388,0.0,inf,0.0,0.038,52.839,0.0,Kitchen 38 [kW](t)
50388,0.097,12.811,0.016,0.362,5.913,0.052,Barn [kW](t)
50388,0.122,983.941,0.022,0.367,71.929,0.075,Well [kW](t)
50388,0.064,90.719,0.007,0.062,9.567,0.034,Microwave [kW](t)
50388,0.013,78.036,0.002,0.979,13.608,0.038,Living room [kW](t)
50388,0.009,64.403,0.003,0.996,10.556,0.016,Solar [kW](t)
50388,3.351,6.246,1.859,0.94,3.239,0.053,temperature(t)
50388,0.01,0.997,0.007,0.992,0.499,0.022,humidity(t)
50388,0.303,3.39,0.146,0.989,1.748,0.035,visibility(t)
50388,3.102,6.051,1.609,0.947,3.15,0.049,apparentTemperature(t)
50388,1.381,0.076,0.768,0.984,0.038,0.034,pressure(t)
50388,0.325,4.21,0.199,0.994,1.957,0.017,windSpeed(t)
50388,8.184,3.871,3.49,0.994,1.91,0.024,windBearing(t)
50388,0.024,inf,0.006,0.125,70.04,0.134,precipIntensity(t)
50388,7.607,12.365,3.901,0.743,7.217,0.115,dewPoint(t)
50388,0.076,inf,0.033,0.915,64.887,0.092,precipProbability(t)
67184,0.255,57.529,0.131,0.824,9.941,0.039,use [kW](t)
67184,0.02,inf,0.006,0.987,5.741,0.038,gen [kW](t)
67184,0.037,inf,0.003,0.932,58.675,0.028,Dishwasher [kW](t)
67184,0.084,17.167,0.031,0.864,6.842,0.047,Furnace 1 [kW](t)
67184,0.086,18.938,0.037,0.866,6.99,0.124,Furnace 2 [kW](t)
67184,0.008,3.24,0.002,0.992,1.61,0.017,Home office [kW](t)
67184,0.022,37.359,0.006,0.916,10.447,0.034,Fridge [kW](t)
67184,0.004,4.35,0.001,0.983,1.812,0.033,Wine cellar [kW](t)
67184,0.01,4.963,0.001,0.364,2.225,0.031,Garage door [kW](t)
67184,0.005,inf,0.0,-0.727,6.33,0.03,Kitchen 12 [kW](t)
67184,0.047,inf,0.004,0.617,75.948,0.03,Kitchen 14 [kW](t)
67184,0.0,inf,0.0,0.044,54.614,0.0,Kitchen 38 [kW](t)
67184,0.095,15.051,0.008,0.031,6.961,0.016,Barn [kW](t)
67184,0.097,847.681,0.016,0.372,72.472,0.06,Well [kW](t)
67184,0.062,99.829,0.007,0.206,10.684,0.033,Microwave [kW](t)
67184,0.01,21.004,0.001,0.976,4.756,0.029,Living room [kW](t)
67184,0.02,inf,0.006,0.987,5.737,0.038,Solar [kW](t)
67184,0.628,1.131,0.45,0.994,0.565,0.016,temperature(t)
67184,0.009,1.219,0.006,0.994,0.61,0.02,humidity(t)
