window,rmse,mape,mae,r2,smape,nrmse,variable
0,25.543,44.365,18.296,0.811,19.531,0.099,PM2.5
0,40.536,37.632,28.013,0.651,14.749,0.138,PM10
0,13.631,52.573,8.407,0.319,22.032,0.136,SO2
0,16.252,32.67,12.148,0.568,12.879,0.137,NO2
0,224.693,21.161,159.71,0.583,9.961,0.15,CO
0,7805.934,13031.52,2468.626,0.059,94.532,0.1,O3
0,2.832,22.561,2.009,0.583,10.9,0.131,TEMP
0,2.658,0.189,1.909,0.828,0.095,0.107,PRES
0,2.647,inf,1.852,0.779,39.224,0.114,DEWP
0,0.0,inf,0.0,0.0,100.0,,RAIN
0,0.963,inf,0.731,0.358,18.682,0.15,WSPM
0,28.161,66.909,21.254,0.81,26.549,0.1,PM2.5.1
0,41.112,36.502,24.188,0.62,15.405,0.103,PM10.1
0,9.593,61.092,6.18,0.556,25.945,0.133,SO2.1
0,13.617,41.282,9.659,0.483,14.641,0.172,NO2.1
0,218.825,22.757,143.694,0.607,10.48,0.129,CO.1
0,7460.857,6744.045,2926.975,0.082,90.246,0.101,O3.1
0,2.642,20.488,1.887,0.599,9.875,0.123,TEMP.1
0,2.701,0.193,1.943,0.819,0.097,0.109,PRES.1
0,2.737,156.644,1.882,0.802,30.649,0.108,DEWP.1
0,0.063,inf,0.024,-0.574,99.965,0.105,RAIN.1
0,1.343,inf,1.049,0.175,27.968,0.217,WSPM.1
0,32.238,126.617,22.033,0.77,30.605,0.127,PM2.5.2
0,37.625,70.95,25.028,0.717,22.115,0.14,PM10.2
0,8.946,74.784,6.001,0.61,32.066,0.11,SO2.2
0,13.324,68.674,9.966,0.56,21.343,0.143,NO2.2
0,237.998,28.903,151.015,0.63,12.869,0.125,CO.2
0,8388.382,6220.234,3825.93,0.098,92.684,0.097,O3.2
0,2.642,20.488,1.887,0.599,9.875,0.123,TEMP.2
0,2.701,0.193,1.943,0.819,0.097,0.109,PRES.2
0,2.737,156.644,1.882,0.802,30.649,0.108,DEWP.2
0,0.063,inf,0.024,-0.574,99.965,0.105,RAIN.2
0,1.343,inf,1.049,0.175,27.968,0.217,WSPM.2
0,27.709,59.78,19.758,0.801,20.735,0.101,PM2.5.3
0,47.635,61.192,29.857,0.555,17.755,0.126,PM10.3
0,12.754,55.759,7.85,0.299,23.992,0.134,SO2.3
0,15.654,39.4,11.337,0.634,15.203,0.153,NO2.3
0,318.631,30.706,225.3,0.569,12.974,0.106,CO.3
0,278.398,369.527,89.681,-0.098,45.002,0.087,O3.3
0,2.735,20.51,1.974,0.542,10.365,0.127,TEMP.3
0,2.634,0.188,1.895,0.831,0.094,0.107,PRES.3
0,2.804,110.284,2.054,0.791,33.731,0.108,DEWP.3
0,0.012,inf,0.004,-1.0,99.96,0.12,RAIN.3
0,1.258,inf,0.927,0.164,24.028,0.203,WSPM.3
0,24.041,46.364,17.335,0.832,20.105,0.1,PM2.5.4
0,31.462,32.664,22.868,0.714,14.047,0.125,PM10.4
0,14.279,62.865,8.376,0.377,25.757,0.13,SO2.4
0,5707.468,2584.275,1582.235,0.014,85.317,0.096,NO2.4
0,314.771,33.484,229.013,0.591,14.563,0.112,CO.4
0,9752.911,21934.95,3416.919,-0.122,92.611,0.111,O3.4
0,2.832,22.561,2.009,0.583,10.9,0.131,TEMP.4
0,2.658,0.189,1.909,0.828,0.095,0.107,PRES.4
0,2.647,inf,1.852,0.779,39.224,0.114,DEWP.4
0,0.0,,0.0,1.0,,,RAIN.4
0,0.963,inf,0.731,0.358,18.682,0.15,WSPM.4
0,29.117,110.567,21.933,0.77,23.631,0.131,PM2.5.5
0,39.858,67.18,28.938,0.724,18.565,0.137,PM10.5
0,9.878,46.729,5.894,0.56,22.637,0.139,SO2.5
0,17.249,39.542,12.886,0.649,15.084,0.158,NO2.5
0,233.542,21.597,167.028,0.74,9.951,0.123,CO.5
0,17147.634,29440.933,6535.199,-0.535,94.0,0.172,O3.5
0,2.717,19.642,1.91,0.59,9.983,0.128,TEMP.5
0,2.669,0.191,1.918,0.828,0.095,0.108,PRES.5
0,2.941,inf,1.969,0.779,35.139,0.121,DEWP.5
0,0.0,,0.0,1.0,,,RAIN.5
0,1.011,inf,0.689,0.16,21.292,0.147,WSPM.5
0,28.175,96.075,19.599,0.757,27.284,0.114,PM2.5.6
0,48.057,66.498,32.374,0.533,19.814,0.155,PM10.6
0,15.067,89.922,9.625,0.343,33.612,0.159,SO2.6
0,16.398,81.884,12.249,0.417,22.396,0.182,NO2.6
0,209.264,27.984,156.108,0.63,11.859,0.131,CO.6
0,11586.879,15300.381,3677.81,-0.781,93.65,0.112,O3.6
0,2.928,30.968,2.033,0.533,12.225,0.139,TEMP.6
0,2.543,0.182,1.826,0.83,0.091,0.105,PRES.6
0,2.699,130.118,2.032,0.808,31.198,0.093,DEWP.6
0,0.066,inf,0.019,0.031,99.911,0.082,RAIN.6
0,1.392,56.19,0.992,0.332,22.2,0.119,WSPM.6
0,24.456,46.484,18.13,0.734,18.525,0.109,PM2.5.7
0,40.742,49.398,27.836,0.563,17.177,0.149,PM10.7
0,15.084,82.363,9.781,0.17,29.7,0.152,SO2.7
0,17.39,30.155,12.905,0.562,12.865,0.157,NO2.7
0,290.987,28.78,203.727,0.474,12.849,0.162,CO.7
0,5624.261,7196.837,1791.152,-0.028,91.818,0.085,O3.7
0,2.735,20.51,1.974,0.542,10.365,0.127,TEMP.7
0,2.634,0.188,1.895,0.831,0.094,0.107,PRES.7
0,2.804,110.284,2.054,0.791,33.731,0.108,DEWP.7
0,0.012,inf,0.004,-1.0,99.96,0.12,RAIN.7
0,1.258,inf,0.927,0.164,24.028,0.203,WSPM.7
0,24.215,53.464,17.514,0.793,21.109,0.105,PM2.5.8
0,37.179,59.474,26.614,0.581,18.59,0.143,PM10.8
0,12.327,100.711,8.478,0.234,33.486,0.196,SO2.8
0,14.897,35.674,10.918,0.53,15.469,0.146,NO2.8
0,240.133,26.005,187.652,0.495,11.21,0.172,CO.8
0,6693.23,14731.893,3425.57,0.171,95.033,0.11,O3.8
0,2.628,19.279,1.882,0.576,9.876,0.122,TEMP.8
0,2.587,0.184,1.856,0.833,0.092,0.104,PRES.8
0,2.478,inf,1.862,0.824,35.13,0.102,DEWP.8
0,0.0,,0.0,1.0,,,RAIN.8
0,1.144,inf,0.862,0.34,20.475,0.166,WSPM.8
0,25.396,54.954,19.103,0.806,22.028,0.098,PM2.5.9
0,34.73,38.303,23.943,0.616,15.452,0.125,PM10.9
0,14.588,86.19,9.006,0.178,30.076,0.146,SO2.9
0,14.074,35.448,10.459,0.467,14.499,0.166,NO2.9
0,313.375,29.931,223.53,0.534,13.379,0.098,CO.9
0,8219.091,18821.656,3699.079,0.005,96.173,0.1,O3.9
0,2.735,20.51,1.974,0.542,10.365,0.127,TEMP.9
0,2.634,0.188,1.895,0.831,0.094,0.107,PRES.9
0,2.804,110.284,2.054,0.791,33.731,0.108,DEWP.9
0,0.012,inf,0.004,-1.0,99.96,0.12,RAIN.9
0,1.258,inf,0.927,0.164,24.028,0.203,WSPM.9
0,26.355,67.147,20.264,0.845,23.71,0.097,PM2.5.10
0,36.589,42.276,27.151,0.731,16.9,0.13,PM10.10
0,13.325,40.625,8.093,0.514,18.376,0.131,SO2.10
0,17.372,21.777,12.263,0.673,10.034,0.131,NO2.10
0,254.972,30.911,186.486,0.677,13.006,0.127,CO.10
0,6359.36,9651.872,1623.002,0.078,90.201,0.08,O3.10
0,2.832,22.561,2.009,0.583,10.9,0.131,TEMP.10
0,2.658,0.189,1.909,0.828,0.095,0.107,PRES.10
0,2.647,inf,1.852,0.779,39.224,0.114,DEWP.10
0,0.0,,0.0,1.0,,,RAIN.10
0,0.963,inf,0.731,0.358,18.682,0.15,WSPM.10
0,36.413,92.023,24.601,0.698,18.416,0.129,PM2.5.11
0,44.293,69.039,29.848,0.556,19.052,0.161,PM10.11
0,14.095,75.933,8.741,0.308,28.297,0.14,SO2.11
0,13.26,30.864,9.364,0.62,12.403,0.147,NO2.11
0,448.688,36.478,302.592,0.466,16.101,0.104,CO.11
0,9317.569,27547.573,2957.261,-0.781,94.31,0.112,O3.11
0,2.879,37.066,2.029,0.562,11.21,0.127,TEMP.11
0,2.69,0.191,1.925,0.827,0.096,0.109,PRES.11
0,2.893,inf,1.986,0.781,34.631,0.117,DEWP.11
0,0.0,,0.0,1.0,,,RAIN.11
0,0.957,inf,0.704,0.216,20.238,0.204,WSPM.11
570,13.711,23.994,10.602,0.855,10.301,0.11,PM2.5
570,29.933,38.884,23.907,0.562,16.193,0.135,PM10
570,2.975,30.488,2.032,0.636,12.664,0.076,SO2
570,23.118,30.843,18.499,0.442,14.472,0.153,NO2
570,282.937,23.914,208.998,0.527,11.205,0.141,CO
570,31.551,537.264,24.828,0.757,46.404,0.128,O3
570,2.401,7.239,1.907,0.666,3.657,0.15,TEMP
570,1.012,0.082,0.824,0.816,0.041,0.102,PRES
570,1.132,4.534,0.798,0.806,2.208,0.101,DEWP
570,0.12,inf,0.054,0.108,96.789,0.133,RAIN
570,0.6,inf,0.475,0.396,26.427,0.15,WSPM
570,12.154,28.889,10.013,0.859,13.442,0.109,PM2.5.1
570,21.396,38.826,17.028,0.665,14.451,0.101,PM10.1
570,6.015,203.444,4.564,0.334,50.102,0.194,SO2.1
570,12.131,44.878,9.176,0.412,18.089,0.164,NO2.1
570,260.414,26.281,201.249,0.625,12.849,0.124,CO.1
570,35.638,97.047,27.927,0.679,23.971,0.126,O3.1
570,2.155,6.181,1.671,0.711,3.142,0.152,TEMP.1
570,0.993,0.08,0.804,0.821,0.04,0.101,PRES.1
570,1.457,6.829,1.092,0.804,3.324,0.121,DEWP.1
570,0.973,inf,0.545,-0.712,98.349,0.12,RAIN.1
