,window,rmse,mape,mae,r2,variable,smape,nrmse
0,0,12.978590728841642,34.69479928844526,8.78166657551787,0.82011665605825,PM2.5,13.22281663383503,0.08595093197908373
1,0,32.382717754100646,32.92307774317327,20.311692144637718,0.7628086608389918,PM10,12.008730155043786,0.10582587501340081
2,0,6.838471646915003,29.594114510748927,4.179194087372687,0.8773657101700909,SO2,11.82404880905552,0.060517448202787635
3,0,13.023589040779152,23.75923911336907,8.472407046565436,0.8322886740698758,NO2,10.436609096702416,0.10763296727916655
4,0,197.52898116284666,16.956549964987243,124.62138372435605,0.7950164545065248,CO,8.257102742571556,0.06811344178029195
5,0,12646.16654279804,14905.755458323227,4356.583844881457,-0.20371319393073195,O3,93.24832638615914,0.14226313675499683
6,0,1.7046986690447035,12.77189970225294,1.2322718390844818,0.8859793779204366,TEMP,6.441818017626883,0.07073438460766404
7,0,1.3688505620164026,0.08746846866740532,0.8810385338345862,0.9574160276730902,PRES,0.04376364532773181,0.05204754988655532
8,0,1.8796608282829108,inf,1.2667835020677263,0.8799083301717368,DEWP,24.05420212772705,0.08101986328805649
9,0,0.12107966758729576,inf,0.09008841234770484,0.0,RAIN,100.0,inf
10,0,1.1142387881372768,inf,0.846467984462143,0.5066486976132268,WSPM,18.032370132132797,0.146610366860168
11,1062,21.154067581812082,51.3582526665451,16.687442313459584,0.861284689168639,PM2.5,12.10666897222303,0.08564399830693151
12,1062,41.02658980351331,35.666844048969004,31.027936576900625,0.6480042298044764,PM10,13.712632915993167,0.0976823566750317
13,1062,5.615803291833028,37.260576738307805,3.4169567684201816,0.7422893606554205,SO2,18.890607147882037,0.08258534252695629
14,1062,17.725801512232135,23.81042230013438,12.8516903353813,0.6924676898444263,NO2,10.426591464278689,0.08206389588996359
15,1062,378.2707074728782,35.69198921453589,302.760405461591,0.7875619144534617,CO,13.740460746137382,0.12609023582429274
16,1062,63.409786916877465,433.61474256697886,51.90491051064398,-0.0544613141053194,O3,49.90516732732731,0.22327389759463895
17,1062,1.8318246820540542,5.983307718507582,1.3843791567293326,0.8114315892160638,TEMP,3.029245647919663,0.0925163980835381
18,1062,0.759796164921301,0.05468264158379918,0.5477207269883699,0.9445059469413353,PRES,0.027338870141126546,0.05628119740157785
19,1062,1.495004691168538,52.094601131819765,0.9205204106811294,0.8986742682693462,DEWP,5.968918605385895,0.07222244884872164
20,1062,0.966358539001276,inf,0.3445317476805776,0.13541533468113232,RAIN,93.24704747982777,0.09031388214965197
21,1062,0.6822681779783494,inf,0.4897589952201772,0.49623345944839803,WSPM,21.530566648222777,0.11563867423361854
22,2124,18.140874476074252,29.95273367376236,11.60011391173628,0.7774581232192653,PM2.5,10.64708483557419,0.09913046161789209
23,2124,29.095775391414747,63.17308198421223,20.304114685919053,0.5737925548397693,PM10,16.816084521614975,0.13855131138768928
24,2124,4.658912924118245,31.09342357850442,2.5031162244932994,0.7887418259522843,SO2,15.61472240997237,0.05897358131795247
25,2124,12.538994230683098,17.56761301047856,9.391225377419838,0.702817627392841,NO2,8.384424072275976,0.11610179843225091
26,2124,203.12921567010642,20.537237573980445,140.5291173260911,0.8311449444836021,CO,9.833929312406823,0.07812662141157939
27,2124,34.31273597100344,186.92728089315477,20.66329924771177,0.8101359166649946,O3,34.32478224994164,0.1030412491621725
28,2124,1.7438124900474063,3.968191999420339,1.07221574424801,0.8418182253502793,TEMP,1.9914960396424937,0.09581387307952782
29,2124,0.6962758033334061,0.049975145926497454,0.49752986592457854,0.9287093577770436,PRES,0.024989153415798045,0.05707178715847623
30,2124,0.988870132876319,3.2212619623387755,0.6679303219443874,0.7536385266262459,DEWP,1.5875955455465391,0.07491440400578174
31,2124,1.101039432129967,inf,0.29564693432435424,0.09668990135261679,RAIN,96.34042316694507,0.07490064164149436
32,2124,0.6171934563608544,inf,0.45222110300135787,0.3726942669376281,WSPM,23.21518943339951,0.14353336194438476
33,3186,13.86597253712474,43.26464288370308,10.415175574166435,0.8845553280829208,PM2.5,14.236706366285778,0.08666232835702962
34,3186,27.73442056941707,55.84626989693493,20.381222387901822,0.6953999747969333,PM10,17.13067530754875,0.1289973049740329
35,3186,2.652675263895401,26.152426926021523,2.014489616666521,0.8387851377691208,SO2,10.557319960015752,0.0947384022819786
36,3186,10.118725702663594,17.03203957497668,7.474321867290296,0.7946884991729986,NO2,7.547502567772961,0.09545967644022259
37,3186,225.98754655822083,27.354100027623872,162.4628874413053,0.9177321496647474,CO,10.94273000659167,0.06456787044520595
38,3186,11.452773917195533,284.2846860646751,7.621593846358303,0.8878181953523137,O3,48.52077162195691,0.07157983698247208
39,3186,1.067138738565092,4.5720790805943246,0.7915076112388667,0.9386438227762671,TEMP,2.2209600186437433,0.043379623518906174
40,3186,0.6514044238921403,0.0503168074554338,0.508349747048284,0.9732548546701173,PRES,0.025162439237054447,0.0348344611707026
41,3186,1.3954355739570077,16.39559086452334,0.9949320043836322,0.9286696003293258,DEWP,5.45926482719031,0.06460349879430592
42,3186,0.6698167486549612,inf,0.1956290292551744,0.09681413462709099,RAIN,95.19718587897135,0.06145107785825332
43,3186,0.6083199199189487,inf,0.4619079039733213,0.3831866752480305,WSPM,24.661727049155875,0.16008418945235495
44,4248,31.61398202197649,69.5103762417462,15.698312295054583,0.7438638107619726,PM2.5,28.898829877241916,0.09941503780495752
