window,rmse,mape,mae,r2,smape,nrmse,variable
0,12.095,35.51,8.624,0.844,13.947,0.08,PM2.5(t)
0,33.445,35.596,22.627,0.747,13.997,0.109,PM10(t)
0,8.804,48.006,5.847,0.797,18.659,0.078,SO2(t)
0,13.479,35.33,9.941,0.82,15.087,0.111,NO2(t)
0,238.708,24.421,163.72,0.701,10.932,0.082,CO(t)
0,15040.237,79651.836,7320.64,-0.703,96.408,0.169,O3(t)
0,1.998,16.936,1.519,0.843,8.247,0.083,TEMP(t)
0,2.133,0.173,1.739,0.897,0.086,0.081,PRES(t)
0,2.654,inf,2.008,0.761,33.635,0.114,DEWP(t)
0,0.0,,0.0,1.0,,,RAIN(t)
0,1.23,inf,0.923,0.399,20.0,0.162,WSPM(t)
1062,26.144,55.543,20.175,0.788,13.889,0.106,PM2.5(t)
1062,38.53,37.836,29.271,0.69,14.221,0.092,PM10(t)
1062,5.989,59.615,4.281,0.707,28.851,0.088,SO2(t)
1062,23.392,31.645,17.557,0.464,15.694,0.108,NO2(t)
1062,463.015,44.31,360.532,0.682,17.148,0.154,CO(t)
1062,29.88,165.476,21.438,0.766,32.537,0.105,O3(t)
1062,2.404,8.013,1.795,0.675,3.968,0.121,TEMP(t)
1062,1.924,0.156,1.567,0.644,0.078,0.143,PRES(t)
1062,2.502,92.273,1.855,0.716,9.207,0.121,DEWP(t)
1062,1.309,inf,0.848,-0.586,96.808,0.122,RAIN(t)
1062,0.822,inf,0.658,0.269,32.085,0.139,WSPM(t)
2124,22.866,42.837,16.323,0.646,16.442,0.125,PM2.5(t)
2124,34.28,74.44,23.863,0.408,18.342,0.163,PM10(t)
2124,6.146,61.086,3.813,0.632,27.023,0.078,SO2(t)
2124,16.142,24.951,12.639,0.507,11.456,0.149,NO2(t)
2124,288.839,34.934,213.106,0.659,15.295,0.111,CO(t)
2124,45.208,360.157,32.184,0.67,41.181,0.136,O3(t)
2124,3.175,9.144,2.435,0.476,4.565,0.174,TEMP(t)
2124,1.251,0.097,0.965,0.77,0.048,0.103,PRES(t)
2124,1.262,4.486,0.948,0.599,2.215,0.096,DEWP(t)
2124,1.617,inf,0.839,-0.947,96.475,0.11,RAIN(t)
2124,0.684,inf,0.515,0.229,25.921,0.159,WSPM(t)
3186,16.131,47.627,11.635,0.844,17.079,0.101,PM2.5(t)
3186,28.013,50.036,20.504,0.689,17.933,0.13,PM10(t)
3186,5.173,51.593,3.812,0.387,20.514,0.185,SO2(t)
3186,13.153,19.539,9.814,0.653,9.133,0.124,NO2(t)
3186,411.314,48.769,307.187,0.727,20.53,0.118,CO(t)
3186,16.357,470.355,11.536,0.771,51.929,0.102,O3(t)
3186,2.489,10.565,1.999,0.666,5.17,0.101,TEMP(t)
3186,2.723,0.205,2.066,0.533,0.102,0.146,PRES(t)
3186,2.328,27.052,1.824,0.801,8.208,0.108,DEWP(t)
3186,1.171,inf,0.61,-1.761,96.223,0.107,RAIN(t)
3186,0.662,inf,0.533,0.27,30.189,0.174,WSPM(t)
4248,34.873,101.176,20.023,0.688,38.267,0.11,PM2.5(t)
4248,43.924,87.34,28.321,0.606,31.341,0.134,PM10(t)
4248,14.48,125.959,10.605,0.243,43.919,0.179,SO2(t)
4248,18.835,39.73,12.179,0.693,16.193,0.119,NO2(t)
4248,832.042,96.431,615.113,-0.041,45.773,0.189,CO(t)
4248,32353.076,509278.417,25595.346,-3.887,96.138,0.495,O3(t)
4248,5.862,inf,4.628,-0.354,31.934,0.265,TEMP(t)
4248,1.808,0.137,1.392,0.793,0.068,0.093,PRES(t)
4248,7.097,144.129,5.786,-0.225,48.279,0.244,DEWP(t)
4248,0.0,,0.0,1.0,,,RAIN(t)
4248,1.205,inf,0.958,0.24,30.334,0.177,WSPM(t)
5310,50.995,64.145,35.702,0.789,32.904,0.096,PM2.5(t)
5310,65.894,70.196,45.751,0.73,33.262,0.104,PM10(t)
5310,20.572,34.232,14.711,0.737,16.436,0.108,SO2(t)
5310,17.528,26.444,12.933,0.798,11.471,0.1,NO2(t)
5310,739.415,30.515,500.778,0.756,15.863,0.096,CO(t)
5310,10.389,385.494,8.039,0.574,58.768,0.176,O3(t)
5310,2.132,inf,1.6,0.704,38.308,0.121,TEMP(t)
5310,2.171,0.154,1.574,0.596,0.077,0.146,PRES(t)
5310,4.13,31.363,3.11,0.462,16.618,0.177,DEWP(t)
5310,0.0,,0.0,1.0,,,RAIN(t)
5310,0.976,inf,0.761,-0.154,27.83,0.191,WSPM(t)
6372,37.587,75.988,24.472,0.91,23.657,0.073,PM2.5(t)
6372,47.314,98.832,33.355,0.882,24.947,0.092,PM10(t)
6372,23.754,63.166,18.934,0.81,23.943,0.129,SO2(t)
6372,15.838,22.099,11.6,0.834,10.074,0.101,NO2(t)
6372,748.542,34.076,537.09,0.838,19.29,0.105,CO(t)
6372,9.521,184.726,7.056,0.87,41.522,0.118,O3(t)
6372,1.616,inf,1.248,0.755,25.139,0.09,TEMP(t)
6372,1.142,0.087,0.891,0.888,0.044,0.086,PRES(t)
6372,3.046,62.235,2.272,0.798,25.291,0.112,DEWP(t)
6372,0.044,inf,0.027,-0.408,99.169,0.11,RAIN(t)
6372,0.73,inf,0.547,0.504,19.032,0.13,WSPM(t)
7434,26.2,19.511,19.832,0.79,9.329,0.095,PM2.5(t)
7434,55.438,34.772,42.698,0.691,12.956,0.093,PM10(t)
7434,6.95,28.135,5.171,0.608,11.715,0.12,SO2(t)
7434,15.005,18.101,11.793,0.655,8.291,0.097,NO2(t)
7434,262.599,19.758,205.351,0.67,9.519,0.125,CO(t)
7434,22.589,239.12,17.279,0.771,34.32,0.112,O3(t)
7434,2.43,12.057,1.891,0.663,5.872,0.11,TEMP(t)
7434,1.675,0.121,1.227,0.793,0.061,0.107,PRES(t)
7434,2.121,73.195,1.624,0.79,24.386,0.11,DEWP(t)
7434,0.082,inf,0.029,0.209,99.264,0.063,RAIN(t)
7434,0.618,inf,0.49,0.41,24.595,0.137,WSPM(t)
8496,18.638,44.255,13.547,0.707,14.236,0.127,PM2.5(t)
8496,62.004,77.179,34.033,0.495,22.285,0.086,PM10(t)
8496,8.381,102.547,6.268,0.782,43.016,0.092,SO2(t)
8496,20.184,31.967,14.919,0.686,13.831,0.102,NO2(t)
8496,322.169,35.184,217.628,0.742,15.378,0.101,CO(t)
8496,36.704,189.403,28.588,0.774,31.019,0.109,O3(t)
8496,3.402,10.76,2.705,0.665,5.605,0.132,TEMP(t)
8496,1.868,0.151,1.509,0.838,0.076,0.1,PRES(t)
8496,2.048,44.733,1.585,0.741,7.204,0.095,DEWP(t)
8496,1.741,inf,1.26,-0.83,97.63,0.15,RAIN(t)
8496,1.139,inf,0.893,0.187,43.195,0.163,WSPM(t)
9558,17.733,33.5,11.607,0.872,13.438,0.083,PM2.5(t)
9558,17.733,33.5,11.607,0.872,13.438,0.083,PM10(t)
9558,1.104,24.847,0.748,0.521,11.517,0.138,SO2(t)
9558,15.384,29.353,11.244,0.588,13.269,0.117,NO2(t)
9558,302.602,40.169,210.831,0.728,18.923,0.104,CO(t)
9558,27.51,80.36,21.297,0.777,20.052,0.113,O3(t)
9558,2.724,7.725,2.064,0.591,3.728,0.165,TEMP(t)
9558,1.219,0.091,0.911,0.783,0.046,0.11,PRES(t)
