window,rmse,mape,mae,r2,smape,nrmse,variable
0,23.702,67.955,17.074,0.4,19.182,0.157,PM2.5(t)
0,46.479,54.228,26.189,0.511,14.215,0.152,PM10(t)
0,9.136,58.408,6.156,0.781,17.159,0.081,SO2(t)
0,12.209,26.841,8.006,0.853,10.395,0.101,NO2(t)
0,403.079,32.101,198.076,0.146,10.92,0.139,CO(t)
0,11689.611,101.549,1997.405,-0.029,17.742,0.132,O3(t)
0,1.852,12.452,1.317,0.865,6.627,0.077,TEMP(t)
0,3.044,0.118,1.19,0.789,0.059,0.116,PRES(t)
0,2.142,inf,1.457,0.844,26.716,0.092,DEWP(t)
0,0.024,inf,0.009,0.0,100.0,inf,RAIN(t)
0,1.18,inf,0.884,0.447,18.409,0.155,WSPM(t)
1062,18.056,35.782,13.369,0.899,9.11,0.073,PM2.5(t)
1062,35.61,35.375,24.343,0.735,11.664,0.085,PM10(t)
1062,5.07,49.679,3.599,0.79,19.989,0.075,SO2(t)
1062,15.353,15.139,9.899,0.769,7.923,0.071,NO2(t)
1062,310.75,17.501,203.674,0.857,8.651,0.104,CO(t)
1062,39.483,219.12,29.179,0.591,43.289,0.139,O3(t)
1062,1.178,3.9,0.865,0.922,1.964,0.059,TEMP(t)
1062,0.972,0.07,0.706,0.909,0.035,0.072,PRES(t)
1062,1.76,20.426,1.13,0.86,6.786,0.085,DEWP(t)
1062,1.035,inf,0.191,0.007,96.945,0.097,RAIN(t)
1062,0.644,inf,0.493,0.551,21.991,0.109,WSPM(t)
2124,19.627,31.275,12.527,0.74,11.097,0.107,PM2.5(t)
2124,30.757,68.161,21.967,0.524,17.278,0.146,PM10(t)
2124,4.337,28.421,2.164,0.817,12.147,0.055,SO2(t)
2124,12.058,16.485,8.979,0.725,7.904,0.112,NO2(t)
2124,203.319,21.099,141.906,0.831,9.793,0.078,CO(t)
2124,33.272,149.956,18.46,0.821,29.072,0.1,O3(t)
2124,1.695,3.649,0.99,0.85,1.839,0.093,TEMP(t)
2124,0.699,0.048,0.481,0.928,0.024,0.057,PRES(t)
2124,1.006,3.191,0.675,0.745,1.593,0.076,DEWP(t)
2124,1.133,inf,0.26,0.044,95.824,0.077,RAIN(t)
2124,0.615,inf,0.454,0.377,23.042,0.143,WSPM(t)
3186,13.003,30.838,9.518,0.898,14.501,0.081,PM2.5(t)
3186,26.48,49.669,19.217,0.722,15.667,0.123,PM10(t)
3186,2.647,22.507,1.969,0.839,10.216,0.095,SO2(t)
3186,10.317,13.432,7.228,0.787,6.782,0.097,NO2(t)
3186,216.163,22.864,152.537,0.925,9.821,0.062,CO(t)
3186,11.853,362.48,7.954,0.88,45.451,0.074,O3(t)
3186,1.354,6.02,0.955,0.901,2.795,0.055,TEMP(t)
3186,1.044,0.074,0.752,0.931,0.037,0.056,PRES(t)
3186,1.699,22.788,1.165,0.894,6.709,0.079,DEWP(t)
3186,0.693,inf,0.117,0.033,95.441,0.064,RAIN(t)
3186,0.608,inf,0.464,0.383,24.557,0.16,WSPM(t)
4248,97.19,405.943,52.195,-1.421,45.632,0.306,PM2.5(t)
4248,97.754,230.324,55.544,-0.951,28.817,0.298,PM10(t)
4248,595.373,4185.237,316.412,-1278.958,86.444,7.35,SO2(t)
4248,21.325,34.987,12.552,0.606,16.861,0.135,NO2(t)
4248,629.767,32.201,321.114,0.404,17.463,0.143,CO(t)
4248,15597.982,654.004,5466.515,-0.136,46.38,0.239,O3(t)
4248,4.225,inf,2.617,0.297,21.14,0.191,TEMP(t)
4248,4.013,0.209,2.125,-0.021,0.105,0.207,PRES(t)
4248,7.1,85.096,4.431,-0.226,32.545,0.244,DEWP(t)
4248,0.004,inf,0.003,0.0,100.0,inf,RAIN(t)
4248,1.179,inf,0.865,0.273,26.298,0.173,WSPM(t)
5310,38.12,26.416,21.903,0.882,14.687,0.072,PM2.5(t)
5310,46.415,45.719,28.377,0.866,15.884,0.073,PM10(t)
5310,18.393,22.274,12.022,0.79,11.177,0.096,SO2(t)
5310,13.525,22.494,9.848,0.88,9.643,0.077,NO2(t)
5310,532.233,19.599,347.769,0.874,9.858,0.069,CO(t)
5310,19.803,916.287,14.003,-0.547,57.264,0.336,O3(t)
5310,1.639,inf,1.275,0.825,34.509,0.093,TEMP(t)
5310,0.647,0.049,0.5,0.964,0.024,0.043,PRES(t)
5310,1.376,8.137,0.984,0.94,4.082,0.059,DEWP(t)
5310,0.013,inf,0.01,0.0,100.0,inf,RAIN(t)
5310,0.642,inf,0.49,0.5,17.018,0.126,WSPM(t)
6372,30.323,61.036,19.905,0.942,17.547,0.059,PM2.5(t)
6372,42.936,111.154,30.684,0.903,20.287,0.083,PM10(t)
6372,13.012,34.093,8.74,0.943,11.81,0.071,SO2(t)
6372,12.834,16.768,8.748,0.891,7.913,0.082,NO2(t)
6372,639.181,21.505,435.724,0.882,10.003,0.09,CO(t)
6372,8.029,158.904,5.309,0.908,38.846,0.099,O3(t)
6372,1.466,inf,1.049,0.799,23.037,0.082,TEMP(t)
6372,0.726,0.054,0.547,0.955,0.027,0.055,PRES(t)
6372,2.041,58.253,1.528,0.91,18.059,0.075,DEWP(t)
6372,0.031,inf,0.005,0.315,99.358,0.078,RAIN(t)
6372,0.686,inf,0.52,0.563,16.771,0.123,WSPM(t)
7434,21.946,16.798,16.943,0.853,8.203,0.08,PM2.5(t)
7434,44.041,25.35,30.399,0.805,8.782,0.074,PM10(t)
7434,5.469,20.128,4.088,0.757,8.899,0.094,SO2(t)
7434,12.516,14.667,9.754,0.76,6.889,0.081,NO2(t)
7434,225.705,16.118,167.127,0.756,7.858,0.107,CO(t)
7434,16.169,99.948,12.096,0.882,26.685,0.08,O3(t)
7434,1.206,5.851,0.888,0.917,2.9,0.055,TEMP(t)
7434,0.732,0.055,0.56,0.961,0.028,0.047,PRES(t)
7434,1.631,50.255,1.14,0.876,18.711,0.085,DEWP(t)
7434,0.091,inf,0.009,0.024,99.901,0.07,RAIN(t)
7434,0.677,inf,0.525,0.292,22.304,0.15,WSPM(t)
8496,15.187,34.595,10.686,0.806,11.356,0.103,PM2.5(t)
8496,63.814,98.326,43.146,0.465,26.02,0.089,PM10(t)
8496,5.23,31.951,2.951,0.915,13.816,0.057,SO2(t)
8496,17.377,22.836,12.577,0.767,10.876,0.088,NO2(t)
8496,264.274,28.976,175.898,0.826,11.904,0.083,CO(t)
8496,20.071,85.697,15.434,0.932,18.99,0.06,O3(t)
8496,1.743,5.204,1.274,0.912,2.607,0.068,TEMP(t)
8496,1.129,0.074,0.74,0.941,0.037,0.06,PRES(t)
8496,2.036,34.569,1.422,0.744,7.044,0.095,DEWP(t)
8496,1.194,inf,0.211,0.139,98.479,0.103,RAIN(t)
8496,0.892,inf,0.681,0.502,39.934,0.127,WSPM(t)
9558,15.02,24.918,10.281,0.908,10.357,0.07,PM2.5(t)
9558,14.354,23.424,9.723,0.916,10.061,0.067,PM10(t)
9558,1.323,35.828,0.983,0.313,14.432,0.165,SO2(t)
9558,11.082,18.28,7.695,0.786,8.531,0.085,NO2(t)
9558,229.731,35.268,164.269,0.843,14.141,0.079,CO(t)
9558,21.392,56.993,16.707,0.865,15.858,0.088,O3(t)
9558,1.491,4.04,1.115,0.877,1.989,0.09,TEMP(t)
9558,0.522,0.04,0.402,0.96,0.02,0.047,PRES(t)
9558,1.402,5.282,1.013,0.906,2.653,0.086,DEWP(t)
9558,1.655,inf,0.207,-0.004,99.525,0.062,RAIN(t)
9558,0.774,inf,0.595,0.403,31.035,0.141,WSPM(t)
10620,17.399,34.773,13.407,0.864,13.159,0.104,PM2.5(t)
10620,35.142,32.944,24.01,0.659,16.571,0.113,PM10(t)
10620,1.76,24.657,1.014,0.628,12.058,0.11,SO2(t)
10620,16.214,34.193,11.357,0.719,10.323,0.112,NO2(t)
10620,241.095,21.723,178.026,0.804,10.377,0.086,CO(t)
10620,20.82,118.218,14.734,0.83,25.65,0.104,O3(t)
10620,1.573,5.572,1.256,0.834,2.701,0.088,TEMP(t)
10620,1.074,0.079,0.791,0.862,0.039,0.079,PRES(t)
10620,1.227,5.722,0.819,0.876,2.66,0.075,DEWP(t)
10620,1.352,inf,0.241,0.069,96.515,0.099,RAIN(t)
10620,0.647,inf,0.532,0.348,36.207,0.166,WSPM(t)
11682,27.21,23.204,17.912,0.922,10.143,0.075,PM2.5(t)
11682,50.488,29.179,37.426,0.792,13.06,0.102,PM10(t)
11682,3.776,23.066,2.653,0.768,11.76,0.067,SO2(t)
11682,20.402,13.997,13.05,0.84,6.692,0.074,NO2(t)
11682,392.585,17.072,246.076,0.823,8.721,0.089,CO(t)
11682,9.097,139.853,6.408,0.86,48.548,0.087,O3(t)
11682,1.555,8.523,1.043,0.895,4.342,0.071,TEMP(t)
11682,1.204,0.091,0.923,0.916,0.046,0.071,PRES(t)
11682,1.695,inf,1.236,0.899,16.553,0.068,DEWP(t)
11682,0.036,inf,0.029,0.0,100.0,inf,RAIN(t)
11682,0.67,inf,0.48,0.551,41.219,0.124,WSPM(t)
12744,24.292,43.015,15.728,0.91,22.15,0.076,PM2.5(t)
