window,rmse,nrmse,mape,smape,mae
0,0.000000,0.000000,0.000000,0.000000,0.000000
657,0.000000,0.000000,0.000000,0.000000,0.000000
1314,0.000000,0.000000,0.000000,0.000000,0.000000
1971,0.000000,0.000000,0.000000,0.000000,0.000000
2628,0.143047,0.000251,0.041550,0.020815,0.021303
3285,0.143676,0.000350,0.065111,0.032541,0.026793
3942,0.000000,0.000000,0.000000,0.000000,0.000000
4599,2.245384,0.003351,0.718522,0.324259,0.461588
5256,0.000000,0.000000,0.000000,0.000000,0.000000
5913,0.634441,0.000835,0.503145,0.179695,17.000767
6570,0.241358,0.000439,0.109530,0.054406,0.053525
7227,0.000000,0.000000,0.000000,0.000000,0.000000
7884,0.000000,0.000000,0.000000,0.000000,0.000000
8541,4.877374,0.007069,1.176273,0.760611,0.822801
9198,0.782617,0.001168,0.416651,0.208427,0.176535
9855,0.000000,0.000000,0.000000,0.000000,0.000000
10512,0.087443,0.000139,0.010134,0.005097,0.008455
11169,1.840629,0.030677,0.885810,0.418312,0.432784
11826,0.145769,0.000331,0.016261,0.008023,0.011383
12483,0.000000,0.000000,0.000000,0.000000,0.000000
13140,0.150274,0.000198,0.023751,0.011958,0.020050
13797,0.000000,0.000000,0.000000,0.000000,0.000000
14454,0.000000,0.000000,0.000000,0.000000,0.000000
15111,0.000000,0.000000,0.000000,0.000000,4.147090
15768,0.000000,0.000000,0.000000,0.000000,0.000000
16425,3.860194,0.010433,1.083496,0.476305,0.646508
17082,0.000000,0.000000,0.000000,0.000000,11.608232
17739,0.546608,0.001518,0.213415,0.090815,0.042683
18396,0.000000,0.000000,0.000000,0.000000,0.000000
19053,0.000000,0.000000,0.000000,0.000000,0.000000
